countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
argentina,bbva_argentina,2004-02-27,1263.3,13361.528999999999,16536.259,335.748,-79.603,146.99,-0.5415538472004897,1911.43,1263.3,14624.828999999998
argentina,bbva_argentina,2004-05-27,66.091,13373.0667,15010.0596,355.086,-30.333,374.038,-0.08109603837043294,1570.9019,66.091,13439.1577
argentina,bbva_argentina,2004-08-27,339.751,12979.0129,14783.0898,743.198,-14.196,186.834,-0.07598188766498602,1464.3259,339.751,13318.7639
argentina,bbva_argentina,2004-11-27,411.587,13383.600600000002,15250.9385,352.09,-12.994,734.17,-0.01769889807537764,1455.7509,411.587,13795.187600000001
argentina,bbva_argentina,2005-02-27,381.488,13795.8621,15968.0801,421.91,-27.149,824.633,-0.03292252432294124,1790.73,381.488,14177.3501
argentina,bbva_argentina,2005-05-27,315.727,14213.484699999999,16354.5527,472.369,30.06,567.011,0.05301484450918942,1825.341,315.727,14529.2117
argentina,bbva_argentina,2005-08-27,292.703,15741.3144,17986.7754,478.133,30.277,310.712,0.09744393521975335,1952.758,292.703,16034.017399999999
argentina,bbva_argentina,2005-11-27,96.961,13980.474,16053.249,451.462,25.849,801.246,0.03226100348706889,1975.814,96.961,14077.435
argentina,bbva_argentina,2006-02-27,74.927,13918.314,15983.748,483.377,31.018,624.678,0.04965438193757424,1990.507,74.927,13993.241
argentina,bbva_argentina,2006-05-27,74.927,12925.2311,14842.2471,2255.7141,40.542,535.92,0.07564935064935066,1842.089,74.927,13000.1581
argentina,bbva_argentina,2006-08-27,74.927,13646.1893,15581.5273,1892.22,45.322,491.536,0.09220484359233098,1860.411,74.927,13721.1163
argentina,bbva_argentina,2006-11-27,272.411,15638.3054,18013.5703,445.274,46.081,659.343,0.06988926855976328,2102.8539,272.411,15910.7164
argentina,bbva_argentina,2007-02-27,248.638,16414.932,18834.6309,559.817,48.132,823.905,0.058419356600578946,2171.0609,248.638,16663.57
argentina,bbva_argentina,2007-05-27,0.0,17080.9412,19331.2402,570.828,68.44,822.265,0.0832335074458964,2250.299,0.0,17080.9412
argentina,bbva_argentina,2007-08-27,0.0,17555.0696,19802.6836,538.205,82.944,692.622,0.11975363185113959,2247.614,0.0,17555.0696
argentina,bbva_argentina,2007-11-27,0.0,18846.3427,21137.6777,599.219,73.107,712.23,0.10264521292279179,2291.335,0.0,18846.3427
argentina,bbva_argentina,2008-02-27,630.347,19099.797,22022.999,750.752,10.558,859.884,0.012278400342371761,2292.855,630.347,19730.144
argentina,bbva_argentina,2008-05-27,0.0,20390.5916,22610.5996,755.782,74.308,857.562,0.08665029467257179,2220.008,0.0,20390.5916
argentina,bbva_argentina,2008-08-27,449.077,18811.857999999997,21607.748,843.268,113.936,594.744,0.19157149967044645,2346.813,449.077,19260.934999999998
argentina,bbva_argentina,2008-11-27,0.0,18383.6176,20563.8066,812.113,117.487,533.386,0.22026637369559757,2180.189,0.0,18383.6176
argentina,bbva_argentina,2009-02-27,387.024,23114.278,25825.465,4243.08,15.779,996.379,0.015836343399449407,2324.163,387.024,23501.302
argentina,bbva_argentina,2009-05-27,230.18,25663.282,28266.66,1053.209,85.874,988.335,0.08688754319132681,2373.198,230.18,25893.462
argentina,bbva_argentina,2009-08-27,101.541,24679.052,27297.077,997.023,61.846,1094.416,0.05651050423239427,2516.484,101.541,24780.593
argentina,bbva_argentina,2009-11-27,72.508,22947.978999999996,25891.67,1018.157,309.493,1434.941,0.21568343228049097,2871.183,72.508,23020.486999999997
