countryname,bankname,date,mktcap
argentina,galicia,2010-01-04,2706.2672
argentina,galicia,2010-01-05,2780.7516
argentina,galicia,2010-01-06,2669.025
argentina,galicia,2010-01-07,2718.6813
argentina,galicia,2010-01-08,2656.6109
argentina,galicia,2010-01-11,2544.8843
argentina,galicia,2010-01-12,2445.5718
argentina,galicia,2010-01-13,2532.4702
argentina,galicia,2010-01-14,2631.7828
argentina,galicia,2010-01-15,2631.7828
argentina,galicia,2010-01-18,2644.1969
argentina,galicia,2010-01-19,2681.4391
argentina,galicia,2010-01-20,2619.3687
argentina,galicia,2010-01-21,2594.5406
argentina,galicia,2010-01-22,2569.7125
argentina,galicia,2010-01-25,2544.8843
argentina,galicia,2010-01-26,2532.4702
argentina,galicia,2010-01-27,2544.8843
argentina,galicia,2010-01-28,2507.6421
argentina,galicia,2010-01-29,2532.4702
argentina,galicia,2010-02-01,2507.6421
argentina,galicia,2010-02-02,2532.4702
argentina,galicia,2010-02-03,2507.6421
argentina,galicia,2010-02-04,2395.9155
argentina,galicia,2010-02-05,2284.1888
argentina,galicia,2010-02-08,2284.1888
argentina,galicia,2010-02-09,2346.2592
argentina,galicia,2010-02-10,2309.017
argentina,galicia,2010-02-11,2408.3295
argentina,galicia,2010-02-12,2420.7436
argentina,galicia,2010-02-15,2420.7436
argentina,galicia,2010-02-16,2371.0873
argentina,galicia,2010-02-17,2371.0873
argentina,galicia,2010-02-18,2358.6733
argentina,galicia,2010-02-19,2346.2592
argentina,galicia,2010-02-22,2358.6733
argentina,galicia,2010-02-23,2321.4311
argentina,galicia,2010-02-24,2321.4311
argentina,galicia,2010-02-25,2296.6029
argentina,galicia,2010-02-26,2358.6733
argentina,galicia,2010-03-01,2420.7436
argentina,galicia,2010-03-02,2445.5718
argentina,galicia,2010-03-03,2420.7436
argentina,galicia,2010-03-04,2408.3295
argentina,galicia,2010-03-05,2408.3295
argentina,galicia,2010-03-08,2408.3295
argentina,galicia,2010-03-09,2457.9858
argentina,galicia,2010-03-10,2520.0562
