countryname,bankname,date,mktcap
brazil,itau_unibanco,2010-01-04,162622.1263
brazil,itau_unibanco,2010-01-05,163329.8195
brazil,itau_unibanco,2010-01-06,162531.2421
brazil,itau_unibanco,2010-01-07,160908.9799
brazil,itau_unibanco,2010-01-08,158738.7398
brazil,itau_unibanco,2010-01-11,156932.8001
brazil,itau_unibanco,2010-01-12,156798.1921
brazil,itau_unibanco,2010-01-13,157049.0972
brazil,itau_unibanco,2010-01-14,154603.6083
brazil,itau_unibanco,2010-01-15,153486.7454
brazil,itau_unibanco,2010-01-18,154239.6898
brazil,itau_unibanco,2010-01-19,153782.5962
brazil,itau_unibanco,2010-01-20,149692.334
brazil,itau_unibanco,2010-01-21,146561.1282
brazil,itau_unibanco,2010-01-22,148709.9264
brazil,itau_unibanco,2010-01-26,148732.1319
brazil,itau_unibanco,2010-01-27,147316.7455
brazil,itau_unibanco,2010-01-28,150330.4322
brazil,itau_unibanco,2010-01-29,149054.2357
brazil,itau_unibanco,2010-02-01,151292.5434
brazil,itau_unibanco,2010-02-02,153097.3376
brazil,itau_unibanco,2010-02-03,151999.7021
brazil,itau_unibanco,2010-02-04,148210.4072
brazil,itau_unibanco,2010-02-05,144531.6055
brazil,itau_unibanco,2010-02-08,142929.8687
brazil,itau_unibanco,2010-02-09,148641.2478
brazil,itau_unibanco,2010-02-10,149555.435
brazil,itau_unibanco,2010-02-11,150328.9048
brazil,itau_unibanco,2010-02-12,151679.6602
brazil,itau_unibanco,2010-02-17,155038.8018
brazil,itau_unibanco,2010-02-18,155381.2783
brazil,itau_unibanco,2010-02-19,153874.9313
brazil,itau_unibanco,2010-02-22,149920.4226
brazil,itau_unibanco,2010-02-23,146926.1158
brazil,itau_unibanco,2010-02-24,145898.9916
brazil,itau_unibanco,2010-02-25,145990.6394
brazil,itau_unibanco,2010-02-26,149440.5888
brazil,itau_unibanco,2010-03-01,149577.4878
brazil,itau_unibanco,2010-03-02,151473.0898
brazil,itau_unibanco,2010-03-03,152182.7686
brazil,itau_unibanco,2010-03-04,152183.1504
brazil,itau_unibanco,2010-03-05,153097.3376
brazil,itau_unibanco,2010-03-08,152593.8474
brazil,itau_unibanco,2010-03-09,154101.2635
brazil,itau_unibanco,2010-03-10,154695.2561
brazil,itau_unibanco,2010-03-11,154923.421
brazil,itau_unibanco,2010-03-12,153050.8646
brazil,itau_unibanco,2010-03-15,153919.1134
brazil,itau_unibanco,2010-03-16,154512.495
brazil,itau_unibanco,2010-03-17,153301.8461
brazil,itau_unibanco,2010-03-18,152182.3868
brazil,itau_unibanco,2010-03-19,151496.7464
brazil,itau_unibanco,2010-03-22,153415.5467
brazil,itau_unibanco,2010-03-23,152616.6639
brazil,itau_unibanco,2010-03-24,149257.4459
brazil,itau_unibanco,2010-03-25,151131.3006
brazil,itau_unibanco,2010-03-26,153323.9753
brazil,itau_unibanco,2010-03-29,155494.5208
brazil,itau_unibanco,2010-03-30,156407.257
brazil,itau_unibanco,2010-03-31,158074.9995
brazil,itau_unibanco,2010-04-01,159263.9011
brazil,itau_unibanco,2010-04-05,160269.2779
brazil,itau_unibanco,2010-04-06,158670.5958
brazil,itau_unibanco,2010-04-07,157528.6255
brazil,itau_unibanco,2010-04-08,161982.1952
brazil,itau_unibanco,2010-04-09,162690.9576
brazil,itau_unibanco,2010-04-12,160978.193
brazil,itau_unibanco,2010-04-13,160933.3237
brazil,itau_unibanco,2010-04-14,161641.3224
brazil,itau_unibanco,2010-04-15,161161.0305
brazil,itau_unibanco,2010-04-16,156179.8557
brazil,itau_unibanco,2010-04-19,154443.3582
brazil,itau_unibanco,2010-04-20,156295.0837
brazil,itau_unibanco,2010-04-22,154672.3632
brazil,itau_unibanco,2010-04-23,155152.7315
brazil,itau_unibanco,2010-04-26,154149.1875
brazil,itau_unibanco,2010-04-27,148206.5888
brazil,itau_unibanco,2010-04-28,151084.0639
