countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
bulgaria,fibank,2007-08-27,,,1771.903,184.9716,9.8367,77.0323,0.12769578475522605,150.6194,,1621.2836
bulgaria,fibank,2007-11-27,26.8996,1705.5849,1890.7835,279.8346,7.6546,48.4889,0.15786293357861284,158.299,26.8996,1732.4845
bulgaria,fibank,2008-02-27,709.4195,1272.04,2148.1299,312.5333,8.6424,49.581,0.17430870696436135,166.6704,709.4195,1981.4595
bulgaria,fibank,2008-05-27,1849.4061,56.72019999999998,2080.4865,370.4698,7.8146,50.5095,0.154715449568893,174.3602,1849.4061,1906.1263
bulgaria,fibank,2008-08-27,697.3725,1205.6401,2081.8615,351.937,4.4692,50.1327,0.08914740279298741,178.8489,697.3725,1903.0126
bulgaria,fibank,2008-11-27,1967.3699,10.636000000000195,2162.4319,339.9217,5.2791,57.8522,0.0912514995108224,184.426,1967.3699,1978.0059
bulgaria,fibank,2009-02-27,1990.0053,5.064300000000003,2183.6003,384.422,7.6116,52.6748,0.14450173517507423,188.5307,1990.0053,1995.0696
bulgaria,fibank,2009-05-27,1935.2746,33.25230000000033,2166.8805,238.8797,6.5292,53.4034,0.1222618784571769,198.3536,1935.2746,1968.5269000000003
bulgaria,fibank,2009-08-27,1921.3934,21.222299999999905,2143.5161,261.6812,2.7804,53.4571,0.05201180011635499,200.9004,1921.3934,1942.6156999999998
bulgaria,fibank,2009-11-27,1837.1627,20.208399999999756,2061.2549,290.6976,3.5397,56.8863,0.06222412074611989,203.8838,1837.1627,1857.3710999999998
bulgaria,fibank,2010-02-27,1891.1976,5.311300000000074,2102.5774,308.7139,2.4961,57.414,0.043475458947295084,206.0685,1891.1976,1896.5089
bulgaria,fibank,2010-05-27,2000.9664,4.835199999999759,2215.7355,299.0255,3.6982,56.3945,0.06557731693693533,209.9339,2000.9664,2005.8015999999998
bulgaria,fibank,2010-08-27,2116.027,5.6557999999995445,2334.2652,317.2709,2.6741,57.1732,0.04677191411360568,212.5824,2116.027,2121.6827999999996
bulgaria,fibank,2010-11-27,2227.6548,6.055200000000241,2450.7406,298.236,4.5612,62.6849,0.07276393517418071,217.0306,2227.6548,2233.71
bulgaria,fibank,2011-02-27,2329.3374,5.0172999999999774,2555.8336,284.7185,3.3612,66.5932,0.050473621931368375,221.4789,2329.3374,2334.3547
bulgaria,fibank,2011-05-27,2479.9783,17.060299999999643,2723.0613,333.3301,4.7274,61.5048,0.07686229367464002,226.0227,2479.9783,2497.0386
bulgaria,fibank,2011-08-27,183.4214,2419.0388999999996,2834.0321,360.8662,5.526,66.9179,0.08257880178547145,231.5718,183.4214,2602.4602999999997
bulgaria,fibank,2011-11-27,133.8117,2631.0053,3001.3186,415.1255,4.7663,70.3507,0.06775056964607318,236.5016,133.8117,2764.817
bulgaria,fibank,2012-02-27,155.9839,2760.6551,3156.9472,473.6577,3.3173,70.5782,0.047001765417650214,240.3082,155.9839,2916.639
bulgaria,fibank,2012-05-27,134.2111,2866.0875,3243.7569,460.402,3.1194,69.1297,0.04512387584496968,243.4583,134.2111,3000.2986
bulgaria,fibank,2012-08-27,160.8974,2995.4265,3404.8266,474.9498,4.7059,69.5572,0.06765510975139885,248.5027,160.8974,3156.3239
bulgaria,fibank,2012-11-27,159.3221,3107.5252,3518.6003,596.0902,3.6736,74.3914,0.049382052226467035,251.753,159.3221,3266.8473
bulgaria,fibank,2013-02-27,174.2963,3172.1985,3604.7949,583.3273,4.075,73.6874,0.05530117767759482,258.3001,174.2963,3346.4948
bulgaria,fibank,2013-05-27,179.1168,3216.5555999999997,3658.0597,781.2238,3.7478,70.3308,0.053288175308684106,262.3873,179.1168,3395.6724
bulgaria,fibank,2013-08-27,177.3206,3189.6054000000004,3637.5963,658.7837,8.5519,73.5325,0.11630095535987489,270.6703,177.3206,3366.9260000000004
bulgaria,fibank,2013-11-27,180.2043,3302.1168000000002,3754.5758,618.0445,1.4531,72.5446,0.020030436448750147,272.2547,180.2043,3482.3211
bulgaria,fibank,2014-02-27,269.0121,3865.0272000000004,4488.1166,688.9939,80.7954,90.377,0.8939818759197584,354.0773,269.0121,4134.0393
bulgaria,fibank,2014-05-27,260.4869,3918.9894000000004,4535.7823,675.7929,1.4132,85.2758,0.016572110727779744,356.306,260.4869,4179.4763
bulgaria,fibank,2014-08-27,283.1059,3958.9141000000004,4608.626,916.2519,10.4079,88.995,0.11694926681274229,366.606,283.1059,4242.02
bulgaria,fibank,2014-11-27,254.1402,3768.8475,4391.0979,650.7979,1.4833,83.7982,0.0177008575363194,368.1102,254.1402,4022.9876999999997
bulgaria,fibank,2015-02-27,241.8359,3900.1319999999996,4513.6244,1111.3185,2.4302,147.9127,0.016429961727424353,371.6565,241.8359,4141.9679
bulgaria,fibank,2015-05-27,254.9342,4032.850999999999,4664.1482,858.5741,1.3294,77.5839,0.017134998369507076,376.363,254.9342,4287.785199999999
bulgaria,fibank,2015-08-27,262.2171,3973.4665000000005,4603.8076,649.6756,3.3863,78.8632,0.04293891193864818,368.124,262.2171,4235.6836
bulgaria,fibank,2015-11-27,214.6904,3996.2492000000007,4589.0941,690.9087,2.9384,77.7394,0.03779807922366265,378.1545,214.6904,4210.939600000001
bulgaria,fibank,2016-02-27,195.5349,3964.0894000000003,4543.0145,1254.674,1.4546,161.2364,0.009021536079942246,383.3902,195.5349,4159.6243
bulgaria,fibank,2016-05-27,171.9955,3847.5316999999995,4416.5592,1165.5221,12.451,75.2683,0.1654215652538984,397.032,171.9955,4019.5271999999995
bulgaria,fibank,2016-08-27,158.1145,3881.5928999999996,4476.6968,719.8213,36.8826,83.8989,0.4396076706607595,436.9894,158.1145,4039.7074
bulgaria,fibank,2016-11-27,139.9569,3943.1433999999995,4503.4962,843.3059,-19.1944,72.2558,-0.26564511084231307,420.3959,139.9569,4083.1002999999996
bulgaria,fibank,2017-02-27,142.7051,4066.7707,4647.5691,838.4614,20.3295,69.0771,0.2943015847509522,438.0933,142.7051,4209.4758
bulgaria,fibank,2017-05-27,182.7168,4021.2763999999997,4653.2388,855.5401,10.4344,64.5797,0.16157399306593248,449.2456,182.7168,4203.9932
bulgaria,fibank,2017-08-27,176.5251,3898.4748,4536.0435,668.5857,11.7843,70.5363,0.16706716967008478,461.0436,176.5251,4074.9999
bulgaria,fibank,2017-11-27,169.2023,3863.8640000000005,4502.3796,835.7056,10.416,67.7498,0.15374215126834326,469.3133,169.2023,4033.0663000000004
bulgaria,fibank,2018-02-27,171.9367,3905.027,4561.3361,755.9931,14.4936,63.2499,0.22914818837658243,484.3724,171.9367,4076.9637000000002
bulgaria,fibank,2018-05-27,167.533,3853.2935,4462.1179,646.3588,11.684,59.3615,0.19682791034593128,441.2914,167.533,4020.8265
bulgaria,fibank,2018-08-27,201.5109,4033.5922999999993,4691.8694,760.0236,13.673,59.0379,0.23159699108538753,456.7662,201.5109,4235.1032
