countryname,bankname,date,mktcap
bulgaria,fibank,2010-01-04,128.5132
bulgaria,fibank,2010-01-05,129.863
bulgaria,fibank,2010-01-06,128.5132
bulgaria,fibank,2010-01-07,129.3568
bulgaria,fibank,2010-01-08,131.2128
bulgaria,fibank,2010-01-11,139.4804
bulgaria,fibank,2010-01-12,139.4804
bulgaria,fibank,2010-01-13,139.4804
bulgaria,fibank,2010-01-14,141.5614
bulgaria,fibank,2010-01-15,141.6176
bulgaria,fibank,2010-01-18,140.0428
bulgaria,fibank,2010-01-19,140.3241
bulgaria,fibank,2010-01-20,142.5737
bulgaria,fibank,2010-01-21,141.7301
bulgaria,fibank,2010-01-22,139.4804
bulgaria,fibank,2010-01-25,138.0744
bulgaria,fibank,2010-01-26,138.6368
bulgaria,fibank,2010-01-27,139.6492
bulgaria,fibank,2010-01-28,140.3241
bulgaria,fibank,2010-01-29,138.918
bulgaria,fibank,2010-02-01,139.4242
bulgaria,fibank,2010-02-02,139.7616
bulgaria,fibank,2010-02-03,140.6053
bulgaria,fibank,2010-02-04,138.8055
bulgaria,fibank,2010-02-05,139.1992
bulgaria,fibank,2010-02-08,140.6053
bulgaria,fibank,2010-02-09,140.549
bulgaria,fibank,2010-02-10,141.8988
bulgaria,fibank,2010-02-11,140.0991
bulgaria,fibank,2010-02-12,141.6176
bulgaria,fibank,2010-02-15,139.3117
bulgaria,fibank,2010-02-16,140.6053
bulgaria,fibank,2010-02-17,139.4804
bulgaria,fibank,2010-02-18,136.837
bulgaria,fibank,2010-02-19,138.693
bulgaria,fibank,2010-02-22,139.4242
bulgaria,fibank,2010-02-23,137.062
bulgaria,fibank,2010-02-24,136.6683
bulgaria,fibank,2010-02-25,135.656
bulgaria,fibank,2010-02-26,135.5997
bulgaria,fibank,2010-03-01,135.4872
bulgaria,fibank,2010-03-02,133.2938
bulgaria,fibank,2010-03-04,134.3624
bulgaria,fibank,2010-03-05,134.3624
bulgaria,fibank,2010-03-08,133.6312
bulgaria,fibank,2010-03-09,133.2938
bulgaria,fibank,2010-03-10,133.35
bulgaria,fibank,2010-03-11,131.0441
bulgaria,fibank,2010-03-12,131.6065
bulgaria,fibank,2010-03-15,132.169
bulgaria,fibank,2010-03-16,131.8315
bulgaria,fibank,2010-03-17,133.9125
bulgaria,fibank,2010-03-18,134.0249
bulgaria,fibank,2010-03-19,136.7808
bulgaria,fibank,2010-03-22,134.7561
bulgaria,fibank,2010-03-23,134.4186
bulgaria,fibank,2010-03-24,133.4063
bulgaria,fibank,2010-03-25,134.6436
bulgaria,fibank,2010-03-26,134.4186
bulgaria,fibank,2010-03-29,133.35
bulgaria,fibank,2010-03-30,133.6312
bulgaria,fibank,2010-03-31,133.575
bulgaria,fibank,2010-04-01,136.3871
bulgaria,fibank,2010-04-02,136.3871
bulgaria,fibank,2010-04-06,136.1059
bulgaria,fibank,2010-04-07,137.7369
bulgaria,fibank,2010-04-08,136.6683
bulgaria,fibank,2010-04-09,136.2184
bulgaria,fibank,2010-04-12,134.9811
bulgaria,fibank,2010-04-13,136.0497
bulgaria,fibank,2010-04-14,136.3309
bulgaria,fibank,2010-04-15,135.5997
bulgaria,fibank,2010-04-16,135.5435
bulgaria,fibank,2010-04-19,136.1059
bulgaria,fibank,2010-04-20,136.3871
bulgaria,fibank,2010-04-21,136.3871
bulgaria,fibank,2010-04-22,136.1059
bulgaria,fibank,2010-04-23,136.2746
bulgaria,fibank,2010-04-26,134.4749
bulgaria,fibank,2010-04-27,134.9811
bulgaria,fibank,2010-04-28,133.2938
bulgaria,fibank,2010-04-29,134.6998
bulgaria,fibank,2010-04-30,135.9372
bulgaria,fibank,2010-05-03,133.2938
bulgaria,fibank,2010-05-04,133.8562
bulgaria,fibank,2010-05-05,132.1127
bulgaria,fibank,2010-05-07,132.1127
bulgaria,fibank,2010-05-10,129.6381
bulgaria,fibank,2010-05-11,132.169
bulgaria,fibank,2010-05-12,129.9193
bulgaria,fibank,2010-05-13,128.2882
bulgaria,fibank,2010-05-14,126.4323
bulgaria,fibank,2010-05-17,122.664
bulgaria,fibank,2010-05-18,124.8575
bulgaria,fibank,2010-05-19,120.9205
bulgaria,fibank,2010-05-20,116.4212
bulgaria,fibank,2010-05-21,119.7957
bulgaria,fibank,2010-05-25,113.9465
bulgaria,fibank,2010-05-26,118.1647
bulgaria,fibank,2010-05-27,118.8396
bulgaria,fibank,2010-05-28,120.9768
bulgaria,fibank,2010-05-31,116.9836
bulgaria,fibank,2010-06-01,114.7339
bulgaria,fibank,2010-06-02,116.7024
bulgaria,fibank,2010-06-03,117.0398
bulgaria,fibank,2010-06-04,117.546
bulgaria,fibank,2010-06-07,113.5528
bulgaria,fibank,2010-06-08,112.4842
bulgaria,fibank,2010-06-09,112.0343
bulgaria,fibank,2010-06-10,112.428
bulgaria,fibank,2010-06-11,113.0466
bulgaria,fibank,2010-06-14,111.978
bulgaria,fibank,2010-06-15,114.1715
bulgaria,fibank,2010-06-16,113.1029
bulgaria,fibank,2010-06-17,112.4842
bulgaria,fibank,2010-06-18,111.9218
bulgaria,fibank,2010-06-21,111.6968
bulgaria,fibank,2010-06-22,112.4842
bulgaria,fibank,2010-06-23,110.2345
bulgaria,fibank,2010-06-24,111.0782
bulgaria,fibank,2010-06-25,109.1097
bulgaria,fibank,2010-06-28,110.2345
bulgaria,fibank,2010-06-29,107.085
bulgaria,fibank,2010-06-30,106.86
bulgaria,fibank,2010-07-01,103.4855
bulgaria,fibank,2010-07-02,107.4224
bulgaria,fibank,2010-07-05,104.0479
bulgaria,fibank,2010-07-06,104.6103
bulgaria,fibank,2010-07-07,104.0479
bulgaria,fibank,2010-07-08,104.3291
bulgaria,fibank,2010-07-09,104.1041
bulgaria,fibank,2010-07-12,103.2605
bulgaria,fibank,2010-07-13,104.3854
bulgaria,fibank,2010-07-14,104.3854
bulgaria,fibank,2010-07-15,104.3854
bulgaria,fibank,2010-07-16,104.0479
bulgaria,fibank,2010-07-19,105.1727
