countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
chile,banco_de_chile,2010-02-27,1764148.0,14304924.0,17461820.0,1253604.0,66659.0,352098.0,0.1893194508347108,1392748.0,1764148.0,16069072.0
chile,banco_de_chile,2010-05-27,1597004.0,14606576.0,17510092.0,985986.0,100806.0,360316.0,0.279771089821157,1306512.0,1597004.0,16203580.0
chile,banco_de_chile,2010-08-27,1597004.0,14606576.0,17510092.0,985986.0,107808.0,396672.0,0.2717812197483059,1306512.0,1597004.0,16203580.0
chile,banco_de_chile,2010-11-27,1913985.0,14256897.0,17546650.0,1380307.0,100019.0,377795.0,0.264744107253934,1375768.0,1913985.0,16170882.0
chile,banco_de_chile,2011-02-27,1943325.0,14908783.0,18256235.0,1202085.0,69896.0,409025.0,0.1708844202677098,1404127.0,1943325.0,16852108.0
chile,banco_de_chile,2011-05-27,1915846.0,16072253.0,19399614.0,1778998.0,116885.0,424381.0,0.27542467735360443,1411515.0,1915846.0,17988099.0
chile,banco_de_chile,2011-08-27,2076700.0,16538861.0,20250642.0,1650447.0,114025.0,472374.0,0.2413871212217438,1635081.0,2076700.0,18615561.0
chile,banco_de_chile,2011-11-27,2554508.0,17181544.0,21433798.0,1327230.0,98308.0,477223.0,0.20600012991829816,1697746.0,2554508.0,19736052.0
chile,banco_de_chile,2012-02-27,2573126.0,17428646.0,21740947.0,1254785.0,99587.0,500193.0,0.19909714850067875,1739175.0,2573126.0,20001772.0
chile,banco_de_chile,2012-05-27,2646347.0,17542707.0,21955641.0,1542477.0,121161.0,543826.0,0.22279368768687044,1766587.0,2646347.0,20189054.0
chile,banco_de_chile,2012-08-27,3185702.0,17499045.0,22480472.0,1253101.0,106964.0,506693.0,0.21110218613637843,1795725.0,3185702.0,20684747.0
chile,banco_de_chile,2012-11-27,3125998.0,17778464.0,22739005.0,1020333.0,99785.0,464401.0,0.21486818503836125,1834543.0,3125998.0,20904462.0
chile,banco_de_chile,2013-02-27,3436056.0,17817951.0,23261066.0,1081536.0,139700.0,601258.0,0.23234618084083705,2007059.0,3436056.0,21254007.0
chile,banco_de_chile,2013-05-27,3612924.0,18067740.0,23825746.0,1107923.0,121470.0,514620.0,0.23603824180949048,2145082.0,3612924.0,21680664.0
chile,banco_de_chile,2013-08-27,3924199.0,18312678.0,24404074.0,1961537.0,121864.0,510852.0,0.23855049994910463,2167197.0,3924199.0,22236877.0
chile,banco_de_chile,2013-11-27,4231852.0,18795635.0,25253318.0,1512670.0,137386.0,613587.0,0.2239063083148763,2225831.0,4231852.0,23027487.0
chile,banco_de_chile,2014-02-27,4577886.0,19071668.0,25933870.0,1247779.0,132882.0,620976.0,0.21398894643271238,2284316.0,4577886.0,23649554.0
chile,banco_de_chile,2014-05-27,4944697.0,18893104.0,26130050.0,1199291.0,150750.0,642965.0,0.23446066271103405,2292249.0,4944697.0,23837801.0
chile,banco_de_chile,2014-08-27,5044327.0,18035772.0,25460802.0,1122488.0,153479.0,658704.0,0.23300146955233306,2380703.0,5044327.0,23080099.0
chile,banco_de_chile,2014-11-27,5323429.0,18850160.0,26611900.0,1352757.0,158718.0,567622.0,0.2796191831888123,2438311.0,5323429.0,24173589.0
chile,banco_de_chile,2015-02-27,5244529.0,19866143.0,27645828.0,1315214.0,128133.0,681163.0,0.18810916036249767,2535156.0,5244529.0,25110672.0
chile,banco_de_chile,2015-05-27,5470921.0,20157068.0,28156552.0,1394611.0,116715.0,513645.0,0.22722892269952982,2528563.0,5470921.0,25627989.0
chile,banco_de_chile,2015-08-27,5785625.0,20778340.0,29173468.0,1764703.0,168382.0,632534.0,0.2662022911021384,2609503.0,5785625.0,26563965.0
chile,banco_de_chile,2015-11-27,6132492.0,22021555.0,30821866.0,1562232.0,133800.0,672870.0,0.19884970350885015,2667819.0,6132492.0,28154047.0
