countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
china,abc,2010-05-27,57117.0,9072091.0,9499487.0,1679042.0,24970.0,94377.0,0.2645771745234538,370279.0,57117.0,9129208.0
china,abc,2010-08-27,49988.0,9291562.0,9695967.0,1826475.0,20870.0,99040.0,0.21072294022617125,354417.0,49988.0,9341550.0
china,abc,2010-11-27,58366.0,9530478.0,10117122.0,1844298.0,24306.0,104268.0,0.23311082978478537,528278.0,58366.0,9588844.0
china,abc,2011-02-27,49992.0,9745178.0,10337406.0,2082332.0,24727.0,112184.0,0.22041467588960992,542236.0,49992.0,9795170.0
china,abc,2011-05-27,64666.0,10318692.0,10959928.0,2270274.0,34067.0,123020.0,0.2769224516338807,576570.0,64666.0,10383358.0
china,abc,2011-08-27,99946.0,10772329.0,11461784.0,2452417.0,32600.0,134962.0,0.2415494731850447,589509.0,99946.0,10872275.0
china,abc,2011-11-27,119653.0,10848885.0,11589073.0,2488430.0,34090.0,140358.0,0.24287892389461235,620535.0,119653.0,10968538.0
china,abc,2012-02-27,99972.0,10927817.0,11677577.0,2487082.0,21170.0,188384.0,0.11237684729064039,649788.0,99972.0,11027789.0
china,abc,2012-05-27,128179.0,11737169.0,12559332.0,2542086.0,43454.0,159445.0,0.27253284831760166,693984.0,128179.0,11865348.0
china,abc,2012-08-27,99995.0,12109591.0,12901412.0,2544878.0,37045.0,163937.0,0.22597095225604957,691826.0,99995.0,12209586.0
china,abc,2012-11-27,140749.0,12194079.0,13061873.0,2566280.0,39584.0,164450.0,0.24070538157494678,727045.0,140749.0,12334828.0
china,abc,2013-02-27,150951.0,12342037.0,13244342.0,2613111.0,25011.0,214382.0,0.1166655782668321,751354.0,150951.0,12492988.0
china,abc,2013-05-27,204217.0,13263202.0,14267738.0,2728635.0,47011.0,177125.0,0.26541143260409317,800319.0,204217.0,13467419.0
