countryname,bankname,date,mktcap
china,icbc,2010-01-04,2054257.1305
china,icbc,2010-01-05,2078798.2948
china,icbc,2010-01-06,2057891.134
china,icbc,2010-01-07,2014086.3232
china,icbc,2010-01-08,2019134.6345
china,icbc,2010-01-11,2033518.758
china,icbc,2010-01-12,2033181.1496
china,icbc,2010-01-13,1943879.3183
china,icbc,2010-01-14,1936527.5605
china,icbc,2010-01-15,1932566.5444
china,icbc,2010-01-18,1937300.84
china,icbc,2010-01-19,1946341.9933
china,icbc,2010-01-20,1897052.79
china,icbc,2010-01-21,1909103.2897
china,icbc,2010-01-22,1936944.3628
china,icbc,2010-01-25,1918951.674
china,icbc,2010-01-26,1892110.0991
china,icbc,2010-01-27,1867508.9927
china,icbc,2010-01-28,1870968.1534
china,icbc,2010-01-29,1857809.9705
china,icbc,2010-02-01,1849584.3556
china,icbc,2010-02-02,1844100.1519
china,icbc,2010-02-03,1888890.6655
china,icbc,2010-02-04,1866165.5661
china,icbc,2010-02-05,1834486.3636
china,icbc,2010-02-08,1820530.3573
china,icbc,2010-02-09,1838112.2472
china,icbc,2010-02-10,1847451.0047
china,icbc,2010-02-11,1851560.7432
china,icbc,2010-02-12,1864689.7984
china,icbc,2010-02-17,1874656.5784
china,icbc,2010-02-18,1870503.7534
china,icbc,2010-02-19,1856384.1484
china,icbc,2010-02-22,1854521.9162
china,icbc,2010-02-23,1840678.2427
china,icbc,2010-02-24,1834072.4187
china,icbc,2010-02-25,1843965.8793
china,icbc,2010-02-26,1845595.2642
china,icbc,2010-03-01,1880943.2853
china,icbc,2010-03-02,1887889.9371
china,icbc,2010-03-03,1897063.9256
china,icbc,2010-03-04,1858904.6433
china,icbc,2010-03-05,1863019.4402
china,icbc,2010-03-08,1878723.0358
china,icbc,2010-03-09,1891596.4336
china,icbc,2010-03-10,1882939.8893
china,icbc,2010-03-11,1881893.2973
china,icbc,2010-03-12,1872082.3446
china,icbc,2010-03-15,1857965.8328
china,icbc,2010-03-16,1857961.5836
china,icbc,2010-03-17,1881706.9064
china,icbc,2010-03-18,1876756.5677
china,icbc,2010-03-19,1877202.1419
china,icbc,2010-03-22,1867121.2692
china,icbc,2010-03-23,1859108.6486
china,icbc,2010-03-24,1869123.5858
china,icbc,2010-03-25,1859391.4107
china,icbc,2010-03-26,1871644.4998
china,icbc,2010-03-29,1907624.761
china,icbc,2010-03-30,1921494.7363
china,icbc,2010-03-31,1913233.6017
china,icbc,2010-04-01,1935749.2927
