countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
colombia,banco_de_bogota,2010-08-27,5282363.2,28895839.099999998,40002003.3,3804443.9,,,,5823801.0,5282363.2,34178202.3
colombia,banco_de_bogota,2010-11-27,5282363.2,28895839.099999998,40002003.3,3804443.9,,,,5823801.0,5282363.2,34178202.3
colombia,banco_de_bogota,2011-02-27,5282363.2,28895839.099999998,40002003.3,3804443.9,,,,5823801.0,5282363.2,34178202.3
colombia,banco_de_bogota,2011-05-27,5282363.2,28895839.099999998,40002003.3,3804443.9,,,,5823801.0,5282363.2,34178202.3
colombia,banco_de_bogota,2011-08-27,5282363.2,28895839.099999998,40002003.3,3804443.9,,,,5823801.0,5282363.2,34178202.3
colombia,banco_de_bogota,2011-11-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2012-02-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2012-05-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2012-08-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2012-11-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2013-02-27,6438844.88,27118313.600000005,41389355.07,2346798.72,295368.79,1922923.0,0.15360406526938414,7832196.59,6438844.88,33557158.480000004
colombia,banco_de_bogota,2013-05-27,10699066.0,58570568.0,80188587.0,7070610.0,473641.0,2575905.0,0.18387362887994704,10918953.0,10699066.0,69269634.0
colombia,banco_de_bogota,2013-08-27,11993311.0,61830097.0,84562892.0,7941337.0,288769.0,2222150.0,0.12995027338388498,10739484.0,11993311.0,73823408.0
colombia,banco_de_bogota,2013-11-27,12159198.0,64506574.0,88368144.0,6368234.0,322241.0,2463350.0,0.1308141352223598,11702372.0,12159198.0,76665772.0
colombia,banco_de_bogota,2014-02-27,15442479.0,71846750.0,100669032.0,9746186.0,329431.0,2950456.0,0.11165426632357846,13379803.0,15442479.0,87289229.0
