countryname,bankname,date,mktcap
colombia,bancolombia,2004-01-02,1612951.4328
colombia,bancolombia,2004-01-05,1612951.4328
colombia,bancolombia,2004-01-06,1712516.3361
colombia,bancolombia,2004-01-07,1752740.557
colombia,bancolombia,2004-01-08,1772255.278
colombia,bancolombia,2004-01-09,1732031.0571
colombia,bancolombia,2004-01-13,1712516.3361
colombia,bancolombia,2004-01-14,1664725.1825
colombia,bancolombia,2004-01-15,1712516.3361
colombia,bancolombia,2004-01-16,1720481.5283
colombia,bancolombia,2004-01-19,1760307.4896
colombia,bancolombia,2004-01-20,1784203.0664
colombia,bancolombia,2004-01-21,1773450.0569
colombia,bancolombia,2004-01-22,1792168.2587
colombia,bancolombia,2004-01-23,1752342.2974
colombia,bancolombia,2004-01-26,1762298.7877
colombia,bancolombia,2004-01-27,1792168.2587
colombia,bancolombia,2004-01-28,1831994.22
colombia,bancolombia,2004-01-29,1855889.7968
colombia,bancolombia,2004-01-30,1847924.6045
colombia,bancolombia,2004-02-02,1783804.8068
colombia,bancolombia,2004-02-03,1800133.4509
colombia,bancolombia,2004-02-04,1831994.22
colombia,bancolombia,2004-02-05,1831994.22
colombia,bancolombia,2004-02-06,1832392.4796
colombia,bancolombia,2004-02-09,1871820.1813
colombia,bancolombia,2004-02-10,1835976.8161
colombia,bancolombia,2004-02-11,1831994.22
colombia,bancolombia,2004-02-12,1839959.4122
colombia,bancolombia,2004-02-13,1855889.7968
colombia,bancolombia,2004-02-16,1887750.5658
colombia,bancolombia,2004-02-17,1919611.3348
colombia,bancolombia,2004-02-18,1959437.2961
colombia,bancolombia,2004-02-19,1971385.0845
colombia,bancolombia,2004-02-20,1975367.6807
colombia,bancolombia,2004-02-23,2035106.6226
colombia,bancolombia,2004-02-24,1951472.1039
colombia,bancolombia,2004-02-25,1951472.1039
colombia,bancolombia,2004-02-26,1911646.1426
colombia,bancolombia,2004-02-27,1991298.0652
colombia,bancolombia,2004-03-01,1987315.4691
colombia,bancolombia,2004-03-02,1947489.5078
colombia,bancolombia,2004-03-03,1891733.1619
colombia,bancolombia,2004-03-04,1951472.1039
colombia,bancolombia,2004-03-05,1971385.0845
colombia,bancolombia,2004-03-08,1987315.4691
colombia,bancolombia,2004-03-09,1995280.6613
colombia,bancolombia,2004-03-10,1991298.0652
colombia,bancolombia,2004-03-11,2011211.0458
colombia,bancolombia,2004-03-12,2066967.3917
colombia,bancolombia,2004-03-15,2051037.0071
colombia,bancolombia,2004-03-16,2047054.411
colombia,bancolombia,2004-03-17,1991298.0652
colombia,bancolombia,2004-03-18,2051037.0071
colombia,bancolombia,2004-03-19,2066967.3917
colombia,bancolombia,2004-03-23,2055019.6033
colombia,bancolombia,2004-03-24,2082897.7762
colombia,bancolombia,2004-03-25,2070949.9878
colombia,bancolombia,2004-03-26,2090862.9684
colombia,bancolombia,2004-03-29,2122723.7375
colombia,bancolombia,2004-03-30,2150601.9104
colombia,bancolombia,2004-03-31,2150601.9104
colombia,bancolombia,2004-04-01,2142636.7181
colombia,bancolombia,2004-04-02,2142636.7181
colombia,bancolombia,2004-04-05,2150601.9104
colombia,bancolombia,2004-04-06,2150601.9104
colombia,bancolombia,2004-04-07,2154584.5065
colombia,bancolombia,2004-04-12,2154584.5065
colombia,bancolombia,2004-04-13,2130688.9297
colombia,bancolombia,2004-04-14,2190427.8717
colombia,bancolombia,2004-04-15,2170514.8911
colombia,bancolombia,2004-04-16,2190427.8717
colombia,bancolombia,2004-04-19,2210340.8524
colombia,bancolombia,2004-04-20,2170514.8911
colombia,bancolombia,2004-04-21,2142636.7181
colombia,bancolombia,2004-04-22,2142636.7181
colombia,bancolombia,2004-04-23,2170514.8911
colombia,bancolombia,2004-04-26,2210340.8524
colombia,bancolombia,2004-04-27,2250166.8137
colombia,bancolombia,2004-04-28,2210340.8524
colombia,bancolombia,2004-04-29,2154584.5065
colombia,bancolombia,2004-04-30,2142636.7181
colombia,bancolombia,2004-05-03,2070949.9878
colombia,bancolombia,2004-05-04,2130688.9297
colombia,bancolombia,2004-05-05,2090862.9684
colombia,bancolombia,2004-05-06,2070949.9878
colombia,bancolombia,2004-05-07,1991298.0652
colombia,bancolombia,2004-05-10,1871820.1813
colombia,bancolombia,2004-05-11,1772255.278
colombia,bancolombia,2004-05-12,1732429.3167
colombia,bancolombia,2004-05-13,1612951.4328
colombia,bancolombia,2004-05-14,1824029.0277
colombia,bancolombia,2004-05-17,1776237.8741
colombia,bancolombia,2004-05-18,1776237.8741
colombia,bancolombia,2004-05-19,1804116.0471
colombia,bancolombia,2004-05-20,1831994.22
colombia,bancolombia,2004-05-21,1812081.2393
colombia,bancolombia,2004-05-25,1792168.2587
colombia,bancolombia,2004-05-26,1784203.0664
colombia,bancolombia,2004-05-27,1792168.2587
colombia,bancolombia,2004-05-28,1792168.2587
colombia,bancolombia,2004-05-31,1792168.2587
colombia,bancolombia,2004-06-01,1831994.22
colombia,bancolombia,2004-06-02,1871820.1813
colombia,bancolombia,2004-06-03,1893724.46
colombia,bancolombia,2004-06-04,1923593.931
colombia,bancolombia,2004-06-07,1951472.1039
colombia,bancolombia,2004-06-08,1871820.1813
colombia,bancolombia,2004-06-09,1820046.4316
colombia,bancolombia,2004-06-10,1871820.1813
colombia,bancolombia,2004-06-11,1875802.7774
colombia,bancolombia,2004-06-15,1879785.3735
colombia,bancolombia,2004-06-16,1863854.989
colombia,bancolombia,2004-06-17,1835976.8161
colombia,bancolombia,2004-06-18,1828011.6238
colombia,bancolombia,2004-06-22,1830002.9219
colombia,bancolombia,2004-06-23,1796150.8548
colombia,bancolombia,2004-06-24,1831994.22
colombia,bancolombia,2004-06-25,1812081.2393
colombia,bancolombia,2004-06-28,1824029.0277
colombia,bancolombia,2004-06-29,1824029.0277
colombia,bancolombia,2004-06-30,1831994.22
colombia,bancolombia,2004-07-01,1845933.3064
colombia,bancolombia,2004-07-02,1828011.6238
colombia,bancolombia,2004-07-06,1831994.22
colombia,bancolombia,2004-07-07,1812081.2393
colombia,bancolombia,2004-07-08,1831994.22
colombia,bancolombia,2004-07-09,1843942.0084
colombia,bancolombia,2004-07-12,1831994.22
colombia,bancolombia,2004-07-13,1847924.6045
colombia,bancolombia,2004-07-14,1847924.6045
colombia,bancolombia,2004-07-15,1871820.1813
colombia,bancolombia,2004-07-16,1871820.1813
colombia,bancolombia,2004-07-19,1871820.1813
colombia,bancolombia,2004-07-21,1871820.1813
colombia,bancolombia,2004-07-22,1859872.3929
colombia,bancolombia,2004-07-23,1867837.5851
colombia,bancolombia,2004-07-26,1863854.989
colombia,bancolombia,2004-07-27,1800133.4509
colombia,bancolombia,2004-07-28,1804116.0471
colombia,bancolombia,2004-07-29,1835976.8161
colombia,bancolombia,2004-07-30,1851907.2006
colombia,bancolombia,2004-08-02,1831994.22
colombia,bancolombia,2004-08-03,1812081.2393
colombia,bancolombia,2004-08-04,1800133.4509
colombia,bancolombia,2004-08-05,1800133.4509
colombia,bancolombia,2004-08-06,1812081.2393
colombia,bancolombia,2004-08-09,1804116.0471
colombia,bancolombia,2004-08-10,1792168.2587
colombia,bancolombia,2004-08-11,1784203.0664
colombia,bancolombia,2004-08-12,1784203.0664
colombia,bancolombia,2004-08-13,1764290.0858
colombia,bancolombia,2004-08-17,1732429.3167
colombia,bancolombia,2004-08-18,1732429.3167
colombia,bancolombia,2004-08-19,1752342.2974
colombia,bancolombia,2004-08-20,1752342.2974
colombia,bancolombia,2004-08-23,1776237.8741
colombia,bancolombia,2004-08-24,1820046.4316
colombia,bancolombia,2004-08-25,1831994.22
colombia,bancolombia,2004-08-26,1851907.2006
colombia,bancolombia,2004-08-27,1881776.6716
colombia,bancolombia,2004-08-30,1879785.3735
colombia,bancolombia,2004-08-31,1891733.1619
colombia,bancolombia,2004-09-01,1951472.1039
colombia,bancolombia,2004-09-02,1947489.5078
colombia,bancolombia,2004-09-03,1971385.0845
colombia,bancolombia,2004-09-06,2110775.9491
colombia,bancolombia,2004-09-07,2150601.9104
colombia,bancolombia,2004-09-08,2218306.0446
colombia,bancolombia,2004-09-09,2138654.122
colombia,bancolombia,2004-09-10,2190427.8717
colombia,bancolombia,2004-09-13,2270079.7943
colombia,bancolombia,2004-09-14,2385575.0821
colombia,bancolombia,2004-09-15,2469209.6008
colombia,bancolombia,2004-09-16,2385575.0821
colombia,bancolombia,2004-09-17,2381592.486
colombia,bancolombia,2004-09-20,2377609.8898
colombia,bancolombia,2004-09-21,2377609.8898
colombia,bancolombia,2004-09-22,2349731.7169
colombia,bancolombia,2004-09-23,2317870.9479
colombia,bancolombia,2004-09-24,2250166.8137
colombia,bancolombia,2004-09-27,2266097.1982
colombia,bancolombia,2004-09-28,2230253.833
colombia,bancolombia,2004-09-29,2210340.8524
colombia,bancolombia,2004-09-30,2190427.8717
colombia,bancolombia,2004-10-01,2150601.9104
colombia,bancolombia,2004-10-04,2186445.2756
colombia,bancolombia,2004-10-05,2170514.8911
colombia,bancolombia,2004-10-06,2190427.8717
colombia,bancolombia,2004-10-07,2309905.7556
colombia,bancolombia,2004-10-08,2254149.4098
colombia,bancolombia,2004-10-11,2289992.775
colombia,bancolombia,2004-10-12,2309905.7556
colombia,bancolombia,2004-10-13,2309905.7556
colombia,bancolombia,2004-10-14,2309905.7556
colombia,bancolombia,2004-10-15,2309905.7556
colombia,bancolombia,2004-10-19,2305923.1595
colombia,bancolombia,2004-10-20,2297957.9672
colombia,bancolombia,2004-10-21,2297957.9672
colombia,bancolombia,2004-10-22,2286010.1788
colombia,bancolombia,2004-10-25,2289992.775
colombia,bancolombia,2004-10-26,2289992.775
colombia,bancolombia,2004-10-27,2289992.775
colombia,bancolombia,2004-10-28,2270079.7943
colombia,bancolombia,2004-10-29,2289992.775
colombia,bancolombia,2004-11-02,2377609.8898
colombia,bancolombia,2004-11-03,2429383.6395
colombia,bancolombia,2004-11-04,2489122.5815
colombia,bancolombia,2004-11-05,2489122.5815
colombia,bancolombia,2004-11-08,2524965.9467
colombia,bancolombia,2004-11-09,2493105.1776
colombia,bancolombia,2004-11-10,2509035.5621
colombia,bancolombia,2004-11-11,2544878.9273
colombia,bancolombia,2004-11-12,2568774.5041
colombia,bancolombia,2004-11-16,2544878.9273
colombia,bancolombia,2004-11-17,2489122.5815
colombia,bancolombia,2004-11-18,2540896.3312
colombia,bancolombia,2004-11-19,2608600.4654
colombia,bancolombia,2004-11-22,2747991.33
colombia,bancolombia,2004-11-23,2767904.3106
colombia,bancolombia,2004-11-24,2728078.3493
colombia,bancolombia,2004-11-25,2740026.1377
colombia,bancolombia,2004-11-26,2767904.3106
colombia,bancolombia,2004-11-29,2807730.2719
