countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
egypt,cib,2010-02-27,93.237,57081.99599999999,64254.5609,4179.2565,473.1757,1300.8661,0.36373897359612956,7079.3279,93.237,57175.23299999999
egypt,cib,2010-05-27,89.2301,61446.118700000006,68569.2814,4098.8963,528.3808,1496.4712,0.35308450974532624,7033.9326,89.2301,61535.34880000001
egypt,cib,2010-08-27,106.603,61956.2183,69612.7084,4444.1117,495.0655,1602.009,0.3090279143250756,7549.8871,106.603,62062.8213
egypt,cib,2010-11-27,135.0646,63092.37929999999,71239.6693,4532.6837,392.7397,1482.6442,0.26489140145693757,8012.2254,135.0646,63227.44389999999
egypt,cib,2011-02-27,129.1134,66682.4174,75425.4336,5675.2418,604.4654,1798.8189,0.3360346058182956,8613.9028,129.1134,66811.53080000001
egypt,cib,2011-05-27,264.9509,70996.3504,79079.0529,5168.9904,307.944,1654.5268,0.18612209847552785,7817.7516,264.9509,71261.30129999999
egypt,cib,2011-08-27,261.1577,69482.864,78009.3327,6075.17,442.8514,1698.0452,0.2608007136676927,8265.311,261.1577,69744.0217
egypt,cib,2011-11-27,95.9156,72872.40650000001,81550.1928,4585.3955,314.3012,1668.4204,0.18838249640198598,8581.8707,95.9156,72968.3221
egypt,cib,2012-02-27,99.3334,76648.40759999999,85506.216,7492.0645,549.6417,1892.0321,0.29050336936672483,8758.475,99.3334,76747.741
egypt,cib,2012-05-27,101.9317,78117.2449,86511.3444,5395.1583,505.0587,2009.7708,0.2513016409632382,8292.1678,101.9317,78219.1766
egypt,cib,2012-08-27,91.075,80592.5984,89601.7286,5542.3209,523.0811,2273.1787,0.23010997771534636,8918.0552,91.075,80683.6734
egypt,cib,2012-11-27,62.4242,83040.68310000001,93505.474,3414.5104,610.4346,2575.9098,0.23697825133473233,10402.3667,62.4242,83103.1073
egypt,cib,2013-02-27,80.4952,83064.0006,93956.5436,5393.9741,587.606,2614.8571,0.22471820735442866,10812.0478,80.4952,83144.4958
egypt,cib,2013-05-27,129.1302,91035.0458,101451.6434,5616.2912,657.5922,2642.2287,0.24887785073260313,10287.4674,129.1302,91164.176
egypt,cib,2013-08-27,117.7954,94669.4542,105582.2126,6417.8839,671.2487,3025.7162,0.22184787191872127,10794.963,117.7954,94787.2496
egypt,cib,2013-11-27,110.1054,97647.5188,109208.7448,3956.0537,920.3611,3014.1323,0.3053486072923872,11451.1206,110.1054,97757.6242
egypt,cib,2014-02-27,132.1532,101612.7154,113751.9954,4804.9742,757.2855,3076.4627,0.24615461776929717,12007.1268,132.1532,101744.8686
egypt,cib,2014-05-27,141.3021,108119.1682,120189.2331,4729.8299,805.2249,3129.5654,0.25729607695688356,11928.7628,141.3021,108260.4703
egypt,cib,2014-08-27,212.188,115014.32400000001,128240.119,6173.381,932.098,3485.121,0.2674506853564051,13013.607,212.188,115226.512
egypt,cib,2014-11-27,230.878,122217.463,136265.266,6611.568,971.644,3643.363,0.2666887707867704,13816.925,230.878,122448.341
egypt,cib,2015-02-27,242.878,128767.012,143813.323,7502.256,1032.489,3676.176,0.28085951271103454,14803.433,242.878,129009.89
egypt,cib,2015-05-27,214.662,143089.92899999997,157812.816,8842.134,1108.166,4073.108,0.27206889677366763,14508.225,214.662,143304.591
egypt,cib,2015-08-27,205.974,148036.961,163148.826,12668.642,1147.532,4144.458,0.2768834911585544,14905.891,205.974,148242.935
egypt,cib,2015-11-27,168.456,160403.804,176417.749,9230.657,1327.657,4506.489,0.2946100611806664,15845.489,168.456,160572.26
