countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
hungary,granit,2026-08-27,,,,,4100.0,,,,,
hungary,mbh_mortgage,2004-05-27,308629.3125,15154.556199999992,336390.5313,92.224,1492.8,9794.7373,0.15240837546505712,12606.6626,308629.3125,323783.8687
hungary,mbh_mortgage,2004-08-27,346325.9063,16173.433500000043,376927.1875,6726.2998,1821.1801,11844.3799,0.1537590076792454,14427.8477,346325.9063,362499.3398
hungary,mbh_mortgage,2004-11-27,362671.6875,23307.529299999995,403192.5938,22594.6191,2466.428,12916.5898,0.19095040085580484,17213.377,362671.6875,385979.2168
hungary,mbh_mortgage,2005-02-27,384420.416,13153.015999999945,415070.736,10183.246,2466.428,12916.5898,0.19095040085580484,17497.304,384420.416,397573.432
hungary,mbh_mortgage,2005-05-27,376364.3125,24350.49709999998,421346.4375,13206.4336,2249.0049,13383.7754,0.16803964746748512,20631.6279,376364.3125,400714.8096
hungary,mbh_mortgage,2005-08-27,402053.4688,29766.078099999984,451304.4688,23632.2949,2279.6951,13842.8213,0.16468428296477394,19484.9219,402053.4688,431819.54689999996
hungary,mbh_mortgage,2005-11-27,400944.0,46165.4375,467954.9375,5700.7061,1972.4969,14312.5547,0.1378158505832645,20845.5,400944.0,447109.4375
hungary,mbh_mortgage,2006-02-27,421112.594,36480.48200000002,481333.632,29128.937,1964.911,13635.712,0.14410035940917498,23740.556,421112.594,457593.076
hungary,mbh_mortgage,2006-05-27,447784.4063,30332.786100000027,503244.4688,24960.7383,2081.9819,14370.0391,0.1448835236641771,25127.2764,447784.4063,478117.1924
hungary,mbh_mortgage,2006-08-27,463231.3125,34563.183100000024,524907.0,22141.6758,1667.6591,14515.4746,0.11488836196923248,27112.5044,463231.3125,497794.4956
hungary,mbh_mortgage,2006-11-27,454879.625,55382.61869999999,539187.25,24241.1035,1789.5179,14580.4248,0.12273427726193546,28925.0063,454879.625,510262.2437
hungary,mbh_mortgage,2007-02-27,455657.457,52157.45900000003,537302.104,19387.848,1999.521,14551.094,0.13741379170528348,29487.188,455657.457,507814.916
hungary,mbh_mortgage,2007-05-27,466605.9688,48007.21380000003,545607.5625,288.79,1736.127,14825.1475,0.11710689556377095,30994.3799,466605.9688,514613.1826
hungary,mbh_mortgage,2007-08-27,491251.4063,61786.11229999998,581551.8125,760.929,1050.847,15203.2109,0.06912006989260407,28514.2939,491251.4063,553037.5186
hungary,mbh_mortgage,2007-11-27,505130.375,57270.413100000005,592927.5625,863.199,1320.131,16447.9922,0.0802609208435787,30526.7744,505130.375,562400.7881
hungary,mbh_mortgage,2008-02-27,544894.795,40002.08699999994,616954.271,679.315,1187.05,17947.713,0.06613934599912534,32057.389,544894.795,584896.882
hungary,mbh_mortgage,2008-05-27,559719.4375,41631.30759999994,637411.375,975.475,2325.8091,19219.4512,0.12101329407366221,36060.6299,559719.4375,601350.7451
hungary,mbh_mortgage,2008-08-27,529383.737,63886.36600000004,630738.241,1977.442,1133.965,18476.619,0.06137297088823448,37468.138,529383.737,593270.103
hungary,mbh_mortgage,2008-11-27,570269.3125,67562.15720000002,676591.3125,4193.9868,1600.661,20683.2793,0.07738913045573001,38759.8428,570269.3125,637831.4697
hungary,mbh_mortgage,2009-02-27,602217.4375,47107.846699999995,689512.1875,5348.9888,1622.344,23621.1016,0.06868197882862499,40186.9033,602217.4375,649325.2842
hungary,mbh_mortgage,2009-05-27,588808.25,113650.91500000004,746238.0625,1681.787,1452.363,22366.4434,0.06493491048290673,43778.8975,588808.25,702459.165
hungary,mbh_mortgage,2009-08-27,682399.6875,88653.89159999997,817455.0,7007.3169,2602.9851,22189.1133,0.11730910851674274,46401.4209,682399.6875,771053.5791
hungary,mbh_mortgage,2009-11-27,653092.0625,86140.90720000002,786560.25,1311.39,1442.634,21999.125,0.06557688089867211,47327.2803,653092.0625,739232.9697
hungary,mbh_mortgage,2010-02-27,641534.163,106943.20200000005,824978.081,261.294,1046.262,12054.541,0.08679401397365524,76500.716,641534.163,748477.365
hungary,mbh_mortgage,2010-05-27,588902.177,135015.762,772377.661,1682.821,1503.39,20317.766,0.07399386330170354,48459.722,588902.177,723917.939
hungary,mbh_mortgage,2010-08-27,612515.409,167377.53600000008,829479.851,4713.908,1289.813,18803.823,0.06859312598294506,49586.906,612515.409,779892.9450000001
hungary,mbh_mortgage,2010-11-27,609523.105,145137.892,806268.112,2318.831,277.279,18933.989,0.014644510462111284,51607.115,609523.105,754660.997
hungary,mbh_mortgage,2011-02-27,609928.692,204530.2309999999,873520.488,6644.611,8127.351,27244.571,0.29831084512213457,59061.565,609928.692,814458.923
hungary,mbh_mortgage,2011-05-27,93518.0,673992.0,826890.0,4348.0,169.0,21215.0,0.007966061748762668,59380.0,93518.0,767510.0
hungary,mbh_mortgage,2011-08-27,80133.0,699783.0,839767.0,3268.0,759.0,20564.0,0.03690916164170395,59851.0,80133.0,779916.0
hungary,mbh_mortgage,2011-11-27,73588.0,724706.0,855966.0,7338.0,-2298.0,22141.0,-0.10378935007452238,57672.0,73588.0,798294.0
hungary,mbh_mortgage,2012-02-27,72754.0,689979.0,816114.0,11261.0,-4248.0,28304.0,-0.1500847936687394,53381.0,72754.0,762733.0
hungary,mbh_mortgage,2012-05-27,55140.0,670276.0,778877.0,2432.0,14.0,21535.0,0.000650104481077316,53461.0,55140.0,725416.0
hungary,mbh_mortgage,2012-08-27,69074.0,686783.0,809616.0,2119.0,54.0,23852.0,0.0022639610934093576,53759.0,69074.0,755857.0
hungary,mbh_mortgage,2012-11-27,44319.0,655905.0,751450.0,2283.0,-2624.0,19568.0,-0.13409648405560098,51226.0,44319.0,700224.0
hungary,mbh_mortgage,2013-02-27,294836.0,380249.0,752625.0,7281.0,-1908.0,20924.0,-0.09118715350793348,77540.0,294836.0,675085.0
hungary,mbh_mortgage,2013-05-27,267361.0,367007.0,710429.0,2191.0,-1589.0,19070.0,-0.08332459360251704,76061.0,267361.0,634368.0
hungary,mbh_mortgage,2013-08-27,277930.0,385174.0,739032.0,1806.0,-3004.0,15675.0,-0.1916427432216906,75928.0,277930.0,663104.0
hungary,mbh_mortgage,2013-11-27,260276.0,446747.0,782598.0,2079.0,-282.0,19391.0,-0.014542829147542674,75575.0,260276.0,707023.0
hungary,mbh_mortgage,2014-02-27,238143.0,423299.0,737514.0,13508.0,211.0,18695.0,0.011286440224659,76072.0,238143.0,661442.0
hungary,mbh_mortgage,2014-05-27,260113.0,452258.0,789321.0,1734.0,1145.0,18450.0,0.06205962059620596,76950.0,260113.0,712371.0
hungary,mbh_mortgage,2014-08-27,249153.0,352165.0,674715.0,1865.0,-3554.0,16609.0,-0.2139803720874225,73397.0,249153.0,601318.0
hungary,mbh_mortgage,2014-11-27,254601.0,414150.0,759949.0,2071.0,-7190.0,18040.0,-0.3985587583148559,91198.0,254601.0,668751.0
hungary,mbh_mortgage,2015-02-27,261116.0,420273.0,769437.0,160964.0,-5281.0,14861.0,-0.35535966624049525,88048.0,261116.0,681389.0
hungary,mbh_mortgage,2015-05-27,272459.0,465597.0,821973.0,236371.0,-3804.0,29902.0,-0.1272155708648251,83917.0,272459.0,738056.0
hungary,mbh_mortgage,2015-08-27,271825.0,399276.0,753629.0,238484.0,-1491.0,17347.0,-0.08595146134778348,82528.0,271825.0,671101.0
hungary,mbh_mortgage,2015-11-27,284800.0,381007.0,748068.0,212272.0,-502.0,15939.0,-0.03149507497333584,82261.0,284800.0,665807.0
hungary,mbh_mortgage,2016-02-27,235127.0,401161.0,744820.0,165766.0,-2507.0,15939.0,-0.15728715728715728,108532.0,235127.0,636288.0
hungary,mbh_mortgage,2016-05-27,249627.0,381666.0,738741.0,2801.0,-1277.0,12526.0,-0.10194794826760338,107448.0,249627.0,631293.0
