countryname,bankname,date,mktcap
hungary,otp_bank,2004-01-05,705815.0101
hungary,otp_bank,2004-01-06,722497.9103
hungary,otp_bank,2004-01-07,719931.3103
hungary,otp_bank,2004-01-08,734047.6105
hungary,otp_bank,2004-01-09,718648.0103
hungary,otp_bank,2004-01-12,713258.1502
hungary,otp_bank,2004-01-13,708381.6101
hungary,otp_bank,2004-01-14,718648.0103
hungary,otp_bank,2004-01-15,712231.5102
hungary,otp_bank,2004-01-16,715054.7702
hungary,otp_bank,2004-01-19,728914.4104
hungary,otp_bank,2004-01-20,734047.6105
hungary,otp_bank,2004-01-21,715824.7502
hungary,otp_bank,2004-01-22,722754.5703
hungary,otp_bank,2004-01-23,737640.8505
hungary,otp_bank,2004-01-26,733790.9505
hungary,otp_bank,2004-01-27,742774.0506
hungary,otp_bank,2004-01-28,757147.0108
hungary,otp_bank,2004-01-29,767156.7509
hungary,otp_bank,2004-01-30,760996.9109
hungary,otp_bank,2004-02-02,769723.351
hungary,otp_bank,2004-02-03,760483.5909
hungary,otp_bank,2004-02-04,815360.0
hungary,otp_bank,2004-02-05,830200.0
hungary,otp_bank,2004-02-06,814800.0
hungary,otp_bank,2004-02-09,835800.0
hungary,otp_bank,2004-02-10,838600.0
hungary,otp_bank,2004-02-11,836360.0
hungary,otp_bank,2004-02-12,823200.0
hungary,otp_bank,2004-02-13,823200.0
hungary,otp_bank,2004-02-16,828800.0
hungary,otp_bank,2004-02-17,839440.0
hungary,otp_bank,2004-02-18,834400.0
hungary,otp_bank,2004-02-19,872760.0
hungary,otp_bank,2004-02-20,887600.0
hungary,otp_bank,2004-02-23,884800.0
hungary,otp_bank,2004-02-24,885080.0
hungary,otp_bank,2004-02-25,904400.0
hungary,otp_bank,2004-02-26,943600.0
hungary,otp_bank,2004-02-27,949200.0
hungary,otp_bank,2004-03-01,963200.0
hungary,otp_bank,2004-03-02,999040.0
hungary,otp_bank,2004-03-03,974400.0
hungary,otp_bank,2004-03-04,974400.0
hungary,otp_bank,2004-03-05,993720.0
hungary,otp_bank,2004-03-08,1002400.0
hungary,otp_bank,2004-03-09,976920.0
hungary,otp_bank,2004-03-10,968800.0
hungary,otp_bank,2004-03-11,959280.0
hungary,otp_bank,2004-03-12,993720.0
hungary,otp_bank,2004-03-16,988400.0
hungary,otp_bank,2004-03-17,1019200.0
hungary,otp_bank,2004-03-18,1020600.0
hungary,otp_bank,2004-03-19,999600.0
hungary,otp_bank,2004-03-22,989800.0
