countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
indonesia,bca,2010-02-27,1823664.0,252711967.0,282392324.0,20376429.0,1717580.0,7164077.0,0.23974895858880355,27856693.0,1823664.0,254535631.0
indonesia,bca,2010-05-27,1785057.0,252620033.0,284231500.0,18569803.0,1931014.0,6666112.0,0.2896762010599282,29826410.0,1785057.0,254405090.0
indonesia,bca,2010-08-27,2058251.0,266318118.0,298576072.0,6865283.0,2049685.0,6846553.0,0.2993747364549723,30199703.0,2058251.0,268376369.0
indonesia,bca,2010-11-27,1735555.0,276029328.0,310196236.0,9561794.0,2128223.0,7134943.0,0.2982817101692333,32431353.0,1735555.0,277764883.0
indonesia,bca,2011-02-27,1746694.0,288564531.0,324419069.0,30224537.0,2370351.0,7382167.0,0.3210914898023846,34107844.0,1746694.0,290311225.0
indonesia,bca,2011-05-27,1611545.0,288796091.0,326471709.0,35249507.0,2016475.0,7367621.0,0.2736941816089617,36064073.0,1611545.0,290407636.0
indonesia,bca,2011-08-27,2295824.0,300368427.0,339786901.0,37627165.0,2776138.0,7718272.0,0.35968387742748636,37122650.0,2295824.0,302664251.0
indonesia,bca,2011-11-27,1008039.0,321517783.0,362318795.0,40294176.0,2862667.0,8213590.0,0.3485281101199354,39792973.0,1008039.0,322525822.0
indonesia,bca,2012-02-27,975567.0,338905446.0,381908353.0,42236695.0,3164029.0,8284097.0,0.381940119725783,42027340.0,975567.0,339881013.0
indonesia,bca,2012-05-27,1543208.0,354871267.0,400731132.0,42423499.0,2303700.0,8317411.0,0.27697320716747076,44316657.0,1543208.0,356414475.0
indonesia,bca,2012-08-27,2393739.0,360670205.0,408578773.0,42251121.0,2994900.0,8585864.0,0.34881754474564236,45514829.0,2393739.0,363063944.0
indonesia,bca,2012-11-27,1542301.0,376251778.0,427014666.0,43172438.0,2977027.0,8897508.0,0.3345911012386839,49220587.0,1542301.0,377794079.0
indonesia,bca,2013-02-27,1543036.0,389553219.0,442994197.0,44902208.0,3446090.0,9389144.0,0.36702919882792295,51897942.0,1543036.0,391096255.0
indonesia,bca,2013-05-27,1444158.0,389401539.0,447444999.0,45295413.0,2891890.0,9355628.0,0.30910698886274657,56599302.0,1444158.0,390845697.0
indonesia,bca,2013-08-27,1592670.0,398801741.0,458024390.0,45758207.0,3429181.0,9765677.0,0.35114626461637016,57629979.0,1592670.0,400394411.0
indonesia,bca,2013-11-27,1593309.0,424308957.0,487133659.0,46536682.0,4038957.0,10805412.0,0.37379018958277577,61231393.0,1593309.0,425902266.0
indonesia,bca,2014-02-27,1887384.0,430450511.0,496304573.0,51553219.0,3893803.0,11543802.0,0.33730680758384457,63966678.0,1887384.0,432337895.0
indonesia,bca,2014-05-27,3446943.0,430756589.0,502187828.0,47937148.0,3664907.0,12403096.0,0.29548324063604764,67984296.0,3446943.0,434203532.0
indonesia,bca,2014-08-27,2854557.0,449506380.0,522713985.0,49583421.0,4186711.0,12746943.0,0.32844824049185756,70353048.0,2854557.0,452360937.0
indonesia,bca,2014-11-27,2791422.0,459696830.0,537210075.0,50279303.0,4343504.0,13562274.0,0.3202636961913614,74721823.0,2791422.0,462488252.0
indonesia,bca,2015-02-27,2658295.0,474771549.0,553155534.0,58452746.0,4290736.0,14407528.0,0.29781208823609434,75725690.0,2658295.0,477429844.0
indonesia,bca,2015-05-27,3103380.0,474317104.0,557438896.0,51817822.0,4057264.0,14025229.0,0.28928326232676843,80018412.0,3103380.0,477420484.0
