countryname,bankname,date,mktcap
indonesia,bca,2004-01-02,20392979.9438
indonesia,bca,2004-01-05,20699784.668
indonesia,bca,2004-01-06,21160785.5713
indonesia,bca,2004-01-07,21008363.0005
indonesia,bca,2004-01-08,21775190.3809
indonesia,bca,2004-01-09,22848615.2588
indonesia,bca,2004-01-12,22545177.5391
indonesia,bca,2004-01-13,22698705.0781
indonesia,bca,2004-01-14,23008533.3252
indonesia,bca,2004-01-15,22858231.5063
indonesia,bca,2004-01-16,22858640.7471
indonesia,bca,2004-01-19,22705227.0508
indonesia,bca,2004-01-20,22247019.7144
indonesia,bca,2004-01-21,22554562.4268
indonesia,bca,2004-01-23,22555158.1787
indonesia,bca,2004-01-26,23322474.0234
indonesia,bca,2004-01-27,23936312.8418
indonesia,bca,2004-01-28,23629474.6338
indonesia,bca,2004-01-29,23782986.5723
indonesia,bca,2004-01-30,23630087.4756
indonesia,bca,2004-02-03,22712919.7266
indonesia,bca,2004-02-04,22713187.1094
indonesia,bca,2004-02-05,22713494.2383
indonesia,bca,2004-02-06,23327372.4609
indonesia,bca,2004-02-09,23327429.9805
indonesia,bca,2004-02-10,23787883.3008
indonesia,bca,2004-02-11,23787888.9771
indonesia,bca,2004-02-12,24094829.48
indonesia,bca,2004-02-13,23941707.7148
indonesia,bca,2004-02-16,23788235.2295
indonesia,bca,2004-02-17,23021478.8818
indonesia,bca,2004-02-18,23175899.1577
indonesia,bca,2004-02-19,23175996.8506
indonesia,bca,2004-02-20,24097048.7915
indonesia,bca,2004-02-24,23483187.8174
indonesia,bca,2004-02-25,22869248.2666
indonesia,bca,2004-02-26,22869248.2666
indonesia,bca,2004-02-27,22409476.1963
indonesia,bca,2004-03-01,22409593.8232
indonesia,bca,2004-03-02,22563084.1919
indonesia,bca,2004-03-03,23637516.7725
indonesia,bca,2004-03-04,23944705.0781
indonesia,bca,2004-03-05,23944705.0781
indonesia,bca,2004-03-08,23791281.4941
indonesia,bca,2004-03-09,24252924.7803
indonesia,bca,2004-03-10,23792426.2085
indonesia,bca,2004-03-11,23178428.1128
indonesia,bca,2004-03-12,23178992.1509
indonesia,bca,2004-03-15,23180116.5405
indonesia,bca,2004-03-16,22873095.1294
indonesia,bca,2004-03-17,23026605.835
indonesia,bca,2004-03-18,23333703.3203
indonesia,bca,2004-03-19,23333703.3203
indonesia,bca,2004-03-23,23026723.0225
indonesia,bca,2004-03-24,22719700.0488
