countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
malaysia,ambank,2010-02-27,1106.222,84257.373,94902.269,13382.696,268.474,1341.464,0.200135076304694,9538.674,1106.222,85363.595
malaysia,ambank,2010-05-27,5785.143,80851.17300000001,96480.303,771.853,241.749,1326.74,0.1822127922577144,9843.987,5785.143,86636.316
malaysia,ambank,2010-08-27,7153.101,80259.974,97421.397,11385.429,368.283,1455.799,0.25297654415204296,10008.322,7153.101,87413.075
malaysia,ambank,2010-11-27,7872.947,82453.314,100397.923,9254.977,332.872,1454.162,0.2289098463582462,10071.662,7872.947,90326.261
malaysia,ambank,2011-02-27,8743.487,86014.276,104970.45,13260.718,325.311,1534.434,0.2120071635534666,10212.687,8743.487,94757.76299999999
malaysia,ambank,2011-05-27,9363.315,88305.844,108236.205,13648.409,316.346,1478.906,0.21390541386673664,10567.046,9363.315,97669.159
malaysia,ambank,2011-08-27,9600.464,91112.296,111649.637,18774.603,429.009,1635.365,0.2623322622166917,10936.877,9600.464,100712.76000000001
malaysia,ambank,2011-11-27,10516.508,86305.257,107737.989,11510.607,360.07,1623.823,0.22174214800504732,10916.224,10516.508,96821.765
malaysia,ambank,2012-02-27,10272.92,85844.99799999999,107229.855,11726.689,346.183,1548.282,0.22359169711977533,11111.937,10272.92,96117.91799999999
malaysia,ambank,2012-05-27,12104.663,89326.163,112922.78,10395.57,325.275,1593.337,0.20414701974535204,11491.954,12104.663,101430.826
malaysia,ambank,2012-08-27,10388.996,93430.223,115725.103,11687.421,442.875,1639.03,0.270205548403629,11905.884,10388.996,103819.219
malaysia,ambank,2012-11-27,11398.975,99174.53899999999,123315.424,12144.602,380.444,1575.993,0.2413995493634807,12741.91,11398.975,110573.514
malaysia,ambank,2013-02-27,12838.962,96951.92599999999,122704.84,13677.122,396.208,1721.02,0.23021696435834565,12913.952,12838.962,109790.88799999999
malaysia,ambank,2013-05-27,13799.142,100831.78899999999,127572.261,14687.583,404.849,1734.21,0.23344865962023054,12941.33,13799.142,114630.931
malaysia,ambank,2013-08-27,13663.161,99946.193,127246.903,13759.007,461.982,1772.306,0.26066717598428263,13637.549,13663.161,113609.354
malaysia,ambank,2013-11-27,14452.105,100935.638,128965.306,16460.245,440.857,1775.198,0.2483424384209536,13577.563,14452.105,115387.743
malaysia,ambank,2014-02-27,14305.392,102939.30300000001,131020.187,15021.177,415.833,1816.528,0.22891637233227344,13775.492,14305.392,117244.695
malaysia,ambank,2014-05-27,14729.102,103915.999,132739.49,13410.307,463.707,1734.972,0.2672705957214295,14094.389,14729.102,118645.101
malaysia,ambank,2014-08-27,14197.054,95633.21800000001,124657.441,10064.441,536.94,2045.418,0.2625086901552641,14827.169,14197.054,109830.27200000001
malaysia,ambank,2014-11-27,14692.64,94629.001,124135.22,12139.093,445.819,1698.487,0.26248007785752847,14813.579,14692.64,109321.641
malaysia,ambank,2015-02-27,14981.67,100322.71399999999,130201.742,12293.176,416.647,1580.52,0.2636138739149141,14897.358,14981.67,115304.38399999999
malaysia,ambank,2015-05-27,15652.512,102643.88799999999,133803.824,13973.191,519.224,1705.21,0.30449270177866655,15507.424,15652.512,118296.4
