countryname,bankname,date,mktcap
malaysia,maybank,2004-01-02,35461.693
malaysia,maybank,2004-01-05,35281.6844
malaysia,maybank,2004-01-06,34561.65
malaysia,maybank,2004-01-07,37081.7703
malaysia,maybank,2004-01-08,37081.7703
malaysia,maybank,2004-01-09,37081.7703
malaysia,maybank,2004-01-12,36361.7359
malaysia,maybank,2004-01-13,35821.7102
malaysia,maybank,2004-01-14,36001.7188
malaysia,maybank,2004-01-15,36361.7359
malaysia,maybank,2004-01-16,36721.7531
malaysia,maybank,2004-01-19,36361.7359
malaysia,maybank,2004-01-20,36361.7359
malaysia,maybank,2004-01-26,37081.7703
malaysia,maybank,2004-01-27,37081.7703
malaysia,maybank,2004-01-28,37081.7703
malaysia,maybank,2004-01-29,36721.7531
malaysia,maybank,2004-01-30,37081.7703
malaysia,maybank,2004-02-04,36361.7359
malaysia,maybank,2004-02-05,36361.7359
malaysia,maybank,2004-02-06,36721.7531
malaysia,maybank,2004-02-09,37081.7703
malaysia,maybank,2004-02-10,37081.7703
malaysia,maybank,2004-02-11,37081.7703
malaysia,maybank,2004-02-12,37441.7875
malaysia,maybank,2004-02-13,37081.7703
malaysia,maybank,2004-02-16,36721.7531
malaysia,maybank,2004-02-17,38521.8391
malaysia,maybank,2004-02-18,38881.8563
malaysia,maybank,2004-02-19,38881.8563
malaysia,maybank,2004-02-20,38881.8589
malaysia,maybank,2004-02-24,40321.9277
malaysia,maybank,2004-02-25,40321.9277
malaysia,maybank,2004-02-26,40681.9422
malaysia,maybank,2004-02-27,41041.9594
malaysia,maybank,2004-03-01,41401.9766
malaysia,maybank,2004-03-02,41401.9766
malaysia,maybank,2004-03-03,40321.925
malaysia,maybank,2004-03-04,40681.9422
malaysia,maybank,2004-03-05,41761.9938
malaysia,maybank,2004-03-08,41401.9766
malaysia,maybank,2004-03-09,41761.9938
malaysia,maybank,2004-03-10,41401.9766
malaysia,maybank,2004-03-11,40321.925
malaysia,maybank,2004-03-12,41401.9766
malaysia,maybank,2004-03-15,41761.9938
malaysia,maybank,2004-03-16,41401.9766
malaysia,maybank,2004-03-17,41041.9594
malaysia,maybank,2004-03-18,41761.9938
malaysia,maybank,2004-03-19,41761.9938
malaysia,maybank,2004-03-22,42122.0109
malaysia,maybank,2004-03-23,40321.925
malaysia,maybank,2004-03-24,40681.9422
malaysia,maybank,2004-03-25,39241.8734
malaysia,maybank,2004-03-26,40321.925
malaysia,maybank,2004-03-29,41041.9594
malaysia,maybank,2004-03-30,41761.9938
malaysia,maybank,2004-03-31,41761.9938
