countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
mexico,banco_bajio,2016-05-27,31791.4623,116682.91589999998,164180.2584,13500.9706,1495.0188,2400.2701,0.6228544029274039,15705.8802,31791.4623,148474.37819999998
mexico,banco_bajio,2016-08-27,35887.6023,128018.75769999999,180120.9124,16030.7143,1569.7371,2608.0616,0.6018788436592142,16214.5524,35887.6023,163906.36
mexico,banco_bajio,2016-11-27,34724.1714,123580.7605,175125.792,14468.8783,1655.6813,2833.6849,0.5842856063495274,16820.8601,34724.1714,158304.9319
mexico,banco_bajio,2017-02-27,39812.7181,124796.5502,182067.5808,18464.7101,1897.449,3159.8985,0.6004778318037748,17458.3125,39812.7181,164609.2683
mexico,banco_bajio,2017-05-27,1270.0,160366.0,179855.0,16989.0,806.0,4117.0,0.19577362156910372,18219.0,1270.0,161636.0
mexico,banco_bajio,2017-08-27,1296.0,162559.0,185947.0,16865.0,940.0,4524.0,0.20778072502210435,22092.0,1296.0,163855.0
mexico,banco_bajio,2017-11-27,26364.0,141691.0,191171.0,17405.0,1039.0,4871.0,0.21330322315746253,23116.0,26364.0,168055.0
mexico,banco_bajio,2018-02-27,22473.0,147107.0,193759.0,18012.0,1063.0,6151.0,0.17281742806047798,24179.0,22473.0,169580.0
mexico,banco_bajio,2018-05-27,22270.947,154092.8665,201656.3651,20656.4336,1156.3747,5136.868,0.22511279246420193,25292.5516,22270.947,176363.8135
mexico,banco_bajio,2018-08-27,25570.6368,162420.5244,213759.0997,18243.2938,1224.0,5564.0,0.21998562185478074,25767.9385,25570.6368,187991.1612
mexico,banco_bajio,2018-11-27,28948.0,165967.0,222028.0,16914.0,1328.0,5852.0,0.22693096377306904,27113.0,28948.0,194915.0
mexico,banco_bajio,2019-02-27,25864.0,169536.0,223950.0,20976.0,1368.0,7461.0,0.18335343787696018,28550.0,25864.0,195400.0
mexico,banco_bajio,2019-05-27,27116.6545,172627.7149,229597.9648,24062.9549,1410.1584,6350.5184,0.22205406097240818,29853.5954,27116.6545,199744.3694
mexico,banco_bajio,2019-08-27,28490.8191,183587.5994,241230.1591,28419.3176,1412.3192,6650.118,0.21237505860798256,29151.7406,28490.8191,212078.4185
