countryname,bankname,date,mktcap
mexico,banorte,2010-01-04,96820.1312
mexico,banorte,2010-01-05,96355.9113
mexico,banorte,2010-01-06,96618.2965
mexico,banorte,2010-01-07,96537.5626
mexico,banorte,2010-01-08,95528.3888
mexico,banorte,2010-01-11,92924.7205
mexico,banorte,2010-01-12,91733.8954
mexico,banorte,2010-01-13,93590.7752
mexico,banorte,2010-01-14,95528.3888
mexico,banorte,2010-01-15,94458.6646
mexico,banorte,2010-01-18,95427.4714
mexico,banorte,2010-01-19,95366.921
mexico,banorte,2010-01-20,94297.1968
mexico,banorte,2010-01-21,94377.9307
mexico,banorte,2010-01-22,92642.1518
mexico,banorte,2010-01-25,89755.9148
mexico,banorte,2010-01-26,87757.7508
mexico,banorte,2010-01-27,84407.2939
mexico,banorte,2010-01-28,87232.9804
mexico,banorte,2010-01-29,86809.1274
mexico,banorte,2010-02-02,91713.712
mexico,banorte,2010-02-03,93610.9586
mexico,banorte,2010-02-04,91895.3632
mexico,banorte,2010-02-05,93550.4082
mexico,banorte,2010-02-08,91552.2442
mexico,banorte,2010-02-09,89634.814
mexico,banorte,2010-02-10,88928.3924
mexico,banorte,2010-02-11,90199.9513
mexico,banorte,2010-02-12,91269.6755
mexico,banorte,2010-02-15,91350.4094
mexico,banorte,2010-02-16,93207.2891
mexico,banorte,2010-02-17,91935.7302
mexico,banorte,2010-02-18,96941.2321
mexico,banorte,2010-02-19,98273.3414
mexico,banorte,2010-02-22,96759.5808
mexico,banorte,2010-02-23,96880.6816
mexico,banorte,2010-02-24,96880.6816
mexico,banorte,2010-02-25,96093.5261
mexico,banorte,2010-02-26,96436.6452
mexico,banorte,2010-03-01,97042.1494
mexico,banorte,2010-03-02,97910.0389
mexico,banorte,2010-03-03,99585.2673
mexico,banorte,2010-03-04,100352.2394
mexico,banorte,2010-03-05,100654.9915
mexico,banorte,2010-03-08,103420.1277
mexico,banorte,2010-03-09,101946.734
mexico,banorte,2010-03-10,101401.7801
mexico,banorte,2010-03-11,102128.3852
mexico,banorte,2010-03-12,101946.734
mexico,banorte,2010-03-16,102350.4035
mexico,banorte,2010-03-17,102875.1738
mexico,banorte,2010-03-18,103541.2285
mexico,banorte,2010-03-19,101845.8166
mexico,banorte,2010-03-22,103177.9259
mexico,banorte,2010-03-23,101987.1009
mexico,banorte,2010-03-24,102895.3573
mexico,banorte,2010-03-25,107739.3914
mexico,banorte,2010-03-26,108062.327
mexico,banorte,2010-03-29,110343.0597
mexico,banorte,2010-03-30,110040.3076
mexico,banorte,2010-03-31,110141.2249
mexico,banorte,2010-04-05,110686.1788
mexico,banorte,2010-04-06,110807.2796
mexico,banorte,2010-04-07,108809.1156
mexico,banorte,2010-04-08,109232.9685
mexico,banorte,2010-04-09,111392.6004
mexico,banorte,2010-04-12,111130.2152
mexico,banorte,2010-04-13,111776.0864
mexico,banorte,2010-04-14,113532.0488
mexico,banorte,2010-04-15,114500.8556
mexico,banorte,2010-04-16,112825.6272
mexico,banorte,2010-04-19,113128.3793
mexico,banorte,2010-04-20,114985.259
mexico,banorte,2010-04-21,112482.5081
mexico,banorte,2010-04-22,109010.9503
mexico,banorte,2010-04-23,107456.8227
mexico,banorte,2010-04-26,107598.107
mexico,banorte,2010-04-27,104954.0718
mexico,banorte,2010-04-28,103924.7145
mexico,banorte,2010-04-29,106286.1811
mexico,banorte,2010-04-30,103177.9259
mexico,banorte,2010-05-03,105761.4108
mexico,banorte,2010-05-04,103965.0815
mexico,banorte,2010-05-05,104994.4387
mexico,banorte,2010-05-06,102108.2018
mexico,banorte,2010-05-07,100473.3403
mexico,banorte,2010-05-10,102935.7242
mexico,banorte,2010-05-11,98999.9466
mexico,banorte,2010-05-12,100614.6246
mexico,banorte,2010-05-13,99221.9648
mexico,banorte,2010-05-14,97647.6537
mexico,banorte,2010-05-17,94680.6828
mexico,banorte,2010-05-18,93711.876
mexico,banorte,2010-05-19,94862.3341
mexico,banorte,2010-05-20,92137.5649
mexico,banorte,2010-05-21,96355.9113
mexico,banorte,2010-05-24,98798.1118
mexico,banorte,2010-05-25,94075.1786
mexico,banorte,2010-05-26,97001.7825
mexico,banorte,2010-05-27,101199.9454
mexico,banorte,2010-05-28,100594.4411
mexico,banorte,2010-05-31,101946.734
mexico,banorte,2010-06-01,101341.2297
mexico,banorte,2010-06-02,99565.0839
mexico,banorte,2010-06-03,100957.7437
mexico,banorte,2010-06-04,101099.028
mexico,banorte,2010-06-07,96254.9939
mexico,banorte,2010-06-08,98212.791
mexico,banorte,2010-06-09,99807.2856
mexico,banorte,2010-06-10,105499.0256
mexico,banorte,2010-06-11,107799.9418
mexico,banorte,2010-06-14,109111.8677
mexico,banorte,2010-06-15,110524.711
mexico,banorte,2010-06-16,111957.7377
mexico,banorte,2010-06-17,108849.4825
mexico,banorte,2010-06-18,106952.2358
mexico,banorte,2010-06-21,107638.474
mexico,banorte,2010-06-22,104610.9527
mexico,banorte,2010-06-23,104752.237
mexico,banorte,2010-06-24,104671.5031
mexico,banorte,2010-06-25,106528.3829
mexico,banorte,2010-06-28,106387.0985
mexico,banorte,2010-06-29,101805.4496
mexico,banorte,2010-06-30,101199.9454
mexico,banorte,2010-07-01,100877.0098
mexico,banorte,2010-07-02,100049.4873
mexico,banorte,2010-07-05,99787.1021
mexico,banorte,2010-07-06,99322.8822
mexico,banorte,2010-07-07,99443.983
mexico,banorte,2010-07-08,99403.6161
mexico,banorte,2010-07-09,98919.2127
mexico,banorte,2010-07-12,97748.5711
mexico,banorte,2010-07-13,100089.8542
mexico,banorte,2010-07-14,100917.3767
mexico,banorte,2010-07-15,100917.3767
mexico,banorte,2010-07-16,99827.469
mexico,banorte,2010-07-19,100533.8907
mexico,banorte,2010-07-20,100311.8724
mexico,banorte,2010-07-21,99060.497
mexico,banorte,2010-07-22,100776.0924
mexico,banorte,2010-07-23,99181.5978
mexico,banorte,2010-07-26,98656.8275
