countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
pakistan,allied_bank,2010-02-27,45315.5313,343105.51859999995,418340.8438,22781.0742,2121.918,11529.3662,0.18404463551517689,29919.7939,45315.5313,388421.0499
pakistan,allied_bank,2010-05-27,37907.979,331688.181,399828.131,22784.188,1798.489,12086.671,0.1487993675016057,30231.971,37907.979,369596.16
pakistan,allied_bank,2010-08-27,34828.9414,366413.50289999996,432668.1875,28602.3926,1848.262,11883.708,0.15552906550716325,31425.7432,34828.9414,401242.4443
pakistan,allied_bank,2010-11-27,36962.722,343332.658,412482.861,24665.336,2241.385,12500.294,0.1793065827091747,32187.481,36962.722,380295.38
pakistan,allied_bank,2011-02-27,26269.25,387707.528,449966.408,25419.292,2395.681,13116.415,0.18264754507996278,35989.63,26269.25,413976.778
pakistan,allied_bank,2011-05-27,22174.903,388600.44,450357.414,28329.448,2531.176,13889.57,0.18223573515954777,39582.071,22174.903,410775.343
pakistan,allied_bank,2011-08-27,26338.086,421176.79699999996,487867.936,32078.876,2540.952,13873.016,0.1831578656003857,40353.053,26338.086,447514.883
pakistan,allied_bank,2011-11-27,67932.343,402173.53500000003,511395.299,35800.76,2721.591,14249.383,0.19099711194512772,41289.421,67932.343,470105.878
pakistan,allied_bank,2012-02-27,55485.8,416923.454,515888.612,29295.935,2462.454,16849.145,0.14614711903779096,43479.358,55485.8,472409.254
pakistan,allied_bank,2012-05-27,49279.182,437266.208,532742.818,37492.278,3090.083,15606.029,0.19800571945624348,46197.428,49279.182,486545.38999999996
pakistan,allied_bank,2012-08-27,37883.076,471834.12999999995,556555.195,41890.558,3650.598,16454.852,0.2218554138317379,46837.989,37883.076,509717.20599999995
pakistan,allied_bank,2012-11-27,76169.064,476008.56500000006,601423.035,37379.006,2904.815,16752.743,0.1733933959352209,49245.406,76169.064,552177.6290000001
pakistan,allied_bank,2013-02-27,44406.592,537299.425,634091.755,34138.285,2202.015,15538.857,0.1417102300381553,52385.738,44406.592,581706.017
pakistan,allied_bank,2013-05-27,24942.165,550767.7359999999,629960.038,41249.428,2850.266,15337.743,0.18583346976148968,54250.137,24942.165,575709.901
pakistan,allied_bank,2013-08-27,30230.266,595321.8200000001,684016.358,50328.363,2737.25,15914.331,0.1719990617261888,58464.272,30230.266,625552.086
pakistan,allied_bank,2013-11-27,28651.282,592665.855,681528.134,48295.169,2850.937,16400.869,0.17382841116528644,60210.997,28651.282,621317.137
pakistan,allied_bank,2014-02-27,37194.606,630881.6039999999,734761.815,37527.584,6344.722,16579.68,0.382680606622082,66685.605,37194.606,668076.21
pakistan,allied_bank,2014-05-27,45376.188,637127.55,750822.199,42805.473,3285.659,17884.637,0.18371404462947727,68318.461,45376.188,682503.738
pakistan,allied_bank,2014-08-27,62490.038,674393.7220000001,808444.541,54247.0,3909.501,20248.092,0.19307997020163678,71560.781,62490.038,736883.76
pakistan,allied_bank,2014-11-27,47768.489,669099.548,790139.496,48065.364,4482.352,20593.785,0.2176555693865892,73271.459,47768.489,716868.037
pakistan,allied_bank,2015-02-27,69090.472,692442.279,843097.566,32535.561,3524.488,20836.309,0.1691512637866908,81564.815,69090.472,761532.7509999999
pakistan,allied_bank,2015-05-27,86597.394,694344.835,866765.114,49232.184,4265.25,21681.77,0.19672056294297005,85822.885,86597.394,780942.2289999999
pakistan,allied_bank,2015-08-27,84123.12,747812.856,918902.014,54428.6,3235.652,20672.384,0.15652050581103757,86966.038,84123.12,831935.976
pakistan,allied_bank,2015-11-27,0.0,867939.611,957704.797,1093.87,4522.423,19627.281,0.23041515531366774,89765.186,0.0,867939.611
pakistan,allied_bank,2016-02-27,137959.818,764654.514,992739.247,44694.84,3283.724,17409.053,0.1886216326643385,90124.915,137959.818,902614.3319999999
pakistan,allied_bank,2016-05-27,157584.762,768245.007,1020389.069,53135.219,4815.137,21015.594,0.2291220985711848,94559.3,157584.762,925829.769
pakistan,allied_bank,2016-08-27,126247.121,806018.078,1031290.916,63973.78,3863.25,20756.525,0.18612219530966767,99025.717,126247.121,932265.199
pakistan,allied_bank,2016-11-27,0.0,930746.515,1030870.549,1231.464,3695.239,16798.445,0.21997506316804918,100124.034,0.0,930746.515
pakistan,allied_bank,2017-02-27,0.0,969228.9310000001,1071044.303,73883.705,2326.51,17272.833,0.13469185975456374,101815.372,0.0,969228.9310000001
pakistan,allied_bank,2017-05-27,144090.56,847567.2779999999,1094375.764,73378.626,3672.678,17988.272,0.2041706952174172,102717.926,144090.56,991657.838
pakistan,allied_bank,2017-08-27,121008.196,886962.0790000001,1109364.556,90696.395,2922.42,19134.152,0.15273318618980347,101394.281,121008.196,1007970.2750000001
pakistan,allied_bank,2017-11-27,161288.889,862032.7239999999,1125162.667,84087.593,3293.766,17866.044,0.1843589996755857,101841.054,161288.889,1023321.6129999999
pakistan,allied_bank,2018-02-27,223556.383,919669.7329999999,1251276.148,86005.067,3036.907,20071.157,0.151307022310672,108050.032,223556.383,1143226.116
pakistan,allied_bank,2018-05-27,58473.278,952211.282,1123291.458,80912.044,3844.242,19233.799,0.1998690950238172,112606.898,58473.278,1010684.56
pakistan,allied_bank,2018-08-27,405335.29,960006.72,1474488.115,93888.457,3400.923,20973.929,0.16215001967442533,109146.105,405335.29,1365342.01
pakistan,allied_bank,2018-11-27,187967.477,959980.7580000001,1257255.941,91387.822,2863.011,22228.482,0.12879921354953522,109307.706,187967.477,1147948.235
pakistan,allied_bank,2019-02-27,225882.986,1017710.506,1352383.303,101752.616,2923.641,22719.38,0.12868489368988062,108789.811,225882.986,1243593.492
pakistan,allied_bank,2019-05-27,89850.519,1045123.275,1244146.577,89561.238,3093.974,27108.382,0.11413348092851872,109172.783,89850.519,1134973.794
pakistan,allied_bank,2019-08-27,141391.203,1071277.869,1321918.592,139619.961,3148.277,30599.088,0.10288793574501305,109249.52,141391.203,1212669.072
pakistan,allied_bank,2019-11-27,328338.305,1064457.6290000002,1502618.827,98219.941,3394.835,37667.279,0.09012689767158387,109822.893,328338.305,1392795.9340000001
pakistan,allied_bank,2020-02-27,266448.386,1099723.5010000002,1483383.441,120537.708,4851.677,39017.929,0.12434481081761156,117211.554,266448.386,1366171.887
pakistan,allied_bank,2020-05-27,157603.048,1092324.535,1364958.714,87520.701,3890.221,34872.668,0.1115550149475228,115031.131,157603.048,1249927.5829999999
pakistan,allied_bank,2020-08-27,68087.634,1155180.0969999998,1345519.791,119086.246,4587.145,34077.639,0.13460865055821503,122252.06,68087.634,1223267.731
pakistan,allied_bank,2020-11-27,145896.251,1174115.827,1444144.482,111684.751,4156.268,27454.246,0.151388896274915,124132.404,145896.251,1320012.078
pakistan,allied_bank,2021-02-27,193928.086,1265392.883,1593090.255,135625.222,5743.971,32712.04,0.17559195329915223,133769.286,193928.086,1459320.9689999998
pakistan,allied_bank,2021-05-27,315559.226,1283072.751,1726445.131,103495.614,4111.879,27842.057,0.14768589116817052,127813.154,315559.226,1598631.977
pakistan,allied_bank,2021-08-27,355604.06,1361312.104,1847755.296,134458.107,4764.211,33863.716,0.14068777921477962,130839.132,355604.06,1716916.164
pakistan,allied_bank,2021-11-27,427978.559,1406218.9960000003,1965786.891,110026.99,4325.305,35340.559,0.1223892638483732,131589.336,427978.559,1834197.5550000002
pakistan,allied_bank,2022-02-27,420005.768,1463329.926,2012978.88,125303.758,4301.833,38369.615,0.11211561544206268,129643.186,420005.768,1883335.694
pakistan,allied_bank,2022-05-27,352523.324,1477739.126,1961613.361,117698.224,4849.662,43311.558,0.11197154348499772,131350.911,352523.324,1830262.45
pakistan,allied_bank,2022-08-27,372526.298,1633817.092,2134081.875,137696.204,1976.21,55219.226,0.03578844078690998,127738.485,372526.298,2006343.39
