countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
peru,bbva_peru,2004-02-27,15.727,11410.456999999999,12602.015,3057.812,31.314,262.236,0.11941152244543084,1175.831,15.727,11426.184
peru,bbva_peru,2004-05-27,13.887,11535.911999999998,12661.945,2711.839,52.863,278.506,0.1898091962112127,1112.146,13.887,11549.798999999999
peru,bbva_peru,2004-08-27,153.978,12013.051000000001,13358.859,3403.036,59.484,286.651,0.2075136664445615,1191.83,153.978,12167.029
peru,bbva_peru,2004-11-27,190.975,11870.889,13319.918,3043.834,64.809,292.757,0.22137472374699835,1258.054,190.975,12061.864
peru,bbva_peru,2005-02-27,173.215,12291.958999999999,13776.863,2816.76,56.249,268.91,0.20917407310996244,1311.689,173.215,12465.173999999999
peru,bbva_peru,2005-05-27,171.563,13627.7472,14980.5322,3034.02,79.757,330.074,0.24163369426249873,1181.222,171.563,13799.3102
peru,bbva_peru,2005-08-27,171.51,13662.2763,15125.4473,3232.075,110.442,370.111,0.2984023711805377,1291.661,171.51,13833.7863
peru,bbva_peru,2005-11-27,176.255,14170.3669,15770.6729,3645.7981,132.055,467.403,0.282529209269089,1424.051,176.255,14346.6219
peru,bbva_peru,2006-02-27,277.844,16445.949,18227.77,5067.889,79.602,263.787,0.3017661977277122,1503.977,277.844,16723.793
peru,bbva_peru,2006-05-27,290.605,17948.506,19567.5,5796.1382,107.334,457.199,0.2347642930102647,1328.389,290.605,18239.111
peru,bbva_peru,2006-08-27,329.014,15869.8909,17641.3789,3706.2549,112.689,473.974,0.23775354766295195,1442.474,329.014,16198.9049
peru,bbva_peru,2006-11-27,457.377,14956.260099999998,16987.4531,3030.9839,131.342,440.514,0.2981562447504506,1573.816,457.377,15413.637099999998
peru,bbva_peru,2007-02-27,672.106,16190.019,18572.776,3455.768,136.835,640.771,0.21354742958092676,1710.651,672.106,16862.125
