countryname,bankname,date,mktcap
peru,bcp,2004-01-02,2981.1803
peru,bcp,2004-01-05,2981.1803
peru,bcp,2004-01-06,3088.6103
peru,bcp,2004-01-07,3088.6103
peru,bcp,2004-01-08,3088.6103
peru,bcp,2004-01-09,3155.754
peru,bcp,2004-01-12,3088.6103
peru,bcp,2004-01-13,3088.6103
peru,bcp,2004-01-14,3088.6103
peru,bcp,2004-01-15,3088.6103
peru,bcp,2004-01-16,3088.6103
peru,bcp,2004-01-19,3088.6103
peru,bcp,2004-01-20,3088.6103
peru,bcp,2004-01-21,3088.6103
peru,bcp,2004-01-22,3088.6103
peru,bcp,2004-01-23,3155.754
peru,bcp,2004-01-26,3222.8977
peru,bcp,2004-01-27,3222.8977
peru,bcp,2004-01-28,3222.8977
peru,bcp,2004-01-29,3222.8977
peru,bcp,2004-01-30,3222.8977
peru,bcp,2004-02-02,3222.8977
peru,bcp,2004-02-03,3155.754
peru,bcp,2004-02-04,3155.754
peru,bcp,2004-02-05,3222.8977
peru,bcp,2004-02-06,3222.8977
peru,bcp,2004-02-09,3290.0414
peru,bcp,2004-02-10,3290.0414
peru,bcp,2004-02-11,3290.0414
peru,bcp,2004-02-12,3290.0414
peru,bcp,2004-02-13,3290.0414
peru,bcp,2004-02-16,3290.0414
peru,bcp,2004-02-17,3357.1851
peru,bcp,2004-02-18,3357.1851
peru,bcp,2004-02-19,3357.1851
peru,bcp,2004-02-20,3357.1851
peru,bcp,2004-02-23,3370.6138
peru,bcp,2004-02-24,3370.6138
peru,bcp,2004-02-25,3303.4701
peru,bcp,2004-02-26,3303.4701
peru,bcp,2004-02-27,3303.4701
peru,bcp,2004-03-01,3370.6138
peru,bcp,2004-03-02,3357.1851
peru,bcp,2004-03-03,3357.1851
peru,bcp,2004-03-04,3303.4701
peru,bcp,2004-03-05,3357.1851
peru,bcp,2004-03-08,3357.1851
peru,bcp,2004-03-09,3357.1851
peru,bcp,2004-03-10,3357.1851
peru,bcp,2004-03-11,3290.0414
