countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
philippines,bdo_unibank,2004-02-27,,,134415.853,4347.166,560.05,2712.839,0.20644424530906552,14421.817,,119994.03600000001
philippines,bdo_unibank,2004-05-27,,,154413.117,4601.547,403.045,3123.923,0.12901886506165486,15249.442,,139163.675
philippines,bdo_unibank,2004-08-27,,,159407.402,5825.796,428.007,3201.967,0.13367002220822388,15624.747,,143782.655
philippines,bdo_unibank,2004-11-27,,,158276.36,4540.557,533.111,3543.856,0.150432466781946,15737.984,,142538.376
philippines,bdo_unibank,2005-02-27,,,158276.36,4540.557,651.5,3543.856,0.1838392982107625,15737.984,,142538.376
philippines,bdo_unibank,2005-05-27,35046.7,148527.47100000002,203788.366,6596.461,566.194,4097.839,0.13816892269315606,20214.195,35046.7,183574.171
philippines,bdo_unibank,2005-08-27,0.0,174349.847,195092.556,11913.307,621.85,4732.101,0.13141097368800878,20742.709,0.0,174349.847
philippines,bdo_unibank,2005-11-27,0.0,193492.62,212277.391,10344.423,671.642,4272.052,0.1572176555903346,18784.771,0.0,193492.62
philippines,bdo_unibank,2006-02-27,19939.472,193591.009,233764.786,10892.726,748.439,5587.0439,0.13395974926919763,20234.305,19939.472,213530.481
philippines,bdo_unibank,2006-05-27,43245.047,172466.797,237742.362,12453.473,706.496,5390.834,0.1310550463991286,22030.518,43245.047,215711.84399999998
philippines,bdo_unibank,2006-08-27,0.0,263049.432,284331.361,17662.845,1153.087,12389.561,0.09306923788502272,21281.929,0.0,263049.432
philippines,bdo_unibank,2006-11-27,0.0,266996.404,290351.381,19886.155,1029.662,6560.954,0.15693784775811567,23354.977,0.0,266996.404
philippines,bdo_unibank,2007-02-27,0.0,576459.187,628880.27,60141.405,1675.776,15138.22,0.11069835158955281,52421.083,0.0,576459.187
philippines,bdo_unibank,2007-05-27,39263.291,230444.82100000003,294692.754,32590.793,1774.796,13958.5,0.12714804599348067,24984.642,39263.291,269708.112
philippines,bdo_unibank,2007-08-27,49387.135,502282.105,607826.367,79133.689,1401.237,14340.776,0.09770998445272418,56157.127,49387.135,551669.24
philippines,bdo_unibank,2007-11-27,69145.223,480172.0880000001,608142.604,71953.538,1700.8,12777.724,0.1331066471618889,58825.293,69145.223,549317.3110000001
philippines,bdo_unibank,2008-02-27,18631.298,538249.55,617208.906,67849.123,1696.817,35092.386,0.0483528535221287,60328.058,18631.298,556880.848
philippines,bdo_unibank,2008-05-27,66983.718,502358.92799999996,627095.583,68990.444,1345.448,13162.763,0.1022162292217827,57752.937,66983.718,569342.646
philippines,bdo_unibank,2008-08-27,62181.358,559936.393,676664.93,90966.226,1034.633,12960.293,0.07983098838891992,54547.179,62181.358,622117.751
philippines,bdo_unibank,2008-11-27,68712.09,618760.786,743493.252,89503.176,-819.748,14131.987,-0.05800656340824543,56020.376,68712.09,687472.8759999999
philippines,bdo_unibank,2009-02-27,20145.977,724111.8770000001,802032.074,84438.829,1122.164,32409.382,0.0346246651664015,57774.22,20145.977,744257.854
philippines,bdo_unibank,2009-05-27,68335.17,669252.931,796744.291,83948.49,1009.178,15931.461,0.06334497507792913,59156.19,68335.17,737588.101
philippines,bdo_unibank,2009-08-27,66396.614,662133.1969999999,789985.309,81295.242,1123.0,15400.0,0.07292207792207792,61455.498,66396.614,728529.811
philippines,bdo_unibank,2009-11-27,63725.434,677738.438,807308.757,80588.308,1909.0,16166.0,0.11808734380799209,65844.885,63725.434,741463.872
philippines,bdo_unibank,2010-02-27,54567.0,739595.0,862049.0,95377.0,1994.061,16795.117,0.11872861618052438,67887.0,54567.0,794162.0
philippines,bdo_unibank,2010-05-27,61473.0,715775.0,847682.0,106436.0,2072.0,16591.0,0.12488698692061961,70434.0,61473.0,777248.0
philippines,bdo_unibank,2010-08-27,58651.0,708534.4488,850212.4488,108666.0,2102.0,16621.0,0.1264665182600325,83027.0,58651.0,767185.4488
philippines,bdo_unibank,2010-11-27,54427.0,752701.0,892548.0,107743.0,2225.0,17114.0,0.1300105177048031,85420.0,54427.0,807128.0
philippines,bdo_unibank,2011-02-27,23152.0,888985.0,1000869.0,165155.0,2453.0,17472.0,0.14039606227106227,88732.0,23152.0,912137.0
philippines,bdo_unibank,2011-05-27,80830.0,786598.0,955369.0,124618.0,2444.0,17646.0,0.13850164343193924,87941.0,80830.0,867428.0
philippines,bdo_unibank,2011-08-27,96660.0,846790.0,1033071.0,150606.0,2581.0,17497.0,0.1475110018860376,89621.0,96660.0,943450.0
philippines,bdo_unibank,2011-11-27,93680.0,864643.0,1048733.0,157406.0,2612.0,17823.0,0.14655220782135442,90410.0,93680.0,958323.0
philippines,bdo_unibank,2012-02-27,54962.0,945425.0,1097349.0,158023.0,2894.0,40596.0,0.07128781160705489,96962.0,54962.0,1000387.0
philippines,bdo_unibank,2012-05-27,103405.0,892543.0,1096113.0,144078.0,2810.0,18785.0,0.14958743678466863,100165.0,103405.0,995948.0
philippines,bdo_unibank,2012-08-27,104300.0,963984.0,1171677.0,159025.0,2990.0,18882.0,0.15835186950534902,103393.0,104300.0,1068284.0
philippines,bdo_unibank,2012-11-27,38430.0,983525.0,1174243.0,160015.0,4735.0,21571.0,0.219507672337861,152288.0,38430.0,1021955.0
philippines,bdo_unibank,2013-02-27,28180.0,1058976.0,1241527.0,178130.0,3948.0,19224.0,0.20536828963795256,154371.0,28180.0,1087156.0
philippines,bdo_unibank,2013-05-27,91538.0,972860.0,1240432.0,162038.0,10035.0,26757.0,0.37504204507231753,176034.0,91538.0,1064398.0
philippines,bdo_unibank,2013-08-27,18109.0,1152636.0,1330525.0,226970.0,4113.0,20518.0,0.20045813432108392,159780.0,18109.0,1170745.0
philippines,bdo_unibank,2013-11-27,9603.0,1335853.0,1508078.0,357781.0,4046.0,19738.0,0.20498530752862498,162622.0,9603.0,1345456.0
philippines,bdo_unibank,2014-02-27,3007.0,1505417.0,1672778.0,436207.0,4414.0,21407.0,0.20619423553043398,164354.0,3007.0,1508424.0
philippines,bdo_unibank,2014-05-27,0.0,1479190.0,1645360.0,398287.0,5474.0,22205.0,0.24652105381670794,166170.0,0.0,1479190.0
philippines,bdo_unibank,2014-08-27,0.0,1515832.0,1684509.0,365883.0,5574.0,22721.0,0.2453237093437789,168677.0,0.0,1515832.0
philippines,bdo_unibank,2014-11-27,0.0,1577954.0,1750993.0,285275.0,5692.0,23400.0,0.24324786324786324,173039.0,0.0,1577954.0
philippines,bdo_unibank,2015-02-27,58241.0,1629193.0,1863649.0,310884.0,6065.0,23677.0,0.2561557629767285,176215.0,58241.0,1687434.0
philippines,bdo_unibank,2015-05-27,10030.0,1663366.0,1854376.0,378911.0,6121.0,25542.0,0.23964450708636756,180980.0,10030.0,1673396.0
philippines,bdo_unibank,2015-08-27,10030.0,1682624.0,1873206.0,287445.0,5602.0,25150.0,0.22274353876739564,180552.0,10030.0,1692654.0
philippines,bdo_unibank,2015-11-27,10030.0,1750122.0,1952501.0,298800.0,5880.0,26017.0,0.2260060729523004,192349.0,10030.0,1760152.0
philippines,bdo_unibank,2016-02-27,45331.0,1786310.0,2031359.0,314537.0,7314.0,22496.0,0.32512446657183497,199718.0,45331.0,1831641.0
philippines,bdo_unibank,2016-05-27,10030.0,1853878.0,2068004.0,299687.0,5478.0,27080.0,0.20228951255539143,204096.0,10030.0,1863908.0
philippines,bdo_unibank,2016-08-27,10030.0,1934443.0,2155609.0,348905.0,7753.0,34972.0,0.22169163902550612,211136.0,10030.0,1944473.0
philippines,bdo_unibank,2016-11-27,10030.0,1982398.0,2207863.0,341447.0,6076.0,30401.0,0.19986184664978127,215435.0,10030.0,1992428.0
philippines,bdo_unibank,2017-02-27,40556.0,2066884.0,2324999.0,358911.0,6927.0,31190.0,0.22209041359410067,217559.0,40556.0,2107440.0
philippines,bdo_unibank,2017-05-27,10030.0,2103479.0,2395870.0,410081.0,5831.0,34005.0,0.1714747831201294,282361.0,10030.0,2113509.0
philippines,bdo_unibank,2017-08-27,10030.0,2171482.0,2470739.0,369937.0,7440.0,36228.0,0.2053660152368334,289227.0,10030.0,2181512.0
philippines,bdo_unibank,2017-11-27,10030.0,2315150.0,2619886.0,414840.0,7082.0,37384.0,0.18943933233468863,294706.0,10030.0,2325180.0
philippines,bdo_unibank,2018-02-27,62970.0,2306794.0,2668104.0,398314.0,7717.0,39384.0,0.1959425147267926,298340.0,62970.0,2369764.0
philippines,bdo_unibank,2018-05-27,10030.0,2487971.0,2797589.0,416879.0,5877.0,39152.0,0.15010727421332243,299588.0,10030.0,2498001.0
philippines,bdo_unibank,2018-08-27,10030.0,2563684.0,2877177.0,404285.0,7271.0,42726.0,0.17017740953985863,303463.0,10030.0,2573714.0
philippines,bdo_unibank,2018-11-27,10030.0,2599885.0,2921688.0,400702.0,8370.0,46415.0,0.18032963481633094,311773.0,10030.0,2609915.0
philippines,bdo_unibank,2019-02-27,98042.0,2596056.0,3022247.0,407881.0,11190.0,51176.0,0.21865718305455684,328149.0,98042.0,2694098.0
philippines,bdo_unibank,2019-05-27,10030.0,2665676.0,3014106.0,391602.0,9763.0,53686.0,0.18185374213016428,338400.0,10030.0,2675706.0
philippines,bdo_unibank,2019-08-27,10030.0,2704420.0,3065286.0,377673.0,10389.0,55246.0,0.1880498135611628,350836.0,10030.0,2714450.0
philippines,bdo_unibank,2019-11-27,10030.0,2718114.0,3092180.0,369721.0,11955.0,55432.0,0.2156696493000433,364036.0,10030.0,2728144.0
philippines,bdo_unibank,2020-02-27,101769.0,2716502.0,3188858.0,373180.0,12087.0,56319.0,0.21461673680285517,370587.0,101769.0,2818271.0
philippines,bdo_unibank,2020-05-27,0.0,2914594.0,3286810.0,413732.0,8766.0,53445.0,0.16401908504069604,372216.0,0.0,2914594.0
philippines,bdo_unibank,2020-08-27,0.0,2950263.0,3317745.0,457188.0,-4479.0,54619.0,-0.08200443069261612,367482.0,0.0,2950263.0
philippines,bdo_unibank,2020-11-27,0.0,2929803.0,3308447.0,418494.0,12333.0,50826.0,0.24265139889033172,378644.0,0.0,2929803.0
philippines,bdo_unibank,2021-02-27,157783.0,2824096.0,3374900.0,383487.0,11626.0,38357.0,0.303099825325234,393021.0,157783.0,2981879.0
philippines,bdo_unibank,2021-05-27,157783.0,2837735.0,3396428.0,462140.0,10390.0,50849.0,0.2043304686424512,400910.0,157783.0,2995518.0
philippines,bdo_unibank,2021-08-27,157783.0,2892047.0,3462499.0,419022.0,11031.0,50204.0,0.2197235280057366,412669.0,157783.0,3049830.0
philippines,bdo_unibank,2021-11-27,157783.0,2964021.0,3544133.0,395288.0,11018.0,51336.0,0.21462521427458314,422329.0,157783.0,3121804.0
philippines,bdo_unibank,2022-02-27,103545.0,3095656.0,3623749.0,374011.0,10352.0,36704.0,0.2820401046207498,424548.0,103545.0,3199201.0
philippines,bdo_unibank,2022-05-27,103545.0,3137102.0,3670511.0,414934.0,11738.0,53929.0,0.21765654842478074,429864.0,103545.0,3240647.0
philippines,bdo_unibank,2022-08-27,103545.0,3264769.0,3801048.0,432573.0,12205.0,56647.0,0.21545712923897117,432734.0,103545.0,3368314.0
philippines,bdo_unibank,2022-11-27,103545.0,3314814.0,3863002.0,390158.0,16055.0,62283.0,0.2577749947818827,444643.0,103545.0,3418359.0
philippines,bdo_unibank,2023-02-27,131454.0,3481797.0,4074708.0,468723.0,17056.0,45177.0,0.3775372424021073,461457.0,131454.0,3613251.0
philippines,bdo_unibank,2023-05-27,131454.0,3479452.0,4086787.0,460593.0,16499.0,72848.0,0.22648528442784976,475881.0,131454.0,3610906.0
philippines,bdo_unibank,2023-08-27,131454.0,3537052.0,4158252.0,410512.0,18696.0,78251.0,0.23892346423687877,489746.0,131454.0,3668506.0
philippines,bdo_unibank,2023-11-27,131454.0,3654182.0,4288337.0,446237.0,18704.0,76389.0,0.2448520074879891,502701.0,131454.0,3785636.0
philippines,bdo_unibank,2024-02-27,90703.0,3868404.0,4477661.0,429354.0,19512.0,75903.0,0.25706493814473735,518554.0,90703.0,3959107.0
philippines,bdo_unibank,2024-05-27,90703.0,3951020.0,4573407.0,455250.0,18498.0,80032.0,0.23113254698120753,531684.0,90703.0,4041723.0
philippines,bdo_unibank,2024-08-27,90703.0,4074422.0,4712455.0,438227.0,20942.0,92598.0,0.2261603922330936,547330.0,90703.0,4165125.0
philippines,bdo_unibank,2024-11-27,90703.0,4141653.0,4802560.0,281898.0,21176.0,88509.0,0.2392525053949316,570204.0,90703.0,4232356.0
philippines,bdo_unibank,2025-02-27,133678.0,4164977.0,4876050.0,359337.0,21403.0,80954.0,0.2643847123057539,577395.0,133678.0,4298655.0
philippines,bdo_unibank,2025-05-27,133678.0,4175558.0,4904110.0,352450.0,19704.0,88338.0,0.2230523670447599,594874.0,133678.0,4309236.0
philippines,bdo_unibank,2025-08-27,133678.0,4381713.0,5126566.0,339261.0,20911.0,93840.0,0.22283674339300938,611175.0,133678.0,4515391.0
philippines,bdo_unibank,2025-11-27,133678.0,4504315.0,5267997.0,280106.0,22472.0,97187.0,0.23122434070400363,630004.0,133678.0,4637993.0
philippines,bdo_unibank,2026-02-27,225090.0,4562320.0,5431556.0,329186.0,24087.0,99935.0,0.24102666733376696,644146.0,225090.0,4787410.0
philippines,bdo_unibank,2026-05-27,225090.0,4844042.0,5714829.0,360967.0,20112.0,97222.0,0.20686675855259098,645697.0,225090.0,5069132.0
philippines,bdo_unibank,2026-08-27,225090.0,5023550.0,5904542.0,352413.0,20611.0,104175.0,0.19784977201823853,655902.0,225090.0,5248640.0
philippines,bpi,2004-02-27,0.0,365911.0,419023.0,19504.0,1451.9919,8283.0654,0.17529644278795625,53112.0,0.0,365911.0
philippines,bpi,2004-05-27,0.0,359126.24079999997,413946.4063,18801.1094,1617.527,7791.0752,0.20761280804990817,54820.1655,0.0,359126.24079999997
philippines,bpi,2004-08-27,0.0,374717.04329999996,429811.9063,20911.7207,1881.8051,8271.2021,0.22751289078041026,55094.863,0.0,374717.04329999996
philippines,bpi,2004-11-27,0.0,375175.1128,430160.4063,19110.6797,1781.327,8181.793,0.2177184145333425,54985.2935,0.0,375175.1128
philippines,bpi,2005-02-27,0.0,415817.0,470673.0,24318.0,2445.813,10746.7471,0.22758635494455806,54856.0,0.0,415817.0
philippines,bpi,2005-05-27,0.0,405196.3782,462226.9688,23862.4297,1977.207,9776.3223,0.20224445750934378,57030.5906,0.0,405196.3782
philippines,bpi,2005-08-27,0.0,416392.397,473682.238,17158.526,2314.263,9625.631,0.24042714706183937,57289.841,0.0,416392.397
philippines,bpi,2005-11-27,0.0,462943.7136,520783.875,25121.1426,2038.924,9929.6123,0.20533772501873007,57840.1614,0.0,462943.7136
philippines,bpi,2006-02-27,0.0,469217.0,529285.0,28027.0,2052.606,10069.116,0.20385165887452286,60068.0,0.0,469217.0
philippines,bpi,2006-05-27,0.0,439830.18799999997,503827.138,31232.077,2503.213,10634.67,0.23538229206924147,63996.95,0.0,439830.18799999997
philippines,bpi,2006-08-27,0.0,475487.63800000004,539877.812,39344.573,2089.144,10703.275,0.19518736087786215,64390.174,0.0,475487.63800000004
philippines,bpi,2006-11-27,0.0,463027.25,529283.492,30071.715,2263.68,10979.528,0.20617279722771323,66256.242,0.0,463027.25
philippines,bpi,2007-02-27,0.0,516483.0,581970.0,66449.0,2183.963,12077.527,0.1808286580522652,65487.0,0.0,516483.0
philippines,bpi,2007-05-27,0.0,499533.86309999996,566908.791,69430.367,3214.708,12279.865,0.2617869170385831,67374.9279,0.0,499533.86309999996
philippines,bpi,2007-08-27,0.0,526005.5419999999,592635.058,69080.751,2500.363,10891.953,0.22956057559190715,66629.516,0.0,526005.5419999999
philippines,bpi,2007-11-27,0.0,504066.17299999995,573002.33,73823.854,1924.584,10445.89,0.18424318081082608,68936.157,0.0,504066.17299999995
philippines,bpi,2008-02-27,0.0,566154.0,637285.0,86121.0,2372.345,14552.292,0.16302208614285638,71131.0,0.0,566154.0
philippines,bpi,2008-05-27,0.0,530124.2019999999,595371.815,77400.342,1549.339,10585.188,0.14636858599015906,65247.613,0.0,530124.2019999999
