countryname,bankname,date,mktcap
philippines,bdo_unibank,2010-01-04,90081.0894
philippines,bdo_unibank,2010-01-05,91250.9736
philippines,bdo_unibank,2010-01-06,91250.9736
philippines,bdo_unibank,2010-01-07,91250.9736
philippines,bdo_unibank,2010-01-08,91250.9736
philippines,bdo_unibank,2010-01-11,91250.9736
philippines,bdo_unibank,2010-01-12,92420.8579
philippines,bdo_unibank,2010-01-13,92420.8579
philippines,bdo_unibank,2010-01-14,93590.7422
philippines,bdo_unibank,2010-01-15,93590.7422
philippines,bdo_unibank,2010-01-18,91250.9736
philippines,bdo_unibank,2010-01-19,90081.0894
philippines,bdo_unibank,2010-01-20,91250.9736
philippines,bdo_unibank,2010-01-21,92420.8579
philippines,bdo_unibank,2010-01-22,90081.0894
philippines,bdo_unibank,2010-01-25,87741.3208
philippines,bdo_unibank,2010-01-26,84231.668
philippines,bdo_unibank,2010-01-27,80722.0151
philippines,bdo_unibank,2010-01-28,84231.668
philippines,bdo_unibank,2010-01-29,84231.668
philippines,bdo_unibank,2010-02-01,81891.8994
philippines,bdo_unibank,2010-02-02,80722.0151
philippines,bdo_unibank,2010-02-03,81891.8994
philippines,bdo_unibank,2010-02-04,83061.7837
philippines,bdo_unibank,2010-02-05,81891.8994
philippines,bdo_unibank,2010-02-08,81891.8994
philippines,bdo_unibank,2010-02-09,80722.0151
philippines,bdo_unibank,2010-02-10,81891.8994
philippines,bdo_unibank,2010-02-11,86571.4365
philippines,bdo_unibank,2010-02-12,87741.3208
philippines,bdo_unibank,2010-02-15,86571.4365
philippines,bdo_unibank,2010-02-16,86571.4365
philippines,bdo_unibank,2010-02-17,88911.2051
philippines,bdo_unibank,2010-02-18,88911.2051
philippines,bdo_unibank,2010-02-19,88911.2051
philippines,bdo_unibank,2010-02-22,88911.2051
philippines,bdo_unibank,2010-02-23,88911.2051
philippines,bdo_unibank,2010-02-24,87741.3208
philippines,bdo_unibank,2010-02-25,86571.4365
philippines,bdo_unibank,2010-02-26,88911.2051
philippines,bdo_unibank,2010-03-01,88911.2051
philippines,bdo_unibank,2010-03-02,90081.0894
philippines,bdo_unibank,2010-03-03,90081.0894
philippines,bdo_unibank,2010-03-04,87741.3208
philippines,bdo_unibank,2010-03-05,88911.2051
philippines,bdo_unibank,2010-03-08,90081.0894
philippines,bdo_unibank,2010-03-09,88911.2051
philippines,bdo_unibank,2010-03-10,87741.3208
philippines,bdo_unibank,2010-03-11,87741.3208
philippines,bdo_unibank,2010-03-12,87741.3208
philippines,bdo_unibank,2010-03-15,88911.2051
philippines,bdo_unibank,2010-03-16,87741.3208
philippines,bdo_unibank,2010-03-17,86571.4365
philippines,bdo_unibank,2010-03-18,88911.2051
philippines,bdo_unibank,2010-03-19,88911.2051
philippines,bdo_unibank,2010-03-22,87741.3208
philippines,bdo_unibank,2010-03-23,90081.0894
philippines,bdo_unibank,2010-03-24,91250.9736
philippines,bdo_unibank,2010-03-25,93590.7422
philippines,bdo_unibank,2010-03-26,94760.6265
philippines,bdo_unibank,2010-03-29,93590.7422
philippines,bdo_unibank,2010-03-30,94760.6265
philippines,bdo_unibank,2010-03-31,97100.395
philippines,bdo_unibank,2010-04-05,100610.0479
philippines,bdo_unibank,2010-04-06,104119.7007
philippines,bdo_unibank,2010-04-07,102949.8164
philippines,bdo_unibank,2010-04-08,101779.9321
philippines,bdo_unibank,2010-04-12,101779.9321
philippines,bdo_unibank,2010-04-13,101779.9321
philippines,bdo_unibank,2010-04-14,100610.0479
philippines,bdo_unibank,2010-04-15,101779.9321
philippines,bdo_unibank,2010-04-16,102949.8164
philippines,bdo_unibank,2010-04-19,102949.8164
philippines,bdo_unibank,2010-04-20,97100.395
philippines,bdo_unibank,2010-04-21,95930.5107
philippines,bdo_unibank,2010-04-22,97100.395
philippines,bdo_unibank,2010-04-23,97100.395
philippines,bdo_unibank,2010-04-26,98270.2793
philippines,bdo_unibank,2010-04-27,100610.0479
philippines,bdo_unibank,2010-04-28,100610.0479
philippines,bdo_unibank,2010-04-29,100610.0479
philippines,bdo_unibank,2010-04-30,98270.2793
philippines,bdo_unibank,2010-05-04,99440.1636
philippines,bdo_unibank,2010-05-05,94760.6265
philippines,bdo_unibank,2010-05-06,94760.6265
philippines,bdo_unibank,2010-05-07,93590.7422
philippines,bdo_unibank,2010-05-11,98270.2793
philippines,bdo_unibank,2010-05-12,99440.1636
philippines,bdo_unibank,2010-05-13,99440.1636
philippines,bdo_unibank,2010-05-14,99440.1636
philippines,bdo_unibank,2010-05-17,100610.0479
philippines,bdo_unibank,2010-05-18,100610.0479
philippines,bdo_unibank,2010-05-19,100610.0479
philippines,bdo_unibank,2010-05-20,99440.1636
philippines,bdo_unibank,2010-05-21,99440.1636
philippines,bdo_unibank,2010-05-24,100610.0479
philippines,bdo_unibank,2010-05-25,95930.5107
philippines,bdo_unibank,2010-05-26,98270.2793
philippines,bdo_unibank,2010-05-27,99440.1636
philippines,bdo_unibank,2010-05-28,101779.9321
philippines,bdo_unibank,2010-05-31,101779.9321
philippines,bdo_unibank,2010-06-01,104119.7007
philippines,bdo_unibank,2010-06-02,108799.2378
philippines,bdo_unibank,2010-06-03,108799.2378
philippines,bdo_unibank,2010-06-04,107629.3535
philippines,bdo_unibank,2010-06-07,105289.585
philippines,bdo_unibank,2010-06-08,104119.7007
philippines,bdo_unibank,2010-06-09,104119.7007
philippines,bdo_unibank,2010-06-10,101779.9321
philippines,bdo_unibank,2010-06-11,102949.8164
philippines,bdo_unibank,2010-06-15,104119.7007
philippines,bdo_unibank,2010-06-16,104119.7007
philippines,bdo_unibank,2010-06-17,105289.585
philippines,bdo_unibank,2010-06-18,106459.4692
philippines,bdo_unibank,2010-06-21,115005.4019
philippines,bdo_unibank,2010-06-22,117505.5193
philippines,bdo_unibank,2010-06-23,117505.5193
philippines,bdo_unibank,2010-06-24,117505.5193
philippines,bdo_unibank,2010-06-25,118755.578
philippines,bdo_unibank,2010-06-28,118755.578
philippines,bdo_unibank,2010-06-29,120005.6367
philippines,bdo_unibank,2010-07-01,115005.4019
philippines,bdo_unibank,2010-07-02,115005.4019
philippines,bdo_unibank,2010-07-05,116255.4606
philippines,bdo_unibank,2010-07-06,120005.6367
philippines,bdo_unibank,2010-07-07,120005.6367
philippines,bdo_unibank,2010-07-08,121255.6954
philippines,bdo_unibank,2010-07-09,120005.6367
philippines,bdo_unibank,2010-07-12,120005.6367
philippines,bdo_unibank,2010-07-13,121255.6954
philippines,bdo_unibank,2010-07-14,126460.7424
philippines,bdo_unibank,2010-07-15,123853.3044
philippines,bdo_unibank,2010-07-16,123853.3044
philippines,bdo_unibank,2010-07-19,122549.5854
philippines,bdo_unibank,2010-07-20,122549.5854
philippines,bdo_unibank,2010-07-21,122549.5854
philippines,bdo_unibank,2010-07-22,122549.5854
philippines,bdo_unibank,2010-07-23,121245.8665
philippines,bdo_unibank,2010-07-26,121245.8665
philippines,bdo_unibank,2010-07-27,121506.6103
philippines,bdo_unibank,2010-07-28,122419.2135
philippines,bdo_unibank,2010-07-29,122028.0979
philippines,bdo_unibank,2010-07-30,121767.3541
philippines,bdo_unibank,2010-08-02,121636.9822
philippines,bdo_unibank,2010-08-03,125157.0234
philippines,bdo_unibank,2010-08-04,127242.9738
philippines,bdo_unibank,2010-08-05,126199.9986
