countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
poland,alior,2012-02-27,595.952,13775.189,15483.622,448.553,,,,1112.481,595.952,14371.141
poland,alior,2012-05-27,970.231,12854.657,15007.801,579.237,53.729,457.974,0.11731888709839423,1182.913,970.231,13824.887999999999
poland,alior,2012-08-27,975.387,14168.383999999998,16507.729,590.173,79.444,531.669,0.1494237956322449,1363.958,975.387,15143.770999999999
poland,alior,2012-11-27,1011.585,15349.774000000001,17556.062,701.002,60.528,533.301,0.11349688074839535,1194.703,1011.585,16361.359000000002
poland,alior,2013-02-27,1006.633,18203.490999999998,21181.094,1029.968,-132.571,515.347,-0.2572460885578067,1970.97,1006.633,19210.124
poland,alior,2013-05-27,994.09,17871.067,20875.108,728.54,44.595,540.292,0.08253870129485537,2009.951,994.09,18865.157
poland,alior,2013-08-27,1210.641,19548.063000000002,22822.205,721.98,83.847,583.843,0.14361223822157668,2063.501,1210.641,20758.704
poland,alior,2013-11-27,1324.836,19826.14,23268.492,755.303,41.457,534.934,0.07749928028504452,2117.516,1324.836,21150.976
poland,alior,2014-02-27,1484.44,21880.699,25549.871,1067.227,58.003,623.628,0.09300897329818417,2184.732,1484.44,23365.139
poland,alior,2014-05-27,1563.576,22236.251999999997,26517.62,1077.576,68.402,588.731,0.11618549048716646,2717.792,1563.576,23799.827999999998
poland,alior,2014-08-27,1818.5,22483.507999999998,27124.461,1057.413,83.233,654.041,0.12725960604916206,2822.453,1818.5,24302.007999999998
poland,alior,2014-11-27,2185.725,24052.191000000003,29156.45,1018.716,70.071,679.038,0.1031915739619874,2918.534,2185.725,26237.916
poland,alior,2015-02-27,2183.551,24968.941,30167.568,1158.44,101.038,990.342,0.10202334143154587,3015.076,2183.551,27152.492
poland,alior,2015-05-27,2564.86,28999.273999999998,34886.136,1377.659,91.224,780.173,0.11692791214256326,3322.002,2564.86,31564.134
poland,alior,2015-08-27,2890.526,30231.013000000006,36466.76,1814.603,87.811,823.931,0.10657567199195078,3345.221,2890.526,33121.539000000004
poland,alior,2015-11-27,2978.639,30855.285,37304.26,1347.956,90.987,837.738,0.10861032924374922,3470.336,2978.639,33833.924
poland,alior,2016-02-27,3155.528,33333.383,40003.01,1750.135,39.626,866.668,0.04572223735040407,3514.099,3155.528,36488.911
poland,alior,2016-05-27,3286.47,35137.633,42025.695,665.782,80.227,885.354,0.09061573110868647,3601.592,3286.47,38424.103
poland,alior,2016-08-27,3503.548,37736.847,47041.752,725.871,81.661,932.396,0.08758188580817593,5801.357,3503.548,41240.395000000004
poland,alior,2016-11-27,3729.216,36974.715,46581.539,1285.37,86.939,954.161,0.09111565029381834,5877.608,3729.216,40703.931
poland,alior,2017-02-27,1164.794,53835.835,61160.491,1082.991,326.4,918.251,0.3554583659587629,6159.862,1164.794,55000.629
poland,alior,2017-05-27,3962.086,50145.058,60419.868,1781.276,82.361,1167.725,0.0705311610182192,6312.724,3962.086,54107.144
poland,alior,2017-08-27,1160.811,54287.109,61837.078,2377.158,99.761,1214.833,0.08211910608289369,6389.158,1160.811,55447.92
poland,alior,2017-11-27,1169.76,57261.84,65039.212,1780.022,178.175,1222.372,0.14576168302284412,6607.612,1169.76,58431.6
poland,alior,2018-02-27,1914.976,60910.023,69515.982,965.391,131.133,1271.949,0.10309611470271214,6690.983,1914.976,62824.999
poland,alior,2018-05-27,1925.334,62449.28799999999,70534.203,1439.945,157.333,1282.834,0.12264486285832772,6159.581,1925.334,64374.621999999996
poland,alior,2018-08-27,1918.988,62282.792,70538.243,1480.368,199.833,1346.886,0.14836667691252267,6336.463,1918.988,64201.78
poland,alior,2018-11-27,1926.11,62951.068,71371.355,2189.297,176.817,1336.216,0.13232665976159544,6494.177,1926.11,64877.178
poland,alior,2019-02-27,1918.093,65015.87100000001,73419.887,2078.638,182.263,1392.737,0.13086677527774446,6485.923,1918.093,66933.964
poland,alior,2019-05-27,2304.709,65793.414,74638.883,1337.436,103.489,1360.452,0.07606957099552208,6540.76,2304.709,68098.123
poland,alior,2019-08-27,2308.487,68095.90000000001,77058.388,1786.149,-9.412,1376.607,-0.006837100203616574,6654.001,2308.487,70404.387
poland,alior,2019-11-27,2300.075,67904.27,76983.674,946.753,142.599,1390.275,0.10256891622161082,6779.329,2300.075,70204.345
poland,alior,2020-02-27,2133.755,67843.014,76714.137,1379.127,12.501,1385.072,0.009025523582889555,6737.368,2133.755,69976.769
poland,alior,2020-05-27,1804.489,67885.43199999999,76512.233,1960.949,72.131,1300.531,0.05546273022327034,6822.312,1804.489,69689.92099999999
poland,alior,2020-08-27,2106.756,69197.80200000001,77671.909,1128.515,-585.498,1184.246,-0.49440572313522696,6367.351,2106.756,71304.558
poland,alior,2020-11-27,2093.53,69158.133,77717.339,1636.919,81.786,1171.363,0.0698212253588341,6465.676,2093.53,71251.663
poland,alior,2021-02-27,2079.017,70003.413,78642.032,2459.901,120.348,1185.152,0.10154646830111243,6559.602,2079.017,72082.43000000001
poland,alior,2021-05-27,1891.02,71443.49,79880.618,2163.566,108.094,1126.781,0.0959316850390626,6546.108,1891.02,73334.51000000001
poland,alior,2021-08-27,1819.762,70633.145,79035.095,1566.372,123.811,1130.412,0.10952732278142836,6582.188,1819.762,72452.907
poland,alior,2021-11-27,1835.147,69766.133,78201.942,1645.316,150.382,1191.671,0.12619422642658923,6600.662,1835.147,71601.28
poland,alior,2022-02-27,1634.322,75494.848,83048.372,3763.391,99.638,1260.243,0.07906253000413413,5919.202,1634.322,77129.17
poland,alior,2022-05-27,1593.866,77476.183,84649.724,4989.857,169.17,1487.241,0.11374753654585908,5579.675,1593.866,79070.049
poland,alior,2022-08-27,1427.291,77475.15,84223.458,4940.224,216.214,1809.896,0.11946211274017955,5321.017,1427.291,78902.44099999999
poland,alior,2022-11-27,1436.249,77188.694,84070.674,5428.94,-62.561,1624.883,-0.038501849056208966,5445.731,1436.249,78624.943
poland,alior,2023-02-27,1419.071,75288.236,82877.172,2584.143,360.288,2265.896,0.15900464981623164,6169.865,1419.071,76707.307
poland,alior,2023-05-27,1427.752,75988.92300000001,84325.176,4578.041,365.784,2274.051,0.1608512737840972,6908.501,1427.752,77416.675
poland,alior,2023-08-27,1414.691,74427.41399999999,83527.488,3167.601,506.067,2348.153,0.21551704680231656,7685.383,1414.691,75842.105
poland,alior,2023-11-27,1450.296,76285.978,86320.546,3819.907,571.561,2410.692,0.2370941621741807,8584.272,1450.296,77736.274
poland,alior,2024-02-27,3522.116,77362.42800000001,90134.134,2539.259,586.713,2397.216,0.24474765728244763,9249.59,3522.116,80884.54400000001
poland,alior,2024-05-27,1042.605,80518.85800000001,91379.464,2180.177,578.125,2319.429,0.24925315670365422,9818.001,1042.605,81561.463
poland,alior,2024-08-27,1026.307,79256.81300000001,90146.846,2077.904,585.912,2085.577,0.28093520402267574,9863.726,1026.307,80283.12000000001
poland,alior,2024-11-27,1021.405,79392.223,91183.337,3265.338,665.856,2176.075,0.3059894534885057,10769.709,1021.405,80413.628
poland,alior,2025-02-27,2313.387,79773.381,93293.487,2123.351,615.129,2174.077,0.2829380008159784,11206.719,2313.387,82086.768
poland,alior,2025-05-27,2135.871,82610.202,96589.402,5357.54,476.314,2063.516,0.23082641472128154,11843.329,2135.871,84746.073
poland,alior,2025-08-27,2047.232,85930.58799999999,99467.646,5530.401,640.226,2119.261,0.30209870327439614,11489.826,2047.232,87977.81999999999
poland,alior,2025-11-27,2076.561,83504.639,97742.124,3382.706,562.82,2104.948,0.2673795267151493,12160.924,2076.561,85581.2
poland,alior,2026-02-27,2644.607,86147.421,101775.005,4062.914,687.688,2000.995,0.3436730226712211,12982.977,2644.607,88792.028
poland,alior,2026-05-27,2670.721,88914.76199999999,104718.199,1570.476,403.186,2013.705,0.20022098569552144,13132.716,2670.721,91585.483
poland,alior,2026-08-27,3005.308,91116.76099999998,106635.662,3895.877,366.63,1896.719,0.19329695120890336,12513.593,3005.308,94122.06899999999
poland,handlowy,2004-02-27,1261.931,23174.327500000003,34034.9766,1186.514,71.534,734.915,0.09733642666158673,9598.7181,1261.931,24436.258500000004
poland,handlowy,2004-05-27,1261.931,26151.964000000004,33452.029,593.627,92.314,709.441,0.1301221666072302,6038.134,1261.931,27413.895000000004
poland,handlowy,2004-08-27,1261.931,28186.156,35283.29,808.986,173.78,714.762,0.24312988099535232,5835.203,1261.931,29448.087
poland,handlowy,2004-11-27,2744.051,27393.521500000003,36141.3516,807.01,97.019,730.434,0.1328237732635666,6003.7791,2744.051,30137.572500000002
poland,handlowy,2005-02-27,1214.437,26562.865899999997,33936.8828,841.114,98.325,773.08,0.12718606095100118,6159.5799,1214.437,27777.3029
poland,handlowy,2005-05-27,1214.437,26187.254,33798.531,1348.314,138.522,768.418,0.18026907230179406,6396.84,1214.437,27401.691000000003
poland,handlowy,2005-08-27,1214.437,26436.253000000004,32915.502,922.649,179.727,826.505,0.21745421987767768,5264.812,1214.437,27650.690000000002
poland,handlowy,2005-11-27,1214.437,25168.576,31567.253,731.181,178.648,778.162,0.22957687473816504,5184.24,1214.437,26383.013
poland,handlowy,2006-02-27,1214.437,26414.528,32877.564,922.649,119.103,750.615,0.15867388741232188,5248.599,1214.437,27628.964999999997
poland,handlowy,2006-05-27,1214.437,26357.551999999996,33038.804,2376.371,235.669,721.462,0.3266547649079231,5466.815,1214.437,27571.988999999998
poland,handlowy,2006-08-27,250.113,30322.819,35990.735,535.623,107.745,705.371,0.15274940421423622,5417.803,250.113,30572.932
poland,handlowy,2006-11-27,250.113,30909.305,36358.858,640.792,141.825,720.469,0.19685094015148463,5199.44,250.113,31159.418
poland,handlowy,2007-02-27,0.0,30572.932,35990.735,9430.467,167.798,831.083,0.20190281837072832,5417.803,0.0,30572.932
poland,handlowy,2007-05-27,0.0,34273.425,39905.14,1110.648,197.45,832.933,0.2370538806842807,5631.715,0.0,34273.425
poland,handlowy,2007-08-27,0.0,31573.35,36790.147,2073.502,242.12,921.252,0.2628162544016187,5216.797,0.0,31573.35
poland,handlowy,2007-11-27,0.0,35440.577999999994,40873.073,808.042,178.842,868.561,0.20590609064878576,5432.495,0.0,35440.577999999994
poland,handlowy,2008-02-27,0.0,33304.899999999994,38907.984,3321.503,205.803,839.006,0.24529383580093586,5603.084,0.0,33304.899999999994
poland,handlowy,2008-05-27,0.0,31589.007000000005,37394.16,1185.289,180.107,912.413,0.19739635450174428,5805.153,0.0,31589.007000000005
poland,handlowy,2008-08-27,0.0,33063.013000000006,38294.016,2443.861,169.951,873.539,0.1945545648219484,5231.003,0.0,33063.013000000006
poland,handlowy,2008-11-27,0.0,31504.768000000004,37069.116,901.244,215.715,934.184,0.23091275380438972,5564.348,0.0,31504.768000000004
poland,handlowy,2009-02-27,0.0,36924.536,42550.345,3530.977,34.661,762.85,0.045436193222782986,5625.809,0.0,36924.536
poland,handlowy,2009-05-27,2122.589,37507.564,45273.267,1753.127,46.153,791.532,0.05830844488915166,5643.114,2122.589,39630.153
poland,handlowy,2009-08-27,1309.733,34571.968,41638.088,1196.545,71.405,808.248,0.08834540883491206,5756.387,1309.733,35881.701
poland,handlowy,2009-11-27,1217.054,31062.193,38403.5,805.116,285.302,917.455,0.3109711102996877,6124.253,1217.054,32279.247
poland,handlowy,2010-02-27,1052.619,30381.055000000004,37633.063,4113.355,101.539,810.028,0.12535245695210537,6199.389,1052.619,31433.674000000003
poland,handlowy,2010-05-27,1541.995,29691.042999999998,37714.128,748.588,150.933,770.16,0.19597616079775632,6481.09,1541.995,31233.037999999997
poland,handlowy,2010-08-27,1288.584,32713.687,40134.678,1366.986,198.437,839.505,0.2363738155222423,6132.407,1288.584,34002.271
poland,handlowy,2010-11-27,4224.498,30726.164000000004,41300.067,1888.583,210.636,818.422,0.2573684480622466,6349.405,4224.498,34950.662000000004
poland,handlowy,2011-02-27,11.533,31013.072,37517.54,3206.554,194.805,771.99,0.25234135157191157,6492.935,11.533,31024.605
poland,handlowy,2011-05-27,787.491,57522.263999999996,64957.373,10607.209,181.183,750.985,0.24126047790568386,6647.618,787.491,58309.755
poland,handlowy,2011-08-27,763.659,32497.283000000003,39356.661,1221.45,151.437,730.709,0.2072466604352759,6095.719,763.659,33260.942
poland,handlowy,2011-11-27,978.17,30989.771,38194.396,1509.331,182.713,776.272,0.23537239524290451,6226.455,978.17,31967.941
poland,handlowy,2012-02-27,25.336,35808.380999999994,42278.198,979.616,221.08,809.928,0.2729625349413775,6444.481,25.336,35833.717
poland,handlowy,2012-05-27,24.468,34013.726,40838.993,2146.126,243.571,919.705,0.2648360071979602,6800.799,24.468,34038.194
poland,handlowy,2012-08-27,23.054,35157.582,41855.958,646.256,230.75,850.006,0.2714686719858448,6675.322,23.054,35180.636
poland,handlowy,2012-11-27,2.038,29525.884999999995,36502.253,937.529,251.243,871.691,0.28822484114210195,6974.33,2.038,29527.922999999995
poland,handlowy,2013-02-27,0.0,36117.348,43508.763,1357.308,244.568,834.952,0.29291264647548604,7391.415,0.0,36117.348
poland,handlowy,2013-05-27,0.0,35180.43,42742.224,1023.879,355.427,949.957,0.3741506194490909,7561.794,0.0,35180.43
poland,handlowy,2013-08-27,0.0,39277.420999999995,46283.721,759.657,300.347,823.116,0.3648902463322302,7006.3,0.0,39277.420999999995
poland,handlowy,2013-11-27,0.0,40117.956,47248.398,2433.852,165.187,655.165,0.25213037937008237,7130.442,0.0,40117.956
poland,handlowy,2014-02-27,0.0,38091.125,45398.389,778.464,151.747,701.758,0.21623836137243893,7307.264,0.0,38091.125
poland,handlowy,2014-05-27,0.0,40465.909,47992.92,1989.294,247.65,748.497,0.33086304955130086,7527.011,0.0,40465.909
poland,handlowy,2014-08-27,0.0,38441.949,45374.543,1223.516,266.249,772.948,0.3444591356727749,6932.594,0.0,38441.949
poland,handlowy,2014-11-27,0.0,43059.844000000005,50275.499,673.319,228.411,700.0,0.3263014285714286,7215.655,0.0,43059.844000000005
poland,handlowy,2015-02-27,0.0,42432.905,49843.665,1522.949,205.002,676.387,0.30308388540879705,7410.76,0.0,42432.905
poland,handlowy,2015-05-27,0.0,39621.971999999994,47225.791,743.616,217.037,680.885,0.3187572056955286,7603.819,0.0,39621.971999999994
poland,handlowy,2015-08-27,0.0,45076.506,51661.023,5347.946,150.18,573.36,0.2619296776894098,6584.517,0.0,45076.506
poland,handlowy,2015-11-27,0.0,43066.069,49773.085,1303.743,140.897,549.996,0.25617822675074,6707.016,0.0,43066.069
poland,handlowy,2016-02-27,0.0,42656.136,49506.792,2170.237,118.305,633.775,0.18666719261567594,6850.656,0.0,42656.136
poland,handlowy,2016-05-27,0.0,44494.816999999995,51545.011,1072.272,104.371,535.443,0.1949245764721922,7050.194,0.0,44494.816999999995
poland,handlowy,2016-08-27,0.0,37624.566999999995,44183.297,823.965,221.978,710.596,0.3123828448232188,6558.73,0.0,37624.566999999995
poland,handlowy,2016-11-27,0.0,35267.216,41976.336,901.395,144.917,593.78,0.24405840547003943,6709.12,0.0,35267.216
