countryname,bankname,date,mktcap
poland,pko_bp,2010-01-04,48350.0
poland,pko_bp,2010-01-05,48187.5
poland,pko_bp,2010-01-06,48425.0
poland,pko_bp,2010-01-07,48187.5
poland,pko_bp,2010-01-08,48312.5
poland,pko_bp,2010-01-11,48625.0
poland,pko_bp,2010-01-12,48250.0
poland,pko_bp,2010-01-13,48375.0
poland,pko_bp,2010-01-14,48375.0
poland,pko_bp,2010-01-15,48225.0
poland,pko_bp,2010-01-18,48625.0
poland,pko_bp,2010-01-19,50000.0
poland,pko_bp,2010-01-20,50375.0
poland,pko_bp,2010-01-21,50562.5
poland,pko_bp,2010-01-22,49687.5
poland,pko_bp,2010-01-25,50312.5
poland,pko_bp,2010-01-26,49250.0
poland,pko_bp,2010-01-27,49250.0
poland,pko_bp,2010-01-28,49287.5
poland,pko_bp,2010-01-29,49062.5
poland,pko_bp,2010-02-01,48750.0
poland,pko_bp,2010-02-02,48750.0
poland,pko_bp,2010-02-03,49237.5
poland,pko_bp,2010-02-04,46625.0
poland,pko_bp,2010-02-05,43825.0
poland,pko_bp,2010-02-08,43962.5
poland,pko_bp,2010-02-09,44687.5
poland,pko_bp,2010-02-10,45125.0
poland,pko_bp,2010-02-11,44025.0
poland,pko_bp,2010-02-12,45375.0
poland,pko_bp,2010-02-15,47687.5
poland,pko_bp,2010-02-16,46962.5
poland,pko_bp,2010-02-17,47737.5
poland,pko_bp,2010-02-18,46325.0
poland,pko_bp,2010-02-19,46125.0
poland,pko_bp,2010-02-22,46375.0
poland,pko_bp,2010-02-23,45412.5
poland,pko_bp,2010-02-24,45137.5
poland,pko_bp,2010-02-25,44337.5
poland,pko_bp,2010-02-26,45950.0
poland,pko_bp,2010-03-01,46500.0
poland,pko_bp,2010-03-02,47175.0
poland,pko_bp,2010-03-03,47125.0
poland,pko_bp,2010-03-04,47500.0
poland,pko_bp,2010-03-05,47500.0
poland,pko_bp,2010-03-08,47875.0
poland,pko_bp,2010-03-09,47687.5
poland,pko_bp,2010-03-10,47687.5
poland,pko_bp,2010-03-11,47250.0
poland,pko_bp,2010-03-12,47637.5
poland,pko_bp,2010-03-15,47750.0
poland,pko_bp,2010-03-16,48837.5
poland,pko_bp,2010-03-17,49500.0
poland,pko_bp,2010-03-18,49562.5
poland,pko_bp,2010-03-19,49750.0
poland,pko_bp,2010-03-22,48562.5
poland,pko_bp,2010-03-23,49250.0
poland,pko_bp,2010-03-24,48625.0
