countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
russia,sberbank,2006-05-27,,,,,19939.0,,,,,
russia,sberbank,2006-08-27,,,,,19939.0,,,,,
russia,sberbank,2006-11-27,,,,,19939.0,,,,,
russia,sberbank,2007-02-27,,,,,19939.0,,,,,
russia,sberbank,2007-05-27,305052.0,3066265.0,3936856.0,405159.0,26777.0,107352.0,0.24943177584022655,565539.0,305052.0,3371317.0
russia,sberbank,2007-08-27,285347.0,3419520.0,4282732.0,392964.0,21214.0,122231.0,0.17355662638774125,577865.0,285347.0,3704867.0
russia,sberbank,2007-11-27,419777.0,3499977.0,4520466.0,295329.0,21931.0,128221.0,0.17104062517060387,600712.0,419777.0,3919754.0
russia,sberbank,2008-02-27,300916.0,3990695.0,4928808.0,299021.0,36567.0,173691.0,0.21052904295559355,637197.0,300916.0,4291611.0
russia,sberbank,2008-05-27,282882.0,4282096.0,5231818.0,350791.0,31112.0,157368.0,0.1977022012099029,666840.0,282882.0,4564978.0
russia,sberbank,2008-08-27,313896.0,4599198.0,5604258.0,304554.0,35900.0,167414.0,0.21443845795453187,691164.0,313896.0,4913094.0
russia,sberbank,2008-11-27,302864.0,4805051.0,5814330.0,258026.0,23230.0,172007.0,0.13505264320638113,706415.0,302864.0,5107915.0
russia,sberbank,2009-02-27,834203.0,5152117.0,6736482.0,811392.0,7504.0,207463.0,0.036170305066445585,750162.0,834203.0,5986320.0
russia,sberbank,2009-05-27,845442.0,5181127.0,6767825.0,677149.0,583.0,225352.0,0.0025870637935318966,741256.0,845442.0,6026569.0
russia,sberbank,2009-08-27,845811.0,4985194.0,6581124.0,549965.0,5427.0,245204.0,0.022132591637983066,750119.0,845811.0,5831005.0
russia,sberbank,2009-11-27,817832.0,5119697.0,6707774.0,583310.0,4246.0,245598.0,0.017288414400768736,770245.0,817832.0,5937529.0
russia,sberbank,2010-02-27,758873.0,5567257.0,7105066.0,766093.0,14140.0,251171.0,0.05629630809289289,778936.0,758873.0,6326130.0
russia,sberbank,2010-05-27,772725.0,5676815.0,7300880.0,575591.0,43441.0,251049.0,0.17303793283382926,851340.0,772725.0,6449540.0
russia,sberbank,2010-08-27,595561.0,6116973.0,7579390.0,589633.0,20748.0,229280.0,0.09049197487787858,866856.0,595561.0,6712534.0
russia,sberbank,2010-11-27,659780.0,6453750.0,8028724.0,648697.0,45752.0,240634.0,0.1901310704223011,915194.0,659780.0,7113530.0
russia,sberbank,2011-02-27,693704.0,6947656.0,8628527.0,770133.0,72190.0,260154.0,0.2774894869961638,987167.0,693704.0,7641360.0
russia,sberbank,2011-05-27,723206.0,6895535.0,8696311.0,736333.0,86802.0,239961.0,0.3617337817395327,1077570.0,723206.0,7618741.0
russia,sberbank,2011-08-27,760832.0,7185197.0,9078889.0,970007.0,89650.0,260087.0,0.34469235294343814,1132860.0,760832.0,7946029.0
russia,sberbank,2011-11-27,830045.0,7535338.0,9545511.0,737511.0,79823.0,263359.0,0.3030957742093492,1180128.0,830045.0,8365383.0
russia,sberbank,2012-02-27,816245.0,8750883.0,10835099.0,726770.0,59920.0,283332.0,0.2114833481569325,1267971.0,816245.0,9567128.0
russia,sberbank,2012-05-27,928500.0,9336100.0,11641900.0,1039300.0,92200.0,305300.0,0.3019980347199476,1377300.0,928500.0,10264600.0
russia,sberbank,2012-08-27,1076900.0,9941500.0,12433800.0,1058500.0,83400.0,332900.0,0.2505256833884049,1415400.0,1076900.0,11018400.0
russia,sberbank,2012-11-27,1312400.0,10919400.0,13755500.0,995600.0,87700.0,354500.0,0.24739069111424541,1523700.0,1312400.0,12231800.0
russia,sberbank,2013-02-27,1529500.0,11944100.0,15097400.0,1502000.0,85500.0,443500.0,0.1927846674182638,1623800.0,1529500.0,13473600.0
russia,sberbank,2013-05-27,1661600.0,11746400.0,15115600.0,1453300.0,88600.0,408500.0,0.21689106487148102,1707600.0,1661600.0,13408000.0
russia,sberbank,2013-08-27,1805200.0,12630800.0,16142500.0,1395800.0,86500.0,431800.0,0.2003242241778601,1706500.0,1805200.0,14436000.0
russia,sberbank,2013-11-27,1814600.0,13075300.0,16689400.0,1387700.0,94600.0,462000.0,0.20476190476190476,1799500.0,1814600.0,14889900.0
russia,sberbank,2014-02-27,1730300.0,14598600.0,18210300.0,1578500.0,94100.0,493800.0,0.19056298096395302,1881400.0,1730300.0,16328900.0
russia,sberbank,2014-05-27,1973900.0,15210000.0,19109600.0,1753700.0,73400.0,490600.0,0.14961271911944557,1925700.0,1973900.0,17183900.0
russia,sberbank,2014-08-27,2100700.0,15347800.0,19399900.0,1640500.0,97600.0,550600.0,0.1772611696331275,1951400.0,2100700.0,17448500.0
russia,sberbank,2014-11-27,2236900.0,16428200.0,20678900.0,1830600.0,71300.0,551200.0,0.12935413642960814,2013800.0,2236900.0,18665100.0
russia,sberbank,2015-02-27,2593400.0,20587300.0,25200800.0,2674500.0,49900.0,624500.0,0.0799039231385108,2020100.0,2593400.0,23180700.0
russia,sberbank,2015-05-27,2656700.0,19492300.0,24245900.0,2285900.0,30600.0,686700.0,0.04456094364351245,2096900.0,2656700.0,22149000.0
russia,sberbank,2015-08-27,2458900.0,19039900.0,23657000.0,2348700.0,54200.0,672300.0,0.08061877138182359,2158200.0,2458900.0,21498800.0
russia,sberbank,2015-11-27,2499500.0,21192200.0,25934400.0,2883700.0,65400.0,708700.0,0.09228164244391139,2242700.0,2499500.0,23691700.0
russia,sberbank,2016-02-27,2583000.0,22376700.0,27334700.0,2721500.0,73100.0,756900.0,0.09657814770775532,2375000.0,2583000.0,24959700.0
russia,sberbank,2016-05-27,2466800.0,21605200.0,26571700.0,2634500.0,118000.0,704600.0,0.16747090547828555,2499700.0,2466800.0,24072000.0
russia,sberbank,2016-08-27,2401300.0,20788400.0,25794000.0,2363100.0,144600.0,720200.0,0.20077756178839212,2604300.0,2401300.0,23189700.0
russia,sberbank,2016-11-27,2335300.0,20553800.0,25617700.0,2756600.0,137100.0,718700.0,0.19076109642409908,2728600.0,2335300.0,22889100.0
russia,sberbank,2017-02-27,2162300.0,20384600.0,25368500.0,2962800.0,140800.0,724300.0,0.19439458787795114,2821600.0,2162300.0,22546900.0
russia,sberbank,2017-05-27,1920700.0,19775800.0,24655400.0,2555600.0,167800.0,697000.0,0.24074605451936873,2958900.0,1920700.0,21696500.0
russia,sberbank,2017-08-27,1942200.0,20772100.0,25754700.0,2398000.0,185800.0,692400.0,0.2683419988445985,3040400.0,1942200.0,22714300.0
russia,sberbank,2017-11-27,1923100.0,21030100.0,26220200.0,2589200.0,222400.0,704600.0,0.3156400794777178,3267000.0,1923100.0,22953200.0
russia,sberbank,2018-02-27,1898200.0,21778000.0,27112200.0,2756500.0,174400.0,703800.0,0.24779766979255471,3436000.0,1898200.0,23676200.0
russia,sberbank,2018-05-27,1924200.0,21759300.0,27267000.0,2530800.0,212000.0,679200.0,0.3121319199057715,3583500.0,1924200.0,23683500.0
russia,sberbank,2018-08-27,1685200.0,23611700.0,28786300.0,2259800.0,215400.0,670700.0,0.321157000149098,3489400.0,1685200.0,25296900.0
