countryname,bankname,date,mktcap
russia,sberbank,2004-01-05,151240.0
russia,sberbank,2004-01-06,156750.0
russia,sberbank,2004-01-08,158364.81
russia,sberbank,2004-01-09,164359.5
russia,sberbank,2004-01-12,163267.0
russia,sberbank,2004-01-13,162545.0
russia,sberbank,2004-01-14,163685.0
russia,sberbank,2004-01-15,158365.0
russia,sberbank,2004-01-16,161880.0
russia,sberbank,2004-01-19,161880.19
russia,sberbank,2004-01-20,162108.0
russia,sberbank,2004-01-21,162450.0
russia,sberbank,2004-01-22,162773.0
russia,sberbank,2004-01-23,163020.0
russia,sberbank,2004-01-26,164726.01
russia,sberbank,2004-01-27,163970.0
russia,sberbank,2004-01-28,162639.81
russia,sberbank,2004-01-29,161709.0
russia,sberbank,2004-01-30,159029.81
russia,sberbank,2004-02-02,158840.0
russia,sberbank,2004-02-03,160474.0
russia,sberbank,2004-02-04,163248.0
russia,sberbank,2004-02-05,162526.0
russia,sberbank,2004-02-06,162640.0
russia,sberbank,2004-02-09,166153.1
russia,sberbank,2004-02-10,165395.0
russia,sberbank,2004-02-11,168492.0
russia,sberbank,2004-02-12,170411.0
russia,sberbank,2004-02-13,170335.0
russia,sberbank,2004-02-16,170962.0
russia,sberbank,2004-02-17,172235.19
russia,sberbank,2004-02-18,172900.0
russia,sberbank,2004-02-19,175085.0
russia,sberbank,2004-02-20,178600.19
russia,sberbank,2004-02-24,182476.19
russia,sberbank,2004-02-25,187910.0
russia,sberbank,2004-02-26,186200.0
russia,sberbank,2004-02-27,186960.0
russia,sberbank,2004-03-01,192090.0
russia,sberbank,2004-03-02,190570.0
russia,sberbank,2004-03-03,186770.0
russia,sberbank,2004-03-04,188119.0
russia,sberbank,2004-03-05,191140.0
russia,sberbank,2004-03-09,194731.0
russia,sberbank,2004-03-10,192470.0
russia,sberbank,2004-03-11,189753.0
russia,sberbank,2004-03-12,189240.0
russia,sberbank,2004-03-15,191707.53
russia,sberbank,2004-03-16,193419.81
russia,sberbank,2004-03-17,195665.8
russia,sberbank,2004-03-18,209475.0
russia,sberbank,2004-03-19,221160.0
russia,sberbank,2004-03-22,216656.81
russia,sberbank,2004-03-23,220380.43
russia,sberbank,2004-03-24,219925.0
russia,sberbank,2004-03-25,223478.0
russia,sberbank,2004-03-26,226100.0
russia,sberbank,2004-03-29,240920.0
russia,sberbank,2004-03-30,240691.81
russia,sberbank,2004-03-31,239875.0
russia,sberbank,2004-04-01,240787.0
russia,sberbank,2004-04-02,242250.0
russia,sberbank,2004-04-05,244872.0
russia,sberbank,2004-04-06,233719.19
russia,sberbank,2004-04-07,234460.0
russia,sberbank,2004-04-08,237268.2
russia,sberbank,2004-04-09,236873.0
russia,sberbank,2004-04-12,235600.0
russia,sberbank,2004-04-13,228190.0
russia,sberbank,2004-04-14,228095.0
russia,sberbank,2004-04-15,231990.0
russia,sberbank,2004-04-16,225340.0
russia,sberbank,2004-04-19,222585.0
russia,sberbank,2004-04-20,226081.0
russia,sberbank,2004-04-21,220305.0
russia,sberbank,2004-04-22,221425.81
russia,sberbank,2004-04-23,222300.0
russia,sberbank,2004-04-26,221730.0
russia,sberbank,2004-04-27,228760.0
russia,sberbank,2004-04-28,224010.19
russia,sberbank,2004-04-29,213085.0
russia,sberbank,2004-04-30,211394.0
russia,sberbank,2004-05-05,215327.0
russia,sberbank,2004-05-06,213598.0
russia,sberbank,2004-05-07,200735.0
russia,sberbank,2004-05-11,191899.81
russia,sberbank,2004-05-12,208810.0
russia,sberbank,2004-05-13,212800.0
russia,sberbank,2004-05-14,209437.0
russia,sberbank,2004-05-17,216410.0
russia,sberbank,2004-05-18,226290.0
russia,sberbank,2004-05-19,226100.0
russia,sberbank,2004-05-20,235239.0
russia,sberbank,2004-05-21,233700.0
russia,sberbank,2004-05-24,233186.81
russia,sberbank,2004-05-25,224230.02
russia,sberbank,2004-05-26,226669.81
russia,sberbank,2004-05-27,224162.0
russia,sberbank,2004-05-28,219583.0
russia,sberbank,2004-05-31,215554.81
russia,sberbank,2004-06-01,212800.0
russia,sberbank,2004-06-02,222110.0
russia,sberbank,2004-06-03,222965.0
russia,sberbank,2004-06-04,220590.0
russia,sberbank,2004-06-07,226480.0
russia,sberbank,2004-06-08,224390.0
russia,sberbank,2004-06-09,223629.81
russia,sberbank,2004-06-10,219393.0
russia,sberbank,2004-06-11,216599.43
russia,sberbank,2004-06-15,209741.0
russia,sberbank,2004-06-16,210330.0
russia,sberbank,2004-06-17,226120.9
russia,sberbank,2004-06-18,223630.0
russia,sberbank,2004-06-21,224067.0
russia,sberbank,2004-06-22,221540.0
russia,sberbank,2004-06-23,223250.0
russia,sberbank,2004-06-24,224200.0
russia,sberbank,2004-06-25,226879.0
russia,sberbank,2004-06-28,219735.0
russia,sberbank,2004-06-29,222870.0
russia,sberbank,2004-06-30,222851.0
russia,sberbank,2004-07-01,218595.0
russia,sberbank,2004-07-02,220400.0
russia,sberbank,2004-07-05,220685.0
russia,sberbank,2004-07-06,222678.1
russia,sberbank,2004-07-07,221454.88
russia,sberbank,2004-07-08,221179.0
russia,sberbank,2004-07-09,220495.0
russia,sberbank,2004-07-12,223003.0
russia,sberbank,2004-07-13,226764.81
russia,sberbank,2004-07-14,229520.0
russia,sberbank,2004-07-15,242440.0
russia,sberbank,2004-07-16,239780.0
russia,sberbank,2004-07-19,242554.19
russia,sberbank,2004-07-20,233700.0
russia,sberbank,2004-07-21,231800.19
russia,sberbank,2004-07-22,228950.0
russia,sberbank,2004-07-23,229900.0
russia,sberbank,2004-07-26,229615.0
russia,sberbank,2004-07-27,224713.0
russia,sberbank,2004-07-28,210139.81
russia,sberbank,2004-07-29,211850.0
russia,sberbank,2004-07-30,210899.43
russia,sberbank,2004-08-02,204915.0
russia,sberbank,2004-08-03,205485.0
russia,sberbank,2004-08-04,208810.0
russia,sberbank,2004-08-05,206340.0
russia,sberbank,2004-08-06,205390.0
