countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
southafrica,absa,2010-06-30,163697.0,495210.0,718204.0,22380.0,4004.0,38366.0,0.1043632382838972,59297.0,163697.0,658907.0
southafrica,absa,2010-12-31,164545.0,499263.0,725957.0,23741.0,4434.0,37375.0,0.11863545150501673,62149.0,164545.0,663808.0
southafrica,absa,2011-06-30,148468.0,510560.0,723261.0,24616.0,4724.0,36341.0,0.1299909193472937,64233.0,148468.0,659028.0
southafrica,absa,2011-12-31,130262.0,588052.0,786719.0,26997.0,5234.0,38377.0,0.13638377152982256,68405.0,130262.0,718314.0
southafrica,absa,2012-06-30,123786.0,618754.0,812647.0,26032.0,4310.0,38188.0,0.11286267937572012,70107.0,123786.0,742540.0
southafrica,absa,2012-12-31,106804.0,707122.0,898371.0,44770.0,5984.0,47489.0,0.12600812819810903,84445.0,106804.0,813926.0
southafrica,absa,2013-06-30,106269.0,759936.0,953895.0,46020.0,5739.0,43586.0,0.13167071995594914,87690.0,106269.0,866205.0
southafrica,absa,2013-12-31,97829.0,779833.0,962863.0,50130.0,6536.0,46467.0,0.1406589622743022,85201.0,97829.0,877662.0
southafrica,absa,2014-06-30,105509.0,786910.0,978701.0,44589.0,6313.0,46761.0,0.13500566711575887,86282.0,105509.0,892419.0
southafrica,absa,2014-12-31,106098.0,794371.0,991414.0,39103.0,7208.0,49320.0,0.14614760746147606,90945.0,106098.0,900469.0
southafrica,absa,2015-06-30,119544.0,827542.0,1038945.0,37181.0,6929.0,49951.0,0.13871594162279033,91859.0,119544.0,947086.0
southafrica,absa,2015-12-31,128683.0,917274.0,1144604.0,45904.0,7723.0,55430.0,0.1393288832762042,98647.0,128683.0,1045957.0
southafrica,absa,2016-06-30,144522.0,897272.0,1142469.0,47734.0,7187.0,59528.0,0.12073310038973256,100675.0,144522.0,1041794.0
southafrica,absa,2016-12-31,139714.0,859029.0,1101023.0,50006.0,7872.0,59230.0,0.13290562215093701,102280.0,139714.0,998743.0
southafrica,absa,2017-06-30,140192.0,881187.0,1137876.0,45078.0,7603.0,59936.0,0.12685197544046983,116497.0,140192.0,1021379.0
southafrica,absa,2017-12-31,137948.0,912389.0,1169595.0,48669.0,6695.0,59757.0,0.11203708352159579,119258.0,137948.0,1050337.0
southafrica,absa,2018-06-30,140782.0,985815.0,1244685.0,48578.0,7525.0,61047.0,0.12326568054122233,118088.0,140782.0,1126597.0
southafrica,absa,2018-12-31,160971.0,1006167.0,1288744.0,46929.0,7029.0,63787.0,0.11019486729270854,121606.0,160971.0,1167138.0
southafrica,absa,2019-06-30,164321.0,1086075.0,1376705.0,52489.0,7984.0,65835.0,0.121272879167616,126309.0,164321.0,1250396.0
southafrica,absa,2019-12-31,159794.0,1110698.0,1399175.0,52532.0,7059.0,68775.0,0.10263904034896401,128683.0,159794.0,1270492.0
southafrica,absa,2020-06-30,178795.0,1255578.0,1566319.0,62393.0,991.0,66655.0,0.014867601830320307,131946.0,178795.0,1434373.0
southafrica,absa,2020-12-31,145740.0,1253077.0,1531120.0,60682.0,5785.0,62492.0,0.09257184919669718,132303.0,145740.0,1398817.0
southafrica,absa,2021-06-30,129601.0,1312436.0,1580535.0,56610.0,8572.0,61521.0,0.13933453617463956,138498.0,129601.0,1442037.0
southafrica,absa,2021-12-31,131076.0,1362448.0,1640833.0,66041.0,10018.0,64017.0,0.15648968242810504,147309.0,131076.0,1493524.0
southafrica,absa,2022-06-30,174871.0,1452061.0,1771549.0,61353.0,11168.0,70037.0,0.1594585718977112,144617.0,174871.0,1626932.0
southafrica,absa,2022-12-31,205519.0,1433446.0,1792101.0,66429.0,9972.0,81645.0,0.12213852654785963,153136.0,205519.0,1638965.0
southafrica,absa,2023-06-30,213133.0,1526048.0,1896564.0,86795.0,11392.0,95606.0,0.11915570152500889,157383.0,213133.0,1739181.0
southafrica,absa,2023-12-31,211128.0,1499351.0,1874876.0,77815.0,9771.0,98840.0,0.09885673816268717,164397.0,211128.0,1710479.0
