countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
southkorea,bnk_financial,2011-05-27,2666699.0,29842135.432099998,35129486.0,415495.0,128453.0,503209.0,0.25526769195304533,2620651.5679,2666699.0,32508834.432099998
southkorea,bnk_financial,2011-08-27,2878980.8518,29184990.149700005,34782572.0015,404588.0,97397.0,506903.0,0.19214129725016424,2718601.0,2878980.8518,32063971.001500003
southkorea,bnk_financial,2011-11-27,3269190.0,30586137.0819,36723639.0819,1012015.0,95184.0,534384.0,0.178119105362436,2868312.0,3269190.0,33855327.0819
southkorea,bnk_financial,2012-02-27,3618063.0,32785663.0,39358673.0,1442557.0,79265.0,597526.0,0.13265531541723707,2954947.0,3618063.0,36403726.0
southkorea,bnk_financial,2012-05-27,3906145.0,32798479.0,39699588.0,1549822.0,111633.0,616660.0,0.1810284435507411,2994964.0,3906145.0,36704624.0
southkorea,bnk_financial,2012-08-27,3780376.0,33474093.898000002,40339262.898,1061313.0,88474.0248,602423.0174,0.1468636194909109,3084793.0,3780376.0,37254469.898
southkorea,bnk_financial,2012-11-27,4136263.0,35592134.0,42939873.0,900451.0,115084.0,611909.0,0.1880737168435176,3211476.0,4136263.0,39728397.0
southkorea,bnk_financial,2013-02-27,4128491.0,35773207.1971,43163256.1971,928512.0,50682.0,578531.0,0.08760464002793282,3261558.0,4128491.0,39901698.1971
southkorea,bnk_financial,2013-05-27,4202891.0,37379031.7298,44875600.2248,753867.0,94354.0,589767.0,0.15998521449996356,3293677.495,4202891.0,41581922.7298
southkorea,bnk_financial,2013-08-27,4283189.0,38184714.427,45845016.427,1041473.0,92795.7627,587394.2075,0.15797868197397913,3377113.0,4283189.0,42467903.427
southkorea,bnk_financial,2013-11-27,4730324.0,38116000.0471,46323438.898,739318.0,96950.0,610179.0,0.1588878017762001,3477114.8509,4730324.0,42846324.0471
southkorea,bnk_financial,2014-02-27,4740193.0,38575832.8834,46916890.8834,740348.0,20411.2489,592604.0,0.03444331948484992,3600865.0,4740193.0,43316025.8834
southkorea,bnk_financial,2014-05-27,4587368.0,39437167.0,47672723.0,782075.0,100204.4733,615279.0,0.1628602199977571,3648188.0,4587368.0,44024535.0
southkorea,bnk_financial,2014-08-27,4844861.0,40198675.0,48793950.0,515690.0,100652.4756,637870.0,0.15779465345603336,3750414.0,4844861.0,45043536.0
southkorea,bnk_financial,2014-11-27,5461887.3308,41559457.0279,51407863.3587,413149.0,116431.3189,652033.0,0.17856660460436818,4386519.0,5461887.3308,47021344.3587
southkorea,bnk_financial,2015-02-27,7299509.0,71286610.9269,84050064.0,776390.0,492481.3712,972883.0,0.5062082194878521,5463944.0731,7299509.0,78586119.9269
southkorea,bnk_financial,2015-05-27,7571259.0,73926498.2991,87111433.9436,715663.0,153963.7294,1033208.9339,0.14901509689704398,5613676.6445,7571259.0,81497757.2991
southkorea,bnk_financial,2015-08-27,7875866.0,77270304.6744,90975935.2724,717106.9572,165420.0341,1073094.9587,0.15415227958986774,5829764.598,7875866.0,85146170.6744
southkorea,bnk_financial,2015-11-27,8018049.0,74424958.3851,88589774.2626,734007.0,148102.9672,974680.5549,0.15195026355603763,6146766.8775,8018049.0,82443007.3851
southkorea,bnk_financial,2016-02-27,8152822.0,75936044.0729,90279548.5716,755249.0,18022.6178,919929.5525,0.019591302128539892,6190682.4987,8152822.0,84088866.0729
southkorea,bnk_financial,2016-05-27,8121239.0,75118890.34590001,90020848.5594,705862.0,159042.0513,965682.1976,0.1646939870024171,6780719.2135,8121239.0,83240129.34590001
southkorea,bnk_financial,2016-08-27,8444207.0,77479844.34019999,92869238.4321,693625.0,152387.8313,989404.8282,0.15401969644441238,6945187.0919,8444207.0,85924051.34019999
southkorea,bnk_financial,2016-11-27,8679888.0,77095895.9421,92846877.0937,794552.0,145647.782,981305.2363,0.14842250567128662,7071093.1516,8679888.0,85775783.9421
southkorea,bnk_financial,2017-02-27,8781598.0,77613439.42459999,93482189.8843,668886.0,44533.4655,928267.7379,0.04797480692450553,7087152.4597,8781598.0,86395037.42459999
southkorea,bnk_financial,2017-05-27,8518261.0,79345782.6713,95044532.5341,690238.0,168322.5411,976374.7009,0.17239543481088163,7180488.8628,8518261.0,87864043.6713
southkorea,bnk_financial,2017-08-27,8492795.0,80958368.9964,96795489.5987,3712656.6201,162392.8712,1009358.8232,0.16088715674487403,7344325.6023,8492795.0,89451163.9964
southkorea,bnk_financial,2017-11-27,8552586.0,79753420.0109,96094068.6382,3417824.0282,155607.2626,991393.1466,0.15695817863342892,7788062.6273,8552586.0,88306006.0109
southkorea,bnk_financial,2018-02-27,8807408.0,77886548.662,94349976.3906,787339.0,-83220.4878,872683.3294,-0.09536161055948779,7656019.7286,8807408.0,86693956.662
southkorea,bnk_financial,2018-05-27,8885172.0,79115477.7694,95933341.508,3431549.3839,207253.5883,1095949.7326,0.18910866268320306,7932691.7386,8885172.0,88000649.7694
southkorea,bnk_financial,2018-08-27,8611115.0,80978719.2756,97881629.3742,3442768.8326,150342.4004,1070544.3108,0.14043547649854085,8291795.0986,8611115.0,89589834.2756
southkorea,bnk_financial,2018-11-27,8797962.0,82761809.0612,100032876.9759,3646833.5094,181752.2694,1128401.5064,0.16107056607878345,8473105.9147,8797962.0,91559771.0612
southkorea,bnk_financial,2019-02-27,8590658.0,81777962.8639,98793582.9348,1145630.0,-37253.1596,1069166.5378,-0.0348431776369049,8424962.0709,8590658.0,90368620.8639
southkorea,bnk_financial,2019-05-27,8877399.0,84783822.6343,102252605.5564,3421504.8574,177129.7114,1162314.3146,0.15239398601139797,8591383.9221,8877399.0,93661221.6343
southkorea,bnk_financial,2019-08-27,9460642.0,85885244.83850001,104216126.1075,3175469.2406,174107.6242,1179538.0545,0.1476066189944192,8870239.269,9460642.0,95345886.83850001
