countryname,bankname,date,mktcap
southkorea,shinhan,2004-01-02,5649346.2891
southkorea,shinhan,2004-01-05,5664058.1284
southkorea,shinhan,2004-01-06,5502227.8961
southkorea,shinhan,2004-01-07,5487516.0568
southkorea,shinhan,2004-01-08,5296262.146
southkorea,shinhan,2004-01-09,5428668.6996
southkorea,shinhan,2004-01-12,5722905.4855
southkorea,shinhan,2004-01-13,5619922.6105
southkorea,shinhan,2004-01-14,5605210.7712
southkorea,shinhan,2004-01-15,5708193.6462
southkorea,shinhan,2004-01-16,5711379.4189
southkorea,shinhan,2004-01-19,5770259.6191
southkorea,shinhan,2004-01-20,5917460.1196
southkorea,shinhan,2004-01-26,5784979.6692
southkorea,shinhan,2004-01-27,5740819.519
southkorea,shinhan,2004-01-28,5799699.7192
southkorea,shinhan,2004-01-29,5799699.7192
southkorea,shinhan,2004-01-30,5726099.469
southkorea,shinhan,2004-02-02,5711379.4189
southkorea,shinhan,2004-02-03,5681939.3188
southkorea,shinhan,2004-02-04,5681939.3188
southkorea,shinhan,2004-02-05,5578898.9685
southkorea,shinhan,2004-02-06,5681939.3188
southkorea,shinhan,2004-02-09,6035220.52
southkorea,shinhan,2004-02-10,5991060.3699
southkorea,shinhan,2004-02-11,6182421.0205
southkorea,shinhan,2004-02-12,6447381.9214
southkorea,shinhan,2004-02-13,6741782.9224
southkorea,shinhan,2004-02-16,6682902.7222
southkorea,shinhan,2004-02-17,6785943.0725
southkorea,shinhan,2004-02-18,6594582.4219
southkorea,shinhan,2004-02-19,6771223.0225
southkorea,shinhan,2004-02-20,6638742.572
southkorea,shinhan,2004-02-23,6432661.8713
southkorea,shinhan,2004-02-24,6447381.9214
southkorea,shinhan,2004-02-25,6535702.2217
southkorea,shinhan,2004-02-26,6462101.9714
southkorea,shinhan,2004-02-27,6373781.6711
southkorea,shinhan,2004-03-02,6359061.6211
southkorea,shinhan,2004-03-03,6682902.7222
southkorea,shinhan,2004-03-04,6682902.7222
southkorea,shinhan,2004-03-05,6624022.522
southkorea,shinhan,2004-03-08,6609302.4719
southkorea,shinhan,2004-03-09,6417941.8213
southkorea,shinhan,2004-03-10,6197141.0706
southkorea,shinhan,2004-03-11,6211861.1206
southkorea,shinhan,2004-03-12,6064660.6201
southkorea,shinhan,2004-03-15,6108820.7703
southkorea,shinhan,2004-03-16,5902740.0696
southkorea,shinhan,2004-03-17,6152980.9204
southkorea,shinhan,2004-03-18,6182421.0205
southkorea,shinhan,2004-03-19,6329621.521
southkorea,shinhan,2004-03-22,6020500.47
southkorea,shinhan,2004-03-23,6035220.52
southkorea,shinhan,2004-03-24,6123540.8203
southkorea,shinhan,2004-03-25,6182421.0205
southkorea,shinhan,2004-03-26,6270741.3208
southkorea,shinhan,2004-03-29,6241301.2207
southkorea,shinhan,2004-03-30,6108820.7703
southkorea,shinhan,2004-03-31,6211861.1206
southkorea,shinhan,2004-04-01,6108820.7703
southkorea,shinhan,2004-04-02,6417941.8213
southkorea,shinhan,2004-04-06,6697622.7722
southkorea,shinhan,2004-04-07,6697622.7722
southkorea,shinhan,2004-04-08,6697622.7722
southkorea,shinhan,2004-04-09,6624022.522
southkorea,shinhan,2004-04-12,6697622.7722
southkorea,shinhan,2004-04-13,6506262.1216
southkorea,shinhan,2004-04-14,6535702.2217
southkorea,shinhan,2004-04-16,6476822.0215
southkorea,shinhan,2004-04-19,6359061.6211
southkorea,shinhan,2004-04-20,6447381.9214
southkorea,shinhan,2004-04-21,6741782.9224
southkorea,shinhan,2004-04-22,6771223.0225
southkorea,shinhan,2004-04-23,6844823.2727
southkorea,shinhan,2004-04-26,6638742.572
southkorea,shinhan,2004-04-27,6535702.2217
southkorea,shinhan,2004-04-28,6241301.2207
southkorea,shinhan,2004-04-29,6182421.0205
southkorea,shinhan,2004-04-30,6020500.47
southkorea,shinhan,2004-05-03,6270741.3208
southkorea,shinhan,2004-05-04,6344341.571
southkorea,shinhan,2004-05-06,6241301.2207
southkorea,shinhan,2004-05-07,6152980.9204
southkorea,shinhan,2004-05-10,5770259.6191
southkorea,shinhan,2004-05-11,5770259.6191
southkorea,shinhan,2004-05-12,5976340.3198
southkorea,shinhan,2004-05-13,5696659.3689
southkorea,shinhan,2004-05-14,5255057.8674
southkorea,shinhan,2004-05-17,4769296.2158
southkorea,shinhan,2004-05-18,4842896.4661
southkorea,shinhan,2004-05-19,5240337.8174
southkorea,shinhan,2004-05-20,5240337.8174
southkorea,shinhan,2004-05-21,5328658.1177
southkorea,shinhan,2004-05-24,5402258.3679
southkorea,shinhan,2004-05-25,5255057.8674
southkorea,shinhan,2004-05-27,5343378.1677
southkorea,shinhan,2004-05-28,5549458.8684
southkorea,shinhan,2004-05-31,5534738.8184
southkorea,shinhan,2004-06-01,5534738.8184
southkorea,shinhan,2004-06-02,5328658.1177
southkorea,shinhan,2004-06-03,4945936.8164
southkorea,shinhan,2004-06-04,5063697.2168
southkorea,shinhan,2004-06-07,5358098.2178
southkorea,shinhan,2004-06-08,5299218.0176
southkorea,shinhan,2004-06-09,5122577.417
southkorea,shinhan,2004-06-10,5004817.0166
southkorea,shinhan,2004-06-11,4666255.8655
