countryname,bankname,date,lt_borrow,st_borrow,tot_asset,cash_and_st_investments,net_income,net_rev,prof_margin,equity_book,bonds,total_liab
turkey,akbank,2010-02-27,5367.703,83018.394,102833.447,4740.095,710.055,2702.661,0.2627244038375512,14447.35,5367.703,88386.097
turkey,akbank,2010-05-27,5125.05,86469.477,106660.989,4396.578,1003.389,3220.956,0.31151900243281805,15066.462,5125.05,91594.527
turkey,akbank,2010-08-27,5103.969,92318.05099999999,112993.582,5183.026,804.468,2921.722,0.275340364346779,15571.562,5103.969,97422.01999999999
turkey,akbank,2010-11-27,6922.672,87722.51899999999,111277.829,5720.379,480.204,2468.125,0.19456226892884274,16632.638,6922.672,94645.19099999999
turkey,akbank,2011-02-27,8167.838,93954.295,120069.727,6096.821,720.748,2939.265,0.24521368437347435,17947.594,8167.838,102122.133
turkey,akbank,2011-05-27,9320.448,94049.85,120526.13,7921.147,728.441,2959.256,0.24615680427783201,17155.832,9320.448,103370.29800000001
turkey,akbank,2011-08-27,9738.11,102097.134,129526.008,11731.684,670.728,2903.274,0.23102469832334116,17690.764,9738.11,111835.244
turkey,akbank,2011-11-27,11920.569,110114.764,139948.419,15410.979,562.171,3008.228,0.18687778984837586,17913.086,11920.569,122035.333
turkey,akbank,2012-02-27,12307.802,109467.95100000002,139907.132,13878.689,575.035,3104.198,0.1852443046480927,18131.379,12307.802,121775.75300000001
turkey,akbank,2012-05-27,12213.41,112836.02300000002,143799.053,13426.293,529.995,3331.497,0.15908614055483167,18749.62,12213.41,125049.43300000002
turkey,akbank,2012-08-27,11902.466,113758.922,145074.991,8737.121,575.157,3490.937,0.16475719842552303,19413.603,11902.466,125661.388
turkey,akbank,2012-11-27,10363.346,125602.58,156655.245,13346.931,801.563,3732.039,0.21477883805608675,20689.319,10363.346,135965.926
turkey,akbank,2013-02-27,11935.754,129066.81199999999,163478.334,16662.852,1098.195,4019.838,0.27319384512510203,22475.768,11935.754,141002.566
turkey,akbank,2013-05-27,13066.214,128995.09100000001,164332.942,17771.346,873.121,3920.903,0.22268365220970782,22271.637,13066.214,142061.30500000002
turkey,akbank,2013-08-27,13781.555,141569.05500000002,176635.209,15476.696,951.906,3936.602,0.24180905257884847,21284.599,13781.555,155350.61000000002
turkey,akbank,2013-11-27,13504.103,156048.111,191307.434,18965.089,602.684,3670.429,0.1641998796325988,21755.22,13504.103,169552.214
turkey,akbank,2014-02-27,14610.74,158736.54400000002,195482.263,18223.119,649.466,3801.935,0.17082511931424393,22134.979,14610.74,173347.284
turkey,akbank,2014-05-27,15434.968,162263.251,200235.718,20635.42,660.959,4082.489,0.1619009873633462,22537.499,15434.968,177698.21899999998
turkey,akbank,2014-08-27,16616.836,167716.609,208802.779,20759.224,950.651,4789.254,0.19849667610028618,24469.334,16616.836,184333.445
turkey,akbank,2014-11-27,17391.829,172687.01200000002,214941.768,20862.729,804.244,4555.66,0.17653731841269982,24862.927,17391.829,190078.84100000001
turkey,akbank,2015-02-27,18390.053,174166.501,218696.598,20440.057,962.785,4655.37,0.20681170347362293,26140.044,18390.053,192556.554
