countryname,bankname,date,mktcap
turkey,akbank,2004-01-02,9120.0
turkey,akbank,2004-01-05,9540.348
turkey,akbank,2004-01-06,9240.0
turkey,akbank,2004-01-07,9360.0
turkey,akbank,2004-01-08,9480.0
turkey,akbank,2004-01-09,9480.0
turkey,akbank,2004-01-12,9300.0
turkey,akbank,2004-01-13,9240.0
turkey,akbank,2004-01-14,8820.0
turkey,akbank,2004-01-15,8760.3279
turkey,akbank,2004-01-16,8520.0
turkey,akbank,2004-01-19,8280.0
turkey,akbank,2004-01-20,8880.0
turkey,akbank,2004-01-21,8700.0
turkey,akbank,2004-01-22,8400.0
turkey,akbank,2004-01-23,8400.0
turkey,akbank,2004-01-26,8340.0
turkey,akbank,2004-01-27,8280.0
turkey,akbank,2004-01-28,8280.0
turkey,akbank,2004-01-29,7920.0
turkey,akbank,2004-01-30,7800.0
turkey,akbank,2004-02-05,7620.0
turkey,akbank,2004-02-06,7500.0
turkey,akbank,2004-02-09,8040.0
turkey,akbank,2004-02-10,7980.0
turkey,akbank,2004-02-11,8460.0
turkey,akbank,2004-02-12,9000.3412
turkey,akbank,2004-02-13,8940.0
turkey,akbank,2004-02-16,9000.0
turkey,akbank,2004-02-17,8580.0
turkey,akbank,2004-02-18,8820.0
turkey,akbank,2004-02-19,8280.0
turkey,akbank,2004-02-20,8339.8437
turkey,akbank,2004-02-23,8160.0
turkey,akbank,2004-02-24,8280.0
turkey,akbank,2004-02-25,8280.0
turkey,akbank,2004-02-26,8340.0
turkey,akbank,2004-02-27,8340.3141
turkey,akbank,2004-03-01,8340.3165
turkey,akbank,2004-03-02,8700.3269
turkey,akbank,2004-03-03,8520.0
turkey,akbank,2004-03-04,8520.0
turkey,akbank,2004-03-05,8640.0
turkey,akbank,2004-03-08,8640.0
turkey,akbank,2004-03-09,8640.0
turkey,akbank,2004-03-10,8700.0
turkey,akbank,2004-03-11,8460.0
turkey,akbank,2004-03-12,8400.0
turkey,akbank,2004-03-15,8340.3162
turkey,akbank,2004-03-16,8340.0
turkey,akbank,2004-03-17,8340.0
turkey,akbank,2004-03-18,8460.0
turkey,akbank,2004-03-19,8580.0
turkey,akbank,2004-03-22,8520.0
turkey,akbank,2004-03-23,8640.0
turkey,akbank,2004-03-24,8579.8379
turkey,akbank,2004-03-25,8640.3256
turkey,akbank,2004-03-26,8760.3318
turkey,akbank,2004-03-29,8760.0
turkey,akbank,2004-03-30,8280.0
turkey,akbank,2004-03-31,8400.0
turkey,akbank,2004-04-01,8460.0
turkey,akbank,2004-04-02,8340.0
turkey,akbank,2004-04-05,8220.3121
turkey,akbank,2004-04-06,8220.3108
turkey,akbank,2004-04-07,8100.0
turkey,akbank,2004-04-08,7920.0
turkey,akbank,2004-04-09,7860.0
turkey,akbank,2004-04-12,7860.0
turkey,akbank,2004-04-13,7920.0
turkey,akbank,2004-04-14,7620.0
turkey,akbank,2004-04-15,7800.0
turkey,akbank,2004-04-16,8040.0
turkey,akbank,2004-04-19,8460.0
turkey,akbank,2004-04-20,8400.0
turkey,akbank,2004-04-21,8400.0
turkey,akbank,2004-04-22,8460.0
turkey,akbank,2004-04-26,8100.0
turkey,akbank,2004-04-27,7920.2795
turkey,akbank,2004-04-28,7860.0
turkey,akbank,2004-04-29,7620.2668
turkey,akbank,2004-04-30,7920.0
turkey,akbank,2004-05-03,7920.0
turkey,akbank,2004-05-04,8340.2878
turkey,akbank,2004-05-05,8400.2911
turkey,akbank,2004-05-06,8040.0
turkey,akbank,2004-05-07,7740.0
turkey,akbank,2004-05-10,7440.0
turkey,akbank,2004-05-11,7440.0
turkey,akbank,2004-05-12,7440.0
turkey,akbank,2004-05-13,7260.0
turkey,akbank,2004-05-14,7200.2353
turkey,akbank,2004-05-17,6840.0
turkey,akbank,2004-05-18,6900.0
turkey,akbank,2004-05-20,7080.0
turkey,akbank,2004-05-21,7080.2286
turkey,akbank,2004-05-24,7200.2343
turkey,akbank,2004-05-25,7080.2324
turkey,akbank,2004-05-26,7320.0
turkey,akbank,2004-05-27,7380.0
turkey,akbank,2004-05-28,7560.0
turkey,akbank,2004-05-31,7380.0
turkey,akbank,2004-06-01,7200.2381
turkey,akbank,2004-06-02,7260.0
turkey,akbank,2004-06-03,7500.0
turkey,akbank,2004-06-04,7860.2633
turkey,akbank,2004-06-07,8100.0
turkey,akbank,2004-06-08,7950.0
turkey,akbank,2004-06-09,8025.0
turkey,akbank,2004-06-10,8250.0
turkey,akbank,2004-06-11,8025.0
turkey,akbank,2004-06-14,7800.0
turkey,akbank,2004-06-15,8100.0
turkey,akbank,2004-06-16,7950.0
turkey,akbank,2004-06-17,7950.0
turkey,akbank,2004-06-18,7875.0
turkey,akbank,2004-06-21,7725.2593
turkey,akbank,2004-06-22,7725.2593
turkey,akbank,2004-06-23,7725.0
turkey,akbank,2004-06-24,7575.2539
turkey,akbank,2004-06-25,7800.0
turkey,akbank,2004-06-28,7950.0
turkey,akbank,2004-06-29,8025.0
turkey,akbank,2004-06-30,8175.0
turkey,akbank,2004-07-01,8625.0
turkey,akbank,2004-07-02,8775.3035
turkey,akbank,2004-07-05,8550.0
turkey,akbank,2004-07-06,8475.0
turkey,akbank,2004-07-07,8625.0
turkey,akbank,2004-07-08,8475.0
turkey,akbank,2004-07-09,8550.0
turkey,akbank,2004-07-12,8775.0
turkey,akbank,2004-07-13,8775.0
turkey,akbank,2004-07-14,8775.0
turkey,akbank,2004-07-15,8850.0
turkey,akbank,2004-07-16,8775.0
turkey,akbank,2004-07-19,8550.0
turkey,akbank,2004-07-20,8475.0
turkey,akbank,2004-07-21,8775.0
turkey,akbank,2004-07-22,8775.3006
turkey,akbank,2004-07-23,9000.3066
turkey,akbank,2004-07-26,8850.0
turkey,akbank,2004-07-27,9000.0
turkey,akbank,2004-07-28,9000.0
turkey,akbank,2004-07-29,9075.0
turkey,akbank,2004-07-30,9075.0
turkey,akbank,2004-08-02,9075.0
turkey,akbank,2004-08-03,8925.0
turkey,akbank,2004-08-04,8700.0
turkey,akbank,2004-08-05,8850.0
turkey,akbank,2004-08-06,8700.0
turkey,akbank,2004-08-09,8775.0
turkey,akbank,2004-08-10,8775.0
turkey,akbank,2004-08-11,8550.0
turkey,akbank,2004-08-12,8475.0
turkey,akbank,2004-08-13,8475.0
turkey,akbank,2004-08-16,8550.0
turkey,akbank,2004-08-17,9000.3098
turkey,akbank,2004-08-18,9000.0
turkey,akbank,2004-08-19,9000.0
turkey,akbank,2004-08-20,9075.0
turkey,akbank,2004-08-23,9150.0
turkey,akbank,2004-08-24,9225.0
turkey,akbank,2004-08-25,9075.0
turkey,akbank,2004-08-26,9000.0
turkey,akbank,2004-08-27,9150.0
turkey,akbank,2004-08-31,9600.0
turkey,akbank,2004-09-01,9600.0
turkey,akbank,2004-09-02,9675.3206
turkey,akbank,2004-09-03,9600.0
turkey,akbank,2004-09-06,9525.0
turkey,akbank,2004-09-07,9675.0
turkey,akbank,2004-09-08,9900.0
turkey,akbank,2004-09-09,9825.0
turkey,akbank,2004-09-10,9525.0
turkey,akbank,2004-09-13,9600.0
turkey,akbank,2004-09-14,9900.0
turkey,akbank,2004-09-15,9900.0
turkey,akbank,2004-09-16,9900.0
turkey,akbank,2004-09-17,9375.3083
turkey,akbank,2004-09-20,9225.0
turkey,akbank,2004-09-21,9675.0
turkey,akbank,2004-09-22,9675.3198
turkey,akbank,2004-09-23,10500.0
turkey,akbank,2004-09-24,10425.0
turkey,akbank,2004-09-27,10350.3457
turkey,akbank,2004-09-28,10350.0
turkey,akbank,2004-09-29,10275.0
turkey,akbank,2004-09-30,10200.0
turkey,akbank,2004-10-01,9975.0
turkey,akbank,2004-10-04,9900.0
turkey,akbank,2004-10-05,9675.0
turkey,akbank,2004-10-06,9900.0
turkey,akbank,2004-10-07,9975.0
turkey,akbank,2004-10-08,10350.0
turkey,akbank,2004-10-11,10125.0
turkey,akbank,2004-10-12,9825.0
turkey,akbank,2004-10-13,10200.0
turkey,akbank,2004-10-14,10050.3373
turkey,akbank,2004-10-15,10125.0
turkey,akbank,2004-10-18,10200.3447
turkey,akbank,2004-10-19,10350.0
turkey,akbank,2004-10-20,10125.0
turkey,akbank,2004-10-21,9975.0
turkey,akbank,2004-10-22,9825.0
turkey,akbank,2004-10-25,9600.3246
turkey,akbank,2004-10-26,9600.0
turkey,akbank,2004-10-27,9825.0
turkey,akbank,2004-10-28,9975.0
turkey,akbank,2004-11-01,9750.0
turkey,akbank,2004-11-02,9900.3368
turkey,akbank,2004-11-03,10200.3479
turkey,akbank,2004-11-04,9825.0
turkey,akbank,2004-11-05,10050.0
turkey,akbank,2004-11-08,9600.0
turkey,akbank,2004-11-09,9600.0
turkey,akbank,2004-11-10,9525.0
turkey,akbank,2004-11-11,9300.0
turkey,akbank,2004-11-12,9225.0
turkey,akbank,2004-11-17,9675.0
turkey,akbank,2004-11-18,9975.3443
turkey,akbank,2004-11-19,10125.0
turkey,akbank,2004-11-22,9975.0
turkey,akbank,2004-11-23,10350.0
turkey,akbank,2004-11-24,10425.0
turkey,akbank,2004-11-25,10425.0
turkey,akbank,2004-11-26,10275.0
turkey,akbank,2004-11-29,10200.0
turkey,akbank,2004-11-30,10200.0
turkey,akbank,2004-12-01,10340.9003
turkey,akbank,2004-12-02,10953.8597
turkey,akbank,2004-12-03,10977.3262
turkey,akbank,2004-12-06,11325.0
turkey,akbank,2004-12-07,11325.4053
turkey,akbank,2004-12-08,10946.522
turkey,akbank,2004-12-09,11158.0038
turkey,akbank,2004-12-10,11463.001
turkey,akbank,2004-12-13,12066.5293
turkey,akbank,2004-12-14,11925.0
turkey,akbank,2004-12-15,11395.9503
turkey,akbank,2004-12-16,11850.0
turkey,akbank,2004-12-17,12081.4676
turkey,akbank,2004-12-20,12075.0
turkey,akbank,2004-12-21,11706.7073
turkey,akbank,2004-12-22,11995.6912
turkey,akbank,2004-12-23,12225.0
turkey,akbank,2004-12-24,12450.0
turkey,akbank,2004-12-27,12440.7914
turkey,akbank,2004-12-28,12525.0
turkey,akbank,2004-12-29,12525.0
turkey,akbank,2005-01-03,12600.0
turkey,akbank,2005-01-04,12075.0
turkey,akbank,2005-01-05,11550.0
turkey,akbank,2005-01-06,11700.0
turkey,akbank,2005-01-07,12225.0
turkey,akbank,2005-01-10,12375.0
