DATES,HY_SPREAD
26/08/2026,2.65
25/08/2026,2.68
24/08/2026,2.68
21/08/2026,2.69
20/08/2026,2.73
19/08/2026,2.7
18/08/2026,2.75
17/08/2026,2.68
14/08/2026,2.66
13/08/2026,2.66
12/08/2026,2.67
11/08/2026,2.67
10/08/2026,2.65
07/08/2026,2.64
06/08/2026,2.63
05/08/2026,2.67
04/08/2026,2.66
03/08/2026,2.71
31/07/2026,2.79
30/07/2026,2.83
29/07/2026,2.89
28/07/2026,2.82
27/07/2026,2.81
24/07/2026,2.8
23/07/2026,2.76
22/07/2026,2.67
21/07/2026,2.67
20/07/2026,2.66
17/07/2026,2.68
16/07/2026,2.66
15/07/2026,2.66
14/07/2026,2.68
13/07/2026,2.66
10/07/2026,2.63
09/07/2026,2.64
08/07/2026,2.64
07/07/2026,2.6
06/07/2026,2.65
03/07/2026,2.67
02/07/2026,2.67
01/07/2026,2.67
30/06/2026,2.7
29/06/2026,2.77
26/06/2026,2.82
25/06/2026,2.79
24/06/2026,2.77
23/06/2026,2.7
22/06/2026,2.64
19/06/2026,2.65
18/06/2026,2.65
17/06/2026,2.63
16/06/2026,2.65
15/06/2026,2.61
12/06/2026,2.66
11/06/2026,2.71
10/06/2026,2.75
09/06/2026,2.73
08/06/2026,2.65
05/06/2026,2.65
04/06/2026,2.62
03/06/2026,2.63
02/06/2026,2.57
01/06/2026,2.59
29/05/2026,2.57
28/05/2026,2.61
27/05/2026,2.61
26/05/2026,2.61
25/05/2026,2.6
22/05/2026,2.6
21/05/2026,2.67
20/05/2026,2.68
19/05/2026,2.73
18/05/2026,2.72
15/05/2026,2.67
14/05/2026,2.64
13/05/2026,2.67
12/05/2026,2.68
11/05/2026,2.64
08/05/2026,2.66
07/05/2026,2.64
06/05/2026,2.62
05/05/2026,2.66
04/05/2026,2.67
01/05/2026,2.64
30/04/2026,2.68
29/04/2026,2.7
28/04/2026,2.71
27/04/2026,2.68
24/04/2026,2.72
23/04/2026,2.72
22/04/2026,2.69
21/04/2026,2.69
20/04/2026,2.7
17/04/2026,2.66
16/04/2026,2.72
15/04/2026,2.69
14/04/2026,2.68
13/04/2026,2.79
10/04/2026,2.78
09/04/2026,2.7
08/04/2026,2.79
07/04/2026,2.96
06/04/2026,2.91
03/04/2026,2.99
02/04/2026,3.04
01/04/2026,3.01
31/03/2026,3.17
30/03/2026,3.35
27/03/2026,3.31
26/03/2026,3.08
25/03/2026,3.04
24/03/2026,3.05
23/03/2026,3.06
20/03/2026,3.12
19/03/2026,3.11
18/03/2026,3.06
17/03/2026,3.1
16/03/2026,3.13
13/03/2026,3.11
12/03/2026,2.98
11/03/2026,2.94
10/03/2026,2.92
09/03/2026,3.01
06/03/2026,2.96
05/03/2026,2.83
04/03/2026,2.81
03/03/2026,2.95
02/03/2026,2.89
27/02/2026,2.91
26/02/2026,2.82
25/02/2026,2.77
24/02/2026,2.81
23/02/2026,2.8
20/02/2026,2.7
19/02/2026,2.72
18/02/2026,2.7
17/02/2026,2.78
16/02/2026,2.8
13/02/2026,2.8
12/02/2026,2.75
11/02/2026,2.63
10/02/2026,2.65
09/02/2026,2.64
06/02/2026,2.66
05/02/2026,2.75
04/02/2026,2.64
03/02/2026,2.6
02/02/2026,2.59
30/01/2026,2.65
29/01/2026,2.64
28/01/2026,2.59
27/01/2026,2.58
26/01/2026,2.57
23/01/2026,2.56
22/01/2026,2.5
21/01/2026,2.54
20/01/2026,2.61
19/01/2026,2.51
16/01/2026,2.51
15/01/2026,2.53
14/01/2026,2.6
13/01/2026,2.58
12/01/2026,2.59
09/01/2026,2.57
08/01/2026,2.58
07/01/2026,2.61
06/01/2026,2.59
05/01/2026,2.62
02/01/2026,2.68
31/12/2025,2.66
30/12/2025,2.67
29/12/2025,2.71
26/12/2025,2.71
25/12/2025,2.67
24/12/2025,2.67
23/12/2025,2.68
22/12/2025,2.71
19/12/2025,2.75
18/12/2025,2.78
17/12/2025,2.83
16/12/2025,2.81
15/12/2025,2.76
12/12/2025,2.75
11/12/2025,2.71
10/12/2025,2.75
09/12/2025,2.71
08/12/2025,2.71
05/12/2025,2.64
04/12/2025,2.67
03/12/2025,2.69
02/12/2025,2.72
01/12/2025,2.74
28/11/2025,2.69
27/11/2025,2.79
26/11/2025,2.79
25/11/2025,2.9
24/11/2025,2.97
21/11/2025,3.01
20/11/2025,3.02
19/11/2025,3.0
18/11/2025,3.04
17/11/2025,2.96
14/11/2025,2.91
13/11/2025,2.91
12/11/2025,2.83
11/11/2025,2.84
10/11/2025,2.84
07/11/2025,2.96
06/11/2025,2.94
05/11/2025,2.87
04/11/2025,2.96
03/11/2025,2.86
31/10/2025,2.81
30/10/2025,2.78
29/10/2025,2.67
28/10/2025,2.73
27/10/2025,2.72
24/10/2025,2.81
23/10/2025,2.88
22/10/2025,2.91
21/10/2025,2.88
20/10/2025,2.88
17/10/2025,2.93
16/10/2025,2.92
15/10/2025,2.82
14/10/2025,2.98
13/10/2025,3.04
10/10/2025,3.04
09/10/2025,2.82
08/10/2025,2.73
07/10/2025,2.71
06/10/2025,2.65
03/10/2025,2.68
02/10/2025,2.69
01/10/2025,2.7
30/09/2025,2.67
29/09/2025,2.66
26/09/2025,2.66
25/09/2025,2.66
24/09/2025,2.61
23/09/2025,2.62
22/09/2025,2.59
19/09/2025,2.62
18/09/2025,2.62
17/09/2025,2.68
16/09/2025,2.69
15/09/2025,2.67
12/09/2025,2.7
11/09/2025,2.68
10/09/2025,2.74
09/09/2025,2.76
08/09/2025,2.74
05/09/2025,2.72
04/09/2025,2.75
03/09/2025,2.8
02/09/2025,2.81
01/09/2025,2.71
29/08/2025,2.72
28/08/2025,2.68
27/08/2025,2.7
26/08/2025,2.72
25/08/2025,2.73
22/08/2025,2.79
21/08/2025,2.87
20/08/2025,2.87
19/08/2025,2.85
18/08/2025,2.82
15/08/2025,2.79
14/08/2025,2.81
13/08/2025,2.8
12/08/2025,2.84
11/08/2025,2.86
08/08/2025,2.83
07/08/2025,2.86
06/08/2025,2.88
05/08/2025,2.89
04/08/2025,2.93
01/08/2025,3.01
31/07/2025,2.78
30/07/2025,2.78
29/07/2025,2.77
28/07/2025,2.73
25/07/2025,2.74
24/07/2025,2.72
23/07/2025,2.73
22/07/2025,2.8
21/07/2025,2.8
18/07/2025,2.83
17/07/2025,2.81
16/07/2025,2.88
15/07/2025,2.82
14/07/2025,2.84
11/07/2025,2.83
10/07/2025,2.79
09/07/2025,2.81
08/07/2025,2.79
07/07/2025,2.74
04/07/2025,2.68
03/07/2025,2.68
02/07/2025,2.77
01/07/2025,2.81
30/06/2025,2.9
27/06/2025,2.92
26/06/2025,2.93
25/06/2025,2.94
24/06/2025,2.92
23/06/2025,3.02
20/06/2025,2.99
19/06/2025,3.04
