DATES,EMBI
27/08/2026,567.71
26/08/2026,574.955
25/08/2026,569.085
24/08/2026,567.644
21/08/2026,565.977
20/08/2026,582.736
19/08/2026,573.118
18/08/2026,571.634
17/08/2026,548.296
14/08/2026,539.678
13/08/2026,535.247
12/08/2026,538.838
11/08/2026,534.93
10/08/2026,537.485
07/08/2026,495.298
06/08/2026,486.765
05/08/2026,479.191
04/08/2026,473.207
03/08/2026,468.988
31/07/2026,477.051
30/07/2026,479.287
29/07/2026,483.116
28/07/2026,475.24
27/07/2026,472.622
24/07/2026,468.472
23/07/2026,467.127
22/07/2026,455.308
21/07/2026,458.831
20/07/2026,458.878
17/07/2026,485.846
16/07/2026,482.373
15/07/2026,480.996
14/07/2026,486.824
13/07/2026,487.286
10/07/2026,483.92
09/07/2026,486.77
08/07/2026,492.959
07/07/2026,486.753
06/07/2026,487.374
03/07/2026,492.312
02/07/2026,490.574
01/07/2026,496.114
30/06/2026,500.112
29/06/2026,494.36
26/06/2026,496.902
25/06/2026,498.465
24/06/2026,497.155
23/06/2026,493.374
22/06/2026,488.554
19/06/2026,492.119
18/06/2026,490.223
17/06/2026,492.288
16/06/2026,488.531
15/06/2026,488.604
12/06/2026,493.964
11/06/2026,499.772
10/06/2026,546.635
09/06/2026,543.678
08/06/2026,541.618
05/06/2026,542.366
04/06/2026,529.326
03/06/2026,533.969
02/06/2026,532.937
01/06/2026,537.044
29/05/2026,540.146
28/05/2026,577.482
27/05/2026,578.917
26/05/2026,585.756
25/05/2026,596.283
22/05/2026,591.884
21/05/2026,593.607
20/05/2026,598.289
19/05/2026,605.893
18/05/2026,602.385
15/05/2026,601.438
14/05/2026,589.749
13/05/2026,591.472
12/05/2026,584.765
11/05/2026,583.118
08/05/2026,586.867
07/05/2026,592.136
06/05/2026,583.737
05/05/2026,604.679
04/05/2026,604.338
01/05/2026,592.438
30/04/2026,600.341
29/04/2026,605.858
28/04/2026,612.876
27/04/2026,603.017
24/04/2026,594.224
23/04/2026,560.915
22/04/2026,578.272
21/04/2026,550.558
20/04/2026,568.471
17/04/2026,538.714
16/04/2026,571.071
15/04/2026,538.707
14/04/2026,563.488
13/04/2026,542.216
10/04/2026,566.768
09/04/2026,587.518
08/04/2026,595.65
07/04/2026,616.219
06/04/2026,624.14
03/04/2026,623.076
02/04/2026,619.429
01/04/2026,623.192
31/03/2026,625.064
30/03/2026,652.953
27/03/2026,640.43
26/03/2026,623.947
25/03/2026,609.084
24/03/2026,610.635
23/03/2026,569.872
20/03/2026,610.537
19/03/2026,585.694
18/03/2026,571.71
17/03/2026,571.71
16/03/2026,589.011
13/03/2026,567.079
12/03/2026,551.45
11/03/2026,551.45
10/03/2026,570.269
09/03/2026,570.269
05/03/2026,545.234
03/03/2026,564.266
27/02/2026,551.284
25/02/2026,531.384
23/02/2026,521.964
19/02/2026,518.393
17/02/2026,511.269
13/02/2026,524.727
11/02/2026,523.19
09/02/2026,528.008
05/02/2026,547.498
03/02/2026,540.663
02/02/2026,274.943
30/01/2026,570.687
29/01/2026,315.131
28/01/2026,570.047
27/01/2026,315.7
26/01/2026,584.739
23/01/2026,315.362
22/01/2026,618.528
21/01/2026,324.066
20/01/2026,637.13
19/01/2026,8.849
16/01/2026,319.269
15/01/2026,8.871
14/01/2026,325.362
13/01/2026,8.875
12/01/2026,322.578
09/01/2026,8.871
08/01/2026,330.865
07/01/2026,8.875
06/01/2026,330.604
05/01/2026,8.872
02/01/2026,321.615
31/12/2025,332.007
30/12/2025,8.874
29/12/2025,214.122
26/12/2025,8.873
24/12/2025,8.873
23/12/2025,320.114
22/12/2025,8.874
18/12/2025,8.75
16/12/2025,8.75
15/12/2025,385.571
12/12/2025,8.75
10/12/2025,8.7
09/12/2025,371.242
08/12/2025,8.75
05/12/2025,367.368
04/12/2025,9.374
03/12/2025,376.267
02/12/2025,9.5
01/12/2025,9.5
