DATES,EMBI
27/08/2026,120.648
26/08/2026,121.513
25/08/2026,121.814
24/08/2026,123.972
21/08/2026,123.869
20/08/2026,125.908
19/08/2026,125.703
18/08/2026,126.935
17/08/2026,125.92
14/08/2026,125.057
13/08/2026,124.054
12/08/2026,125.074
11/08/2026,124.138
10/08/2026,122.565
07/08/2026,121.948
06/08/2026,123.153
05/08/2026,121.521
04/08/2026,122.151
03/08/2026,121.532
31/07/2026,124.628
30/07/2026,125.352
29/07/2026,128.912
28/07/2026,126.769
27/07/2026,125.423
24/07/2026,124.543
23/07/2026,125.441
22/07/2026,122.273
21/07/2026,122.183
20/07/2026,124.088
17/07/2026,125.56
16/07/2026,123.762
15/07/2026,122.963
14/07/2026,123.539
13/07/2026,124.625
10/07/2026,123.569
09/07/2026,124.326
08/07/2026,126.62
07/07/2026,125.778
06/07/2026,124.682
03/07/2026,125.07
02/07/2026,125.203
01/07/2026,125.472
30/06/2026,124.755
29/06/2026,125.005
26/06/2026,125.907
25/06/2026,126.502
24/06/2026,126.61
23/06/2026,126.512
22/06/2026,124.812
19/06/2026,124.355
18/06/2026,124.278
17/06/2026,126.327
16/06/2026,123.076
15/06/2026,122.471
12/06/2026,125.933
11/06/2026,125.84
10/06/2026,127.157
09/06/2026,125.146
08/06/2026,124.173
05/06/2026,124.575
04/06/2026,120.954
03/06/2026,120.955
02/06/2026,118.726
01/06/2026,118.829
29/05/2026,118.814
28/05/2026,120.437
27/05/2026,120.689
26/05/2026,120.056
25/05/2026,128.323
22/05/2026,126.835
21/05/2026,121.571
20/05/2026,123.27
19/05/2026,127.597
18/05/2026,129.236
15/05/2026,129.663
14/05/2026,128.369
13/05/2026,129.551
12/05/2026,119.165
11/05/2026,126.126
08/05/2026,125.279
07/05/2026,118.471
06/05/2026,116.22
05/05/2026,125.81
04/05/2026,127.584
01/05/2026,125.907
30/04/2026,119.904
29/04/2026,128.443
28/04/2026,123.042
27/04/2026,123.583
24/04/2026,130.03
23/04/2026,126.437
22/04/2026,123.972
21/04/2026,124.091
20/04/2026,129.09
17/04/2026,130.071
16/04/2026,130.95
15/04/2026,129.635
14/04/2026,129.706
13/04/2026,123.181
10/04/2026,130.323
09/04/2026,128.914
08/04/2026,125.651
07/04/2026,135.427
06/04/2026,137.74
03/04/2026,139.984
02/04/2026,139.938
01/04/2026,137.205
31/03/2026,139.771
30/03/2026,144.371
27/03/2026,143.344
26/03/2026,137.103
25/03/2026,133.843
24/03/2026,135.971
23/03/2026,136.204
20/03/2026,145.094
19/03/2026,132.451
18/03/2026,136.259
17/03/2026,135.913
16/03/2026,136.506
13/03/2026,140.445
12/03/2026,136.204
11/03/2026,129.378
10/03/2026,131.172
09/03/2026,132.289
06/03/2026,136.382
05/03/2026,131.631
04/03/2026,129.753
03/03/2026,130.735
02/03/2026,131.136
27/02/2026,132.894
26/02/2026,128.689
25/02/2026,127.965
24/02/2026,128.225
23/02/2026,128.001
20/02/2026,127.226
19/02/2026,129.183
18/02/2026,129.303
17/02/2026,128.344
16/02/2026,128.981
13/02/2026,128.601
12/02/2026,130.601
11/02/2026,128.411
