DATES,EMBI
16/10/2015,169.0
15/10/2015,171.0
14/10/2015,172.0
13/10/2015,172.0
12/10/2015,172.0
09/10/2015,172.0
08/10/2015,172.0
07/10/2015,172.0
06/10/2015,179.0
05/10/2015,179.0
02/10/2015,179.0
01/10/2015,179.0
30/09/2015,179.0
29/09/2015,179.0
28/09/2015,173.0
25/09/2015,173.0
24/09/2015,173.0
23/09/2015,173.0
22/09/2015,173.0
18/09/2015,168.0
17/09/2015,172.0
16/09/2015,172.0
15/09/2015,172.0
14/09/2015,173.0
11/09/2015,173.0
10/09/2015,173.0
09/09/2015,173.0
08/09/2015,173.0
07/09/2015,173.0
04/09/2015,173.0
03/09/2015,173.0
02/09/2015,173.0
01/09/2015,171.0
28/08/2015,171.0
27/08/2015,171.0
26/08/2015,173.0
25/08/2015,174.0
24/08/2015,175.0
21/08/2015,175.0
20/08/2015,175.0
19/08/2015,171.0
18/08/2015,171.0
17/08/2015,171.0
14/08/2015,171.0
13/08/2015,171.0
12/08/2015,170.0
11/08/2015,170.0
10/08/2015,170.0
07/08/2015,170.0
06/08/2015,170.0
05/08/2015,170.0
04/08/2015,171.0
03/08/2015,171.0
31/07/2015,171.0
30/07/2015,171.0
29/07/2015,171.0
28/07/2015,171.0
27/07/2015,171.0
02/07/2015,180.0
01/07/2015,180.0
29/06/2015,180.0
26/06/2015,180.0
25/06/2015,180.0
24/06/2015,183.0
23/06/2015,183.0
22/06/2015,183.0
18/06/2015,183.0
17/06/2015,185.0
16/06/2015,185.0
15/06/2015,168.0
05/06/2015,168.0
04/06/2015,168.0
03/06/2015,168.0
02/06/2015,168.0
01/06/2015,168.0
27/05/2015,162.0
26/05/2015,162.0
21/05/2015,162.0
19/05/2015,163.0
18/05/2015,163.0
15/05/2015,163.0
13/05/2015,163.0
12/05/2015,163.0
11/05/2015,163.0
07/05/2015,163.0
05/05/2015,162.0
30/04/2015,162.0
29/04/2015,162.0
27/04/2015,162.0
22/04/2015,162.0
21/04/2015,162.0
17/04/2015,163.0
14/04/2015,163.0
10/04/2015,163.0
09/04/2015,163.0
08/04/2015,163.0
07/04/2015,165.0
02/04/2015,165.0
01/04/2015,165.0
31/03/2015,165.0
27/03/2015,165.0
26/03/2015,170.0
25/03/2015,170.0
24/03/2015,170.0
23/03/2015,170.0
20/03/2015,170.0
18/03/2015,166.0
17/03/2015,166.0
16/03/2015,166.0
13/03/2015,165.0
09/03/2015,165.0
06/03/2015,165.0
02/03/2015,177.0
27/02/2015,177.0
26/02/2015,177.0
25/02/2015,177.0
24/02/2015,180.0
23/02/2015,180.0
18/02/2015,180.0
17/02/2015,180.0
13/02/2015,180.0
11/02/2015,180.0
10/02/2015,180.0
06/02/2015,180.0
05/02/2015,185.0
03/02/2015,185.0
02/02/2015,191.0
30/01/2015,192.0
29/01/2015,192.0
23/01/2015,190.0
21/01/2015,195.0
20/01/2015,195.0
19/01/2015,195.0
15/01/2015,195.0
14/01/2015,197.0
08/01/2015,200.0
07/01/2015,196.0
06/01/2015,196.0
05/01/2015,193.0
22/12/2014,195.0
19/12/2014,195.0
17/12/2014,210.0
16/12/2014,210.0
15/12/2014,210.0
11/12/2014,148.0
10/12/2014,148.0
09/12/2014,145.0
08/12/2014,141.0
05/12/2014,141.0
04/12/2014,141.0
03/12/2014,141.0
02/12/2014,141.0
01/12/2014,143.0
28/11/2014,143.0
26/11/2014,143.0
25/11/2014,143.0
24/11/2014,143.0
21/11/2014,144.0
20/11/2014,144.0
19/11/2014,144.0
18/11/2014,144.0
17/11/2014,144.0
14/11/2014,144.0
13/11/2014,142.0
12/11/2014,142.0
11/11/2014,142.0
10/11/2014,142.0
07/11/2014,142.0
06/11/2014,142.0
05/11/2014,143.0
04/11/2014,143.0
03/11/2014,143.0
31/10/2014,143.0
29/10/2014,143.0
28/10/2014,143.0
27/10/2014,143.0
24/10/2014,142.0
23/10/2014,142.0
22/10/2014,142.0
21/10/2014,142.0
20/10/2014,142.0
17/10/2014,139.0
16/10/2014,139.0
15/10/2014,137.0
14/10/2014,137.0
13/10/2014,137.0
10/10/2014,137.0
09/10/2014,137.0
08/10/2014,136.0
07/10/2014,136.0
06/10/2014,136.0
02/10/2014,136.0
01/10/2014,136.0
30/09/2014,136.0
29/09/2014,134.0
25/09/2014,133.0
23/09/2014,133.0
22/09/2014,133.0
19/09/2014,132.0
18/09/2014,132.0
