DATES,EMBI
27/08/2026,40.626
26/08/2026,41.075
25/08/2026,41.221
24/08/2026,41.561
21/08/2026,41.475
20/08/2026,41.87
19/08/2026,41.767
18/08/2026,42.435
17/08/2026,41.564
14/08/2026,41.083
13/08/2026,41.346
12/08/2026,43.461
11/08/2026,43.985
10/08/2026,44.294
07/08/2026,44.751
06/08/2026,46.079
05/08/2026,46.278
04/08/2026,45.236
03/08/2026,45.996
31/07/2026,47.87
30/07/2026,47.195
29/07/2026,48.787
28/07/2026,48.01
27/07/2026,47.81
24/07/2026,47.694
23/07/2026,48.553
22/07/2026,46.455
21/07/2026,45.634
20/07/2026,46.516
17/07/2026,45.891
16/07/2026,44.75
15/07/2026,44.402
14/07/2026,43.913
13/07/2026,44.211
10/07/2026,43.757
09/07/2026,43.784
08/07/2026,43.438
07/07/2026,43.102
06/07/2026,42.436
03/07/2026,42.859
02/07/2026,42.411
01/07/2026,42.001
30/06/2026,42.718
29/06/2026,42.744
26/06/2026,42.757
25/06/2026,42.883
24/06/2026,42.744
23/06/2026,42.66
22/06/2026,41.895
19/06/2026,42.585
18/06/2026,42.454
17/06/2026,42.88
16/06/2026,41.391
15/06/2026,40.48
12/06/2026,42.491
11/06/2026,42.437
10/06/2026,44.657
09/06/2026,43.838
08/06/2026,44.308
05/06/2026,44.377
04/06/2026,43.023
03/06/2026,42.394
02/06/2026,41.247
01/06/2026,41.869
29/05/2026,41.706
28/05/2026,43.649
27/05/2026,44.058
26/05/2026,44.186
25/05/2026,50.94
22/05/2026,49.844
21/05/2026,45.032
20/05/2026,46.085
19/05/2026,48.308
18/05/2026,52.047
15/05/2026,52.02
14/05/2026,51.26
13/05/2026,50.774
12/05/2026,46.395
11/05/2026,50.616
08/05/2026,50.1
07/05/2026,46.444
06/05/2026,45.975
05/05/2026,50.88
04/05/2026,51.392
01/05/2026,50.287
30/04/2026,44.681
29/04/2026,49.43
28/04/2026,45.619
27/04/2026,45.239
24/04/2026,49.975
23/04/2026,45.463
22/04/2026,44.967
21/04/2026,45.7
20/04/2026,49.792
17/04/2026,50.249
16/04/2026,49.033
15/04/2026,47.95
14/04/2026,51.848
13/04/2026,47.93
10/04/2026,53.064
09/04/2026,51.863
08/04/2026,50.557
07/04/2026,58.657
06/04/2026,60.334
03/04/2026,61.149
02/04/2026,61.039
01/04/2026,62.194
31/03/2026,63.8
30/03/2026,63.847
27/03/2026,62.919
26/03/2026,59.037
25/03/2026,54.637
24/03/2026,55.515
23/03/2026,54.762
20/03/2026,56.298
19/03/2026,51.387
18/03/2026,52.593
17/03/2026,51.192
16/03/2026,53.409
13/03/2026,54.597
12/03/2026,52.91
11/03/2026,50.246
10/03/2026,49.298
09/03/2026,51.976
06/03/2026,51.743
05/03/2026,48.892
04/03/2026,47.61
03/03/2026,47.548
02/03/2026,46.612
27/02/2026,46.056
26/02/2026,44.077
25/02/2026,43.403
24/02/2026,43.198
23/02/2026,42.952
20/02/2026,42.626
19/02/2026,43.275
18/02/2026,42.156
17/02/2026,41.584
16/02/2026,41.313
13/02/2026,41.525
12/02/2026,41.249
11/02/2026,40.532
10/02/2026,40.496
09/02/2026,39.881
06/02/2026,39.794
05/02/2026,41.858
04/02/2026,40.6
03/02/2026,39.99
02/02/2026,39.003
30/01/2026,39.847
29/01/2026,39.138
28/01/2026,39.23
27/01/2026,39.14
26/01/2026,39.528
23/01/2026,39.712
22/01/2026,39.877
21/01/2026,40.273
20/01/2026,41.288
19/01/2026,41.256
16/01/2026,41.218
15/01/2026,41.326
14/01/2026,40.948
13/01/2026,41.562
12/01/2026,42.04
09/01/2026,42.432
08/01/2026,42.542
07/01/2026,43.436
06/01/2026,42.182
05/01/2026,43.038
02/01/2026,43.042
01/01/2026,43.123
31/12/2025,42.705
30/12/2025,42.883
29/12/2025,42.794
26/12/2025,42.581
25/12/2025,43.535
24/12/2025,43.219
23/12/2025,43.196
22/12/2025,43.14
19/12/2025,43.151
18/12/2025,43.674
17/12/2025,43.838
16/12/2025,43.807
15/12/2025,43.401
12/12/2025,43.979
11/12/2025,44.132
10/12/2025,44.019
09/12/2025,45.925
08/12/2025,45.932
05/12/2025,46.152
04/12/2025,46.864
03/12/2025,44.068
02/12/2025,45.665
01/12/2025,45.918
28/11/2025,47.005
27/11/2025,48.185
26/11/2025,47.904
25/11/2025,48.596
24/11/2025,51.368
21/11/2025,52.802
20/11/2025,53.618
19/11/2025,52.403
18/11/2025,52.586
17/11/2025,53.207
14/11/2025,54.868
13/11/2025,55.011
12/11/2025,54.955
11/11/2025,54.557
10/11/2025,55.141
07/11/2025,57.255
06/11/2025,57.194
05/11/2025,54.954
04/11/2025,54.844
03/11/2025,53.025
31/10/2025,52.561
30/10/2025,52.317
29/10/2025,52.038
28/10/2025,49.681
27/10/2025,48.247
24/10/2025,50.701
23/10/2025,51.993
22/10/2025,52.125
21/10/2025,51.124
20/10/2025,51.699
17/10/2025,55.362
16/10/2025,56.255
15/10/2025,53.828
14/10/2025,56.196
13/10/2025,58.152
10/10/2025,57.712
09/10/2025,53.13
08/10/2025,51.838
07/10/2025,51.423
06/10/2025,50.967
03/10/2025,51.134
02/10/2025,51.803
01/10/2025,51.125
30/09/2025,51.123
29/09/2025,51.005
26/09/2025,51.527
25/09/2025,51.559
24/09/2025,49.841
23/09/2025,49.862
22/09/2025,50.355
19/09/2025,46.412
18/09/2025,46.861
17/09/2025,47.186
16/09/2025,46.741
15/09/2025,45.349
12/09/2025,46.047
11/09/2025,45.29
10/09/2025,46.118
09/09/2025,46.552
08/09/2025,48.255
05/09/2025,49.121
04/09/2025,50.319
03/09/2025,51.578
02/09/2025,51.852
01/09/2025,51.184
29/08/2025,51.029
28/08/2025,50.885
27/08/2025,51.546
26/08/2025,51.851
25/08/2025,51.95
22/08/2025,51.832
21/08/2025,53.103
20/08/2025,51.329
19/08/2025,50.823
18/08/2025,50.832
15/08/2025,50.932
14/08/2025,50.911
13/08/2025,50.807
12/08/2025,51.341
11/08/2025,52.985
08/08/2025,54.355
07/08/2025,54.463
06/08/2025,54.969
05/08/2025,56.016
04/08/2025,56.102
01/08/2025,55.92
31/07/2025,54.911
30/07/2025,54.985
29/07/2025,54.754
28/07/2025,55.032
25/07/2025,54.743
24/07/2025,54.157
23/07/2025,54.572
22/07/2025,55.97
21/07/2025,55.014
18/07/2025,55.61
17/07/2025,55.423
16/07/2025,55.772
15/07/2025,54.624
14/07/2025,54.127
11/07/2025,54.151
10/07/2025,52.69
09/07/2025,52.925
08/07/2025,54.437
07/07/2025,53.892
04/07/2025,51.259
03/07/2025,52.235
02/07/2025,52.414
01/07/2025,52.757
30/06/2025,53.664
27/06/2025,54.929
26/06/2025,54.766
25/06/2025,54.867
24/06/2025,53.924
23/06/2025,55.095
20/06/2025,55.553
19/06/2025,55.85
18/06/2025,55.71
17/06/2025,54.439
16/06/2025,53.805
13/06/2025,54.822
12/06/2025,53.999
11/06/2025,54.075
10/06/2025,54.715
09/06/2025,55.46
06/06/2025,57.538
05/06/2025,58.641
04/06/2025,57.713
03/06/2025,57.424
02/06/2025,58.289
30/05/2025,59.177
29/05/2025,58.108
28/05/2025,57.917
27/05/2025,57.767
26/05/2025,59.181
23/05/2025,58.576
22/05/2025,57.628
21/05/2025,57.519
20/05/2025,56.237
19/05/2025,56.424
16/05/2025,56.629
15/05/2025,56.696
14/05/2025,56.487
13/05/2025,55.163
12/05/2025,60.743
09/05/2025,67.583
08/05/2025,68.127
07/05/2025,68.805
06/05/2025,68.968
05/05/2025,69.974
02/05/2025,70.106
01/05/2025,71.005
30/04/2025,69.334
29/04/2025,68.527
28/04/2025,69.292
25/04/2025,69.094
24/04/2025,71.571
23/04/2025,77.119
22/04/2025,79.761
21/04/2025,79.327
18/04/2025,77.279
17/04/2025,78.466
16/04/2025,78.789
15/04/2025,76.741
14/04/2025,75.95
11/04/2025,78.474
10/04/2025,80.728
09/04/2025,67.912
08/04/2025,83.07
07/04/2025,79.964
04/04/2025,72.721
03/04/2025,63.04
02/04/2025,60.32
01/04/2025,59.86
31/03/2025,60.342
28/03/2025,60.461
27/03/2025,59.113
26/03/2025,59.32
25/03/2025,58.162
24/03/2025,59.765
21/03/2025,64.334
20/03/2025,62.347
19/03/2025,56.396
18/03/2025,57.174
17/03/2025,56.694
14/03/2025,57.202
13/03/2025,57.674
12/03/2025,56.16
11/03/2025,56.251
10/03/2025,56.537
07/03/2025,54.551
06/03/2025,54.597
05/03/2025,53.23
04/03/2025,53.893
03/03/2025,56.44
28/02/2025,55.996
27/02/2025,56.352
26/02/2025,55.523
25/02/2025,56.275
24/02/2025,56.658
21/02/2025,55.774
20/02/2025,53.062
19/02/2025,52.782
18/02/2025,52.259
17/02/2025,53.715
14/02/2025,54.521
13/02/2025,52.941
12/02/2025,55.018
11/02/2025,55.589
10/02/2025,57.654
07/02/2025,59.009
06/02/2025,59.529
05/02/2025,59.798
04/02/2025,59.965
03/02/2025,60.673
31/01/2025,60.293
30/01/2025,59.594
29/01/2025,59.496
28/01/2025,59.307
27/01/2025,59.664
24/01/2025,58.675
23/01/2025,58.75
22/01/2025,58.79
21/01/2025,60.053
20/01/2025,61.304
17/01/2025,61.942
16/01/2025,62.217
15/01/2025,62.577
14/01/2025,63.309
13/01/2025,63.712
10/01/2025,66.264
09/01/2025,63.033
08/01/2025,63.112
07/01/2025,62.44
06/01/2025,62.16
03/01/2025,62.327
02/01/2025,62.64
01/01/2025,64.609
31/12/2024,62.907
30/12/2024,62.834
27/12/2024,61.687
26/12/2024,60.301
25/12/2024,59.854
24/12/2024,59.813
23/12/2024,59.555
20/12/2024,58.399
19/12/2024,59.622
18/12/2024,59.687
