DATES,EMBI
27/08/2026,35.191
26/08/2026,35.385
25/08/2026,35.223
24/08/2026,35.013
21/08/2026,35.487
20/08/2026,35.561
19/08/2026,36.07
18/08/2026,36.299
17/08/2026,36.168
14/08/2026,36.31
13/08/2026,36.427
12/08/2026,36.706
11/08/2026,37.021
10/08/2026,37.05
07/08/2026,37.344
06/08/2026,37.297
05/08/2026,37.093
04/08/2026,37.396
03/08/2026,37.652
31/07/2026,38.093
30/07/2026,38.654
29/07/2026,38.615
28/07/2026,38.135
27/07/2026,37.957
24/07/2026,38.265
23/07/2026,38.008
22/07/2026,37.761
21/07/2026,37.335
20/07/2026,37.527
17/07/2026,37.729
16/07/2026,37.25
15/07/2026,37.222
14/07/2026,37.181
13/07/2026,36.776
10/07/2026,36.493
09/07/2026,36.928
08/07/2026,37.214
07/07/2026,36.876
06/07/2026,36.681
03/07/2026,37.213
02/07/2026,37.193
01/07/2026,37.326
30/06/2026,37.27
29/06/2026,37.435
26/06/2026,37.618
25/06/2026,37.696
24/06/2026,37.961
23/06/2026,38.142
22/06/2026,38.194
19/06/2026,38.159
18/06/2026,38.198
17/06/2026,39.184
16/06/2026,39.461
15/06/2026,39.046
12/06/2026,39.728
11/06/2026,39.849
10/06/2026,40.092
09/06/2026,40.065
08/06/2026,40.917
05/06/2026,40.518
04/06/2026,40.137
03/06/2026,40.542
02/06/2026,39.821
01/06/2026,39.89
29/05/2026,39.92
28/05/2026,40.122
27/05/2026,39.65
26/05/2026,39.886
25/05/2026,39.986
22/05/2026,40.018
21/05/2026,40.829
20/05/2026,42.334
19/05/2026,42.782
18/05/2026,42.605
15/05/2026,42.428
14/05/2026,41.249
13/05/2026,41.455
12/05/2026,41.31
11/05/2026,41.328
08/05/2026,41.699
07/05/2026,41.58
06/05/2026,42.006
05/05/2026,43.154
04/05/2026,43.483
01/05/2026,44.046
30/04/2026,44.14
29/04/2026,43.448
28/04/2026,43.573
27/04/2026,44.379
24/04/2026,45.01
23/04/2026,44.858
22/04/2026,43.385
21/04/2026,42.761
20/04/2026,42.336
17/04/2026,42.598
16/04/2026,43.463
15/04/2026,43.202
14/04/2026,42.56
13/04/2026,43.334
10/04/2026,45.238
09/04/2026,45.344
08/04/2026,45.025
07/04/2026,50.002
06/04/2026,50.622
03/04/2026,51.208
02/04/2026,50.912
01/04/2026,49.827
31/03/2026,52.701
30/03/2026,54.524
27/03/2026,53.933
26/03/2026,51.728
25/03/2026,47.87
24/03/2026,50.441
23/03/2026,50.874
20/03/2026,52.024
19/03/2026,46.633
18/03/2026,47.145
17/03/2026,46.429
16/03/2026,48.199
13/03/2026,49.122
12/03/2026,48.538
11/03/2026,46.755
10/03/2026,44.983
09/03/2026,46.876
06/03/2026,46.328
05/03/2026,44.502
04/03/2026,45.737
03/03/2026,46.587
02/03/2026,45.937
27/02/2026,45.099
26/02/2026,43.226
25/02/2026,42.89
24/02/2026,43.313
23/02/2026,42.443
20/02/2026,42.834
19/02/2026,43.561
18/02/2026,43.413
17/02/2026,43.744
16/02/2026,43.301
13/02/2026,43.389
12/02/2026,42.678
11/02/2026,42.123
10/02/2026,41.935
09/02/2026,42.398
06/02/2026,43.295
05/02/2026,43.35
04/02/2026,43.124
03/02/2026,43.301
02/02/2026,43.895
