DATES,EMBI
27/08/2026,133.877
26/08/2026,135.578
25/08/2026,135.947
24/08/2026,137.629
21/08/2026,138.115
20/08/2026,139.341
19/08/2026,139.765
18/08/2026,141.331
17/08/2026,140.157
14/08/2026,139.058
13/08/2026,140.518
12/08/2026,143.06
11/08/2026,143.825
10/08/2026,143.006
07/08/2026,142.872
06/08/2026,142.736
05/08/2026,141.005
04/08/2026,140.425
03/08/2026,142.223
31/07/2026,145.353
30/07/2026,146.644
29/07/2026,150.153
28/07/2026,147.257
27/07/2026,148.072
24/07/2026,146.993
23/07/2026,149.532
22/07/2026,143.515
21/07/2026,143.351
20/07/2026,144.24
17/07/2026,144.016
16/07/2026,139.843
15/07/2026,139.315
14/07/2026,139.956
13/07/2026,142.683
10/07/2026,150.291
09/07/2026,150.261
08/07/2026,142.813
07/07/2026,150.374
06/07/2026,148.48
03/07/2026,151.548
02/07/2026,142.373
01/07/2026,143.097
30/06/2026,152.181
29/06/2026,153.943
26/06/2026,154.489
25/06/2026,154.332
24/06/2026,146.838
23/06/2026,148.022
22/06/2026,145.33
19/06/2026,155.33
18/06/2026,154.728
17/06/2026,149.287
16/06/2026,146.402
15/06/2026,146.021
12/06/2026,152.801
11/06/2026,154.387
10/06/2026,167.327
09/06/2026,166.296
08/06/2026,167.201
05/06/2026,167.929
04/06/2026,165.399
03/06/2026,172.021
02/06/2026,172.269
01/06/2026,179.29
29/05/2026,215.222
28/05/2026,213.274
27/05/2026,213.943
26/05/2026,213.65
25/05/2026,220.916
22/05/2026,220.044
21/05/2026,222.355
20/05/2026,230.157
19/05/2026,232.318
18/05/2026,228.461
15/05/2026,230.141
14/05/2026,227.742
13/05/2026,224.978
12/05/2026,219.47
11/05/2026,219.86
08/05/2026,218.68
07/05/2026,214.255
06/05/2026,212.178
05/05/2026,218.035
04/05/2026,218.809
01/05/2026,214.966
30/04/2026,206.881
29/04/2026,213.611
28/04/2026,210.607
27/04/2026,203.071
24/04/2026,210.408
23/04/2026,199.047
22/04/2026,195.562
21/04/2026,193.321
20/04/2026,200.029
17/04/2026,198.514
16/04/2026,189.754
15/04/2026,186.312
14/04/2026,202.174
13/04/2026,195.02
10/04/2026,209.401
09/04/2026,210.886
08/04/2026,208.969
07/04/2026,224.223
06/04/2026,228.07
03/04/2026,229.301
02/04/2026,229.394
01/04/2026,227.442
31/03/2026,231.341
30/03/2026,231.394
27/03/2026,227.278
26/03/2026,221.319
25/03/2026,215.369
24/03/2026,217.663
23/03/2026,217.917
20/03/2026,224.429
19/03/2026,211.344
18/03/2026,212.646
17/03/2026,209.507
16/03/2026,213.461
13/03/2026,217.024
12/03/2026,217.223
11/03/2026,212.395
10/03/2026,220.29
09/03/2026,224.071
06/03/2026,237.835
05/03/2026,232.807
04/03/2026,228.186
03/03/2026,231.721
02/03/2026,231.352
27/02/2026,231.384
26/02/2026,216.818
25/02/2026,208.893
24/02/2026,206.28
23/02/2026,205.064
20/02/2026,203.823
19/02/2026,204.579
18/02/2026,202.932
17/02/2026,200.354
16/02/2026,198.893
13/02/2026,197.931
12/02/2026,198.755
11/02/2026,198.26
10/02/2026,197.493
09/02/2026,196.555
06/02/2026,198.669
05/02/2026,201.543
04/02/2026,198.745
03/02/2026,204.207
02/02/2026,204.694
30/01/2026,204.89
29/01/2026,204.492
28/01/2026,207.608
27/01/2026,206.125
26/01/2026,205.942
23/01/2026,202.575
22/01/2026,202.56
21/01/2026,201.95
20/01/2026,203.666
19/01/2026,202.178
16/01/2026,202.546
15/01/2026,203.333
14/01/2026,205.848
13/01/2026,210.054
12/01/2026,208.857
09/01/2026,211.819
08/01/2026,213.824
07/01/2026,214.506
06/01/2026,210.84
05/01/2026,213.374
02/01/2026,213.35
01/01/2026,209.149
31/12/2025,209.8
30/12/2025,209.338
29/12/2025,199.755
26/12/2025,198.211
25/12/2025,205.492
24/12/2025,203.795
23/12/2025,203.481
22/12/2025,203.354
19/12/2025,201.596
18/12/2025,213.276
17/12/2025,214.866
16/12/2025,210.89
15/12/2025,208.719
12/12/2025,208.245
11/12/2025,210.076
10/12/2025,210.939
09/12/2025,212.575
08/12/2025,208.237
05/12/2025,205.274
04/12/2025,203.958
03/12/2025,199.792
02/12/2025,202.601
01/12/2025,202.541
28/11/2025,203.207
27/11/2025,206.327
26/11/2025,207.036
25/11/2025,212.165
24/11/2025,207.061
21/11/2025,202.819
20/11/2025,202.53
19/11/2025,198.84
18/11/2025,196.237
17/11/2025,192.142
14/11/2025,187.391
13/11/2025,184.483
12/11/2025,183.466
11/11/2025,182.559
10/11/2025,184.126
07/11/2025,188.628
06/11/2025,190.891
05/11/2025,192.05
04/11/2025,193.318
03/11/2025,191.683
31/10/2025,192.093
30/10/2025,192.725
29/10/2025,191.566
28/10/2025,189.414
27/10/2025,189.719
24/10/2025,192.217
23/10/2025,194.608
22/10/2025,198.647
21/10/2025,197.404
20/10/2025,203.126
17/10/2025,203.393
16/10/2025,208.88
15/10/2025,206.863
14/10/2025,208.56
13/10/2025,212.758
10/10/2025,208.474
09/10/2025,193.78
08/10/2025,191.243
07/10/2025,191.936
06/10/2025,191.779
03/10/2025,192.465
02/10/2025,193.551
01/10/2025,193.86
30/09/2025,193.091
29/09/2025,191.845
26/09/2025,190.034
25/09/2025,188.046
24/09/2025,185.036
23/09/2025,185.166
22/09/2025,185.927
19/09/2025,169.973
18/09/2025,170.159
17/09/2025,171.269
16/09/2025,170.316
15/09/2025,169.005
12/09/2025,169.19
11/09/2025,166.958
10/09/2025,169.981
09/09/2025,176.306
08/09/2025,183.028
05/09/2025,183.416
04/09/2025,188.353
03/09/2025,194.001
02/09/2025,195.108
01/09/2025,193.302
29/08/2025,193.195
28/08/2025,192.876
27/08/2025,197.999
26/08/2025,195.693
25/08/2025,194.022
22/08/2025,193.752
21/08/2025,196.399
20/08/2025,194.683
19/08/2025,193.246
18/08/2025,192.583
15/08/2025,191.056
14/08/2025,190.221
13/08/2025,189.931
12/08/2025,191.782
11/08/2025,198.994
08/08/2025,207.233
07/08/2025,204.493
06/08/2025,208.085
05/08/2025,208.019
04/08/2025,208.512
01/08/2025,211.121
31/07/2025,207.485
30/07/2025,205.861
29/07/2025,200.277
28/07/2025,198.105
25/07/2025,197.917
24/07/2025,196.251
23/07/2025,197.745
22/07/2025,204.696
21/07/2025,207.451
18/07/2025,210.358
17/07/2025,212.573
16/07/2025,215.315
15/07/2025,214.891
14/07/2025,218.283
11/07/2025,218.188
10/07/2025,216.665
09/07/2025,216.298
08/07/2025,219.58
07/07/2025,216.368
04/07/2025,204.105
03/07/2025,212.848
02/07/2025,216.724
01/07/2025,220.364
30/06/2025,223.29
27/06/2025,226.323
26/06/2025,225.217
25/06/2025,224.397
24/06/2025,221.489
23/06/2025,224.672
20/06/2025,225.874
19/06/2025,226.484
18/06/2025,226.86
17/06/2025,224.725
16/06/2025,223.028
13/06/2025,227.674
12/06/2025,227.445
11/06/2025,228.78
10/06/2025,231.992
09/06/2025,235.233
06/06/2025,232.447
05/06/2025,227.016
04/06/2025,223.358
03/06/2025,223.807
02/06/2025,228.055
30/05/2025,231.265
29/05/2025,228.894
28/05/2025,228.611
27/05/2025,228.237
26/05/2025,230.539
23/05/2025,229.483
22/05/2025,227.676
21/05/2025,227.049
20/05/2025,225.222
19/05/2025,225.445
16/05/2025,226.578
15/05/2025,227.111
14/05/2025,227.262
13/05/2025,231.711
12/05/2025,234.567
09/05/2025,263.43
08/05/2025,264.07
07/05/2025,266.704
06/05/2025,267.662
05/05/2025,271.263
02/05/2025,270.085
01/05/2025,270.584
30/04/2025,267.169
29/04/2025,267.121
28/04/2025,268.593
25/04/2025,265.73
24/04/2025,271.636
23/04/2025,277.716
22/04/2025,285.346
21/04/2025,281.566
18/04/2025,275.675
17/04/2025,283.426
16/04/2025,279.989
15/04/2025,268.949
14/04/2025,263.703
11/04/2025,269.841
10/04/2025,262.108
09/04/2025,243.846
08/04/2025,283.507
07/04/2025,274.412
04/04/2025,263.467
03/04/2025,229.866
02/04/2025,222.574
01/04/2025,224.983
31/03/2025,227.32
28/03/2025,223.476
27/03/2025,220.894
26/03/2025,220.243
25/03/2025,217.186
24/03/2025,218.355
21/03/2025,225.221
20/03/2025,216.424
19/03/2025,197.448
18/03/2025,201.914
17/03/2025,199.284
14/03/2025,201.318
13/03/2025,202.796
12/03/2025,200.132
11/03/2025,202.169
10/03/2025,201.734
07/03/2025,197.663
06/03/2025,197.96
05/03/2025,195.498
04/03/2025,194.174
03/03/2025,196.079
28/02/2025,194.418
27/02/2025,194.223
26/02/2025,191.83
25/02/2025,193.874
24/02/2025,195.859
21/02/2025,192.72
20/02/2025,186.21
19/02/2025,181.715
18/02/2025,180.587
17/02/2025,180.203
14/02/2025,182.22
13/02/2025,183.631
12/02/2025,188.27
11/02/2025,192.061
10/02/2025,195.668
07/02/2025,197.291
06/02/2025,199.265
05/02/2025,200.574
04/02/2025,201.832
03/02/2025,202.949
31/01/2025,203.11
30/01/2025,199.264
29/01/2025,199.676
28/01/2025,200.077
27/01/2025,197.615
24/01/2025,193.696
23/01/2025,194.805
22/01/2025,195.4
21/01/2025,197.542
20/01/2025,198.275
17/01/2025,198.533
16/01/2025,198.974
15/01/2025,197.312
14/01/2025,202.14
13/01/2025,204.727
10/01/2025,207.544
09/01/2025,205.099
08/01/2025,205.515
07/01/2025,204.751
06/01/2025,205.757
03/01/2025,207.584
02/01/2025,210.151
01/01/2025,217.409
31/12/2024,212.437
30/12/2024,211.027
27/12/2024,208.701
26/12/2024,206.325
25/12/2024,205.952
24/12/2024,205.454
23/12/2024,205.381
20/12/2024,201.146
19/12/2024,202.974
18/12/2024,202.358
17/12/2024,193.078
16/12/2024,192.496
13/12/2024,191.026
12/12/2024,189.844
11/12/2024,191.035
10/12/2024,192.867
09/12/2024,192.502
06/12/2024,192.58
05/12/2024,196.679
04/12/2024,200.277
03/12/2024,196.522
02/12/2024,195.816
29/11/2024,196.647
28/11/2024,199.473
27/11/2024,199.653
26/11/2024,200.123
25/11/2024,200.568
22/11/2024,203.172
21/11/2024,201.852
20/11/2024,202.416
19/11/2024,205.287
18/11/2024,209.891
15/11/2024,205.268
14/11/2024,202.09
13/11/2024,200.179
12/11/2024,199.412
11/11/2024,194.973
08/11/2024,195.486
07/11/2024,204.953
06/11/2024,213.224
05/11/2024,222.739
04/11/2024,225.483
01/11/2024,217.63
31/10/2024,211.954
30/10/2024,207.705
29/10/2024,202.901
28/10/2024,201.857
25/10/2024,198.14
24/10/2024,196.442
23/10/2024,196.722
22/10/2024,192.956
21/10/2024,190.586
18/10/2024,189.75
17/10/2024,189.947
16/10/2024,188.885
15/10/2024,189.499
14/10/2024,191.162
11/10/2024,189.535
10/10/2024,193.11
09/10/2024,190.713
08/10/2024,187.692
07/10/2024,189.619
04/10/2024,189.739
03/10/2024,193.13
02/10/2024,196.945
01/10/2024,200.091
30/09/2024,200.791
27/09/2024,201.021
26/09/2024,199.979
25/09/2024,200.957
24/09/2024,197.041
23/09/2024,199.118
20/09/2024,197.012
19/09/2024,178.167
18/09/2024,185.897
17/09/2024,188.802
16/09/2024,191.399
13/09/2024,192.849
12/09/2024,192.662
11/09/2024,194.21
10/09/2024,195.269
09/09/2024,192.125
06/09/2024,193.725
05/09/2024,192.476
04/09/2024,190.758
03/09/2024,186.275
02/09/2024,181.804
30/08/2024,180.702
29/08/2024,178.297
28/08/2024,175.84
27/08/2024,172.828
26/08/2024,171.912
23/08/2024,172.712
22/08/2024,175.619
21/08/2024,174.954
20/08/2024,176.176
19/08/2024,175.416
16/08/2024,184.84
15/08/2024,189.591
14/08/2024,195.431
13/08/2024,198.107
12/08/2024,201.542
09/08/2024,201.615
08/08/2024,203.918
07/08/2024,209.464
06/08/2024,210.764
05/08/2024,208.116
02/08/2024,200.595
01/08/2024,191.331
31/07/2024,187.958
30/07/2024,188.366
29/07/2024,186.477
26/07/2024,186.302
25/07/2024,189.387
24/07/2024,189.91
23/07/2024,184.564
22/07/2024,185.738
19/07/2024,188.161
18/07/2024,185.413
17/07/2024,180.181
16/07/2024,177.267
15/07/2024,176.814
12/07/2024,176.425
11/07/2024,178.442
10/07/2024,178.552
09/07/2024,182.348
08/07/2024,182.019
05/07/2024,184.875
04/07/2024,188.212
03/07/2024,189.518
02/07/2024,194.868
01/07/2024,196.68
28/06/2024,197.175
27/06/2024,197.897
26/06/2024,197.431
25/06/2024,196.386
24/06/2024,200.822
21/06/2024,204.344
20/06/2024,200.907
19/06/2024,197.425
18/06/2024,198.487
17/06/2024,200.316
14/06/2024,196.062
13/06/2024,191.199
12/06/2024,185.417
11/06/2024,185.011
10/06/2024,184.819
07/06/2024,187.058
06/06/2024,190.994
05/06/2024,189.651
04/06/2024,190.93
03/06/2024,190.313
31/05/2024,192.324
30/05/2024,193.504
29/05/2024,194.678
28/05/2024,193.918
