DATES,EMBI
27/08/2026,263.498
26/08/2026,267.221
25/08/2026,268.59
24/08/2026,271.461
21/08/2026,270.433
20/08/2026,271.537
19/08/2026,268.165
18/08/2026,269.33
17/08/2026,265.765
14/08/2026,265.416
13/08/2026,269.727
12/08/2026,273.111
11/08/2026,275.109
10/08/2026,271.353
07/08/2026,271.021
06/08/2026,274.455
05/08/2026,275.714
04/08/2026,277.285
03/08/2026,284.909
31/07/2026,295.356
30/07/2026,296.774
29/07/2026,298.308
28/07/2026,293.515
27/07/2026,301.305
24/07/2026,308.882
23/07/2026,308.421
22/07/2026,299.976
21/07/2026,295.25
20/07/2026,295.138
17/07/2026,293.315
16/07/2026,284.918
15/07/2026,283.88
14/07/2026,283.38
13/07/2026,284.556
10/07/2026,275.407
09/07/2026,277.926
08/07/2026,282.373
07/07/2026,270.766
06/07/2026,267.484
03/07/2026,273.63
02/07/2026,275.655
01/07/2026,276.903
30/06/2026,280.69
29/06/2026,280.539
26/06/2026,281.466
25/06/2026,278.144
24/06/2026,281.767
23/06/2026,282.634
22/06/2026,277.034
19/06/2026,276.707
18/06/2026,276.079
17/06/2026,274.969
16/06/2026,273.112
15/06/2026,274.144
12/06/2026,291.092
11/06/2026,306.223
10/06/2026,303.65
09/06/2026,303.066
08/06/2026,307.098
05/06/2026,307.214
04/06/2026,303.129
03/06/2026,305.442
02/06/2026,300.48
01/06/2026,306.145
29/05/2026,296.969
28/05/2026,304.581
27/05/2026,306.733
26/05/2026,317.48
22/05/2026,324.237
21/05/2026,331.549
20/05/2026,329.718
19/05/2026,340.673
18/05/2026,337.027
15/05/2026,336.772
14/05/2026,322.156
13/05/2026,322.072
12/05/2026,326.637
11/05/2026,311.911
08/05/2026,310.265
07/05/2026,305.405
06/05/2026,316.642
05/05/2026,345.464
04/05/2026,345.463
01/05/2026,344.972
30/04/2026,349.059
29/04/2026,349.079
28/04/2026,341.318
27/04/2026,334.958
24/04/2026,334.068
23/04/2026,332.094
22/04/2026,327.835
21/04/2026,324.84
20/04/2026,313.002
17/04/2026,310.799
16/04/2026,325.876
15/04/2026,318.539
14/04/2026,315.919
13/04/2026,336.313
10/04/2026,335.081
09/04/2026,336.413
08/04/2026,353.936
07/04/2026,403.494
06/04/2026,404.315
03/04/2026,404.314
02/04/2026,400.998
01/04/2026,393.862
31/03/2026,416.603
30/03/2026,430.824
27/03/2026,406.748
26/03/2026,394.773
25/03/2026,373.641
24/03/2026,393.367
23/03/2026,401.171
20/03/2026,421.692
19/03/2026,398.493
18/03/2026,386.529
17/03/2026,376.868
16/03/2026,391.537
13/03/2026,384.41
12/03/2026,370.637
11/03/2026,348.128
10/03/2026,332.442
09/03/2026,368.367
06/03/2026,353.148
05/03/2026,327.49
04/03/2026,316.109
03/03/2026,346.194
02/03/2026,331.871
27/02/2026,327.134
26/02/2026,315.496
25/02/2026,305.434
