quarter,net_income,net_rev,prof_margin_system
2010Q1,473.1757,1300.8661,0.36373897359612956
2010Q2,528.3808,1496.4712,0.35308450974532624
2010Q3,495.0655,1602.009,0.3090279143250756
2010Q4,392.7397,1482.6442,0.26489140145693757
2011Q1,604.4654,1798.8189,0.3360346058182956
2011Q2,307.944,1654.5268,0.18612209847552785
2011Q3,442.8514,1698.0452,0.2608007136676927
2011Q4,314.3012,1668.4204,0.18838249640198598
2012Q1,549.6417,1892.0321,0.29050336936672483
2012Q2,505.0587,2009.7708,0.2513016409632382
2012Q3,523.0811,2273.1787,0.23010997771534636
2012Q4,610.4346,2575.9098,0.23697825133473233
2013Q1,587.606,2614.8571,0.22471820735442866
2013Q2,657.5922,2642.2287,0.24887785073260313
2013Q3,671.2487,3025.7162,0.22184787191872127
2013Q4,920.3611,3014.1323,0.3053486072923872
2014Q1,757.2855,3076.4627,0.24615461776929717
2014Q2,805.2249,3129.5654,0.25729607695688356
2014Q3,932.098,3485.121,0.2674506853564051
2014Q4,971.644,3643.363,0.2666887707867704
2015Q1,1032.489,3676.176,0.28085951271103454
2015Q2,1108.166,4073.108,0.27206889677366763
2015Q3,1147.532,4144.458,0.2768834911585544
2015Q4,1327.657,4506.489,0.2946100611806664
2016Q1,1145.621,4955.907,0.23116273166546508
2016Q2,1291.554,4783.871,0.2699809422118615
2016Q3,1463.997,5187.319,0.2822261364685688
2016Q4,1702.635,5616.172,0.30316646285049675
2017Q1,1550.932,6846.27,0.22653678572419725
2017Q2,1733.385,7423.575,0.23349733787292512
2017Q3,1827.916,7748.897,0.23589370203268928
2017Q4,2086.777,8797.695,0.23719587914789045
2018Q1,1867.477,8987.049,0.2077964635555008
2018Q2,2021.347,9306.567,0.21719577154497466
2018Q3,2403.065,10066.591,0.2387168605538856
2018Q4,2594.729,11413.812,0.22733237589685198
2019Q1,2562.853,11536.456,0.22215253974010737
2019Q2,2641.607,11389.904,0.23192530858908028
2019Q3,2710.513,11375.331,0.23827992345893054
2019Q4,3183.094,12279.529,0.2592195514990844
2020Q1,3263.401,12200.06,0.2674905697185096
2020Q2,2398.521,11957.239,0.20059154124125145
2020Q3,2599.284,11479.818,0.2264220565169239
2020Q4,2348.587,11381.401,0.20635306672702244
2021Q1,2891.765,11816.679,0.24471892652749558
2021Q2,2873.044,11572.436,0.24826613860729063
2021Q3,3216.826,12190.099,0.26388842289139736
2021Q4,3812.4,13024.03,0.29272045595718066
2022Q1,3394.914,13725.037,0.2473519014921417
2022Q2,4244.231,15020.213,0.28256796358347247
2022Q3,3511.128,13838.57,0.25372043498714103
2022Q4,4408.46,16573.38,0.26599643524736655
2023Q1,3941.131,19810.883,0.19893767481237457
2023Q2,6064.947,23784.048,0.25500062058401496
2023Q3,7987.642,27964.82,0.28563180453155074
2023Q4,8353.174,31215.414,0.2675977323254467
2024Q1,7228.779,34512.78,0.2094522376928199
2024Q2,11924.434,55765.794,0.2138306145161315
2024Q3,15622.536,49575.535,0.3151259184595789
2024Q4,14800.973,53575.995,0.27626128082175605
2025Q1,12848.451,57758.477,0.22245134683866402
2025Q2,16631.775,57187.501,0.2908288473734847
2025Q3,16713.915,57327.013,0.2915539136846359
2025Q4,28754.005,57536.469,0.49975268729125527
2026Q1,20139.157,58377.982,0.34497864280406265
2026Q2,17822.085,58376.444,0.30529583131168453
2026Q3,21491.374,64421.282,0.3336067419459302
