DATES,EMBI
27/08/2026,84.285
26/08/2026,83.938
25/08/2026,83.7
24/08/2026,84.141
21/08/2026,84.502
20/08/2026,84.551
19/08/2026,84.947
18/08/2026,84.798
17/08/2026,84.21
14/08/2026,84.275
13/08/2026,86.27
12/08/2026,88.105
11/08/2026,88.989
10/08/2026,88.855
07/08/2026,90.381
06/08/2026,90.062
05/08/2026,89.918
04/08/2026,91.433
03/08/2026,92.765
31/07/2026,93.601
30/07/2026,95.651
29/07/2026,94.785
28/07/2026,93.92
27/07/2026,92.351
24/07/2026,93.888
23/07/2026,93.279
22/07/2026,91.893
21/07/2026,91.188
20/07/2026,91.891
17/07/2026,91.938
16/07/2026,90.659
15/07/2026,90.516
14/07/2026,90.475
13/07/2026,88.887
10/07/2026,90.888
09/07/2026,91.484
08/07/2026,91.867
07/07/2026,89.543
06/07/2026,89.731
03/07/2026,89.938
02/07/2026,89.911
01/07/2026,89.574
30/06/2026,89.448
29/06/2026,88.909
26/06/2026,89.903
25/06/2026,89.15
24/06/2026,90.715
23/06/2026,90.9
22/06/2026,87.947
19/06/2026,86.618
18/06/2026,86.546
17/06/2026,86.188
16/06/2026,87.342
15/06/2026,87.0
12/06/2026,92.753
11/06/2026,96.95
10/06/2026,96.434
09/06/2026,96.344
08/06/2026,101.427
05/06/2026,97.038
04/06/2026,94.281
03/06/2026,92.552
02/06/2026,88.578
01/06/2026,89.018
29/05/2026,89.591
28/05/2026,90.314
27/05/2026,89.774
26/05/2026,90.676
25/05/2026,91.757
22/05/2026,91.873
21/05/2026,92.481
20/05/2026,93.293
19/05/2026,90.915
18/05/2026,89.01
15/05/2026,87.097
14/05/2026,85.192
13/05/2026,84.638
12/05/2026,84.747
11/05/2026,83.282
08/05/2026,83.738
07/05/2026,83.887
06/05/2026,85.909
05/05/2026,89.354
04/05/2026,90.573
01/05/2026,91.445
30/04/2026,91.574
29/04/2026,89.653
28/04/2026,89.061
27/04/2026,88.497
24/04/2026,89.448
23/04/2026,86.925
22/04/2026,82.873
21/04/2026,81.913
20/04/2026,81.544
17/04/2026,82.416
16/04/2026,83.756
15/04/2026,84.563
14/04/2026,85.309
13/04/2026,86.633
10/04/2026,87.662
09/04/2026,88.078
08/04/2026,88.216
07/04/2026,95.072
06/04/2026,96.327
03/04/2026,97.206
02/04/2026,96.943
01/04/2026,96.838
31/03/2026,101.277
30/03/2026,104.775
27/03/2026,103.343
26/03/2026,101.335
25/03/2026,95.293
24/03/2026,102.642
23/03/2026,105.133
20/03/2026,101.87
19/03/2026,91.759
18/03/2026,90.452
17/03/2026,91.028
16/03/2026,92.855
13/03/2026,92.455
