DATES,EMBI
27/08/2026,33.434
26/08/2026,33.529
25/08/2026,33.525
24/08/2026,33.524
21/08/2026,33.438
20/08/2026,33.939
19/08/2026,34.213
18/08/2026,34.182
17/08/2026,33.902
14/08/2026,34.177
13/08/2026,34.409
12/08/2026,35.16
11/08/2026,35.079
10/08/2026,34.901
07/08/2026,35.205
06/08/2026,35.064
05/08/2026,35.193
04/08/2026,35.645
03/08/2026,36.506
31/07/2026,37.196
30/07/2026,38.445
29/07/2026,37.893
28/07/2026,37.607
27/07/2026,37.074
24/07/2026,37.8
23/07/2026,37.665
22/07/2026,36.762
21/07/2026,36.675
20/07/2026,36.827
17/07/2026,37.035
16/07/2026,36.775
15/07/2026,36.897
14/07/2026,36.904
13/07/2026,36.656
10/07/2026,36.516
09/07/2026,36.875
08/07/2026,37.336
07/07/2026,36.601
06/07/2026,37.183
03/07/2026,37.412
02/07/2026,37.475
01/07/2026,37.447
30/06/2026,37.746
29/06/2026,37.415
26/06/2026,37.568
25/06/2026,37.528
24/06/2026,38.135
23/06/2026,38.337
22/06/2026,37.829
19/06/2026,38.066
18/06/2026,37.936
17/06/2026,36.611
16/06/2026,35.219
15/06/2026,34.239
12/06/2026,34.001
11/06/2026,34.621
10/06/2026,35.186
09/06/2026,35.5
08/06/2026,35.896
05/06/2026,35.531
04/06/2026,35.065
03/06/2026,34.575
02/06/2026,34.272
01/06/2026,34.345
29/05/2026,34.521
28/05/2026,34.75
27/05/2026,33.806
26/05/2026,33.398
25/05/2026,34.438
22/05/2026,34.087
21/05/2026,34.607
20/05/2026,35.748
19/05/2026,35.549
18/05/2026,35.451
15/05/2026,35.042
14/05/2026,34.723
13/05/2026,34.705
12/05/2026,34.694
11/05/2026,34.259
08/05/2026,35.195
07/05/2026,35.377
06/05/2026,36.86
05/05/2026,37.895
04/05/2026,38.04
01/05/2026,38.86
30/04/2026,38.816
29/04/2026,38.285
28/04/2026,38.246
27/04/2026,38.54
24/04/2026,38.825
23/04/2026,39.112
22/04/2026,37.768
21/04/2026,37.31
20/04/2026,37.405
17/04/2026,37.449
16/04/2026,37.137
15/04/2026,38.08
14/04/2026,38.914
13/04/2026,40.189
10/04/2026,40.39
09/04/2026,40.739
08/04/2026,40.557
07/04/2026,45.418
06/04/2026,45.776
03/04/2026,46.075
02/04/2026,46.062
01/04/2026,45.354
31/03/2026,47.769
30/03/2026,47.83
27/03/2026,47.447
26/03/2026,47.09
25/03/2026,46.336
24/03/2026,48.723
23/03/2026,50.504
20/03/2026,51.577
19/03/2026,46.91
18/03/2026,46.183
17/03/2026,45.695
16/03/2026,45.992
13/03/2026,46.697
12/03/2026,46.517
11/03/2026,45.197
10/03/2026,43.923
09/03/2026,45.922
06/03/2026,41.786
05/03/2026,41.251
04/03/2026,42.94
03/03/2026,43.449
02/03/2026,43.034
27/02/2026,41.283
26/02/2026,39.067
25/02/2026,38.237
24/02/2026,38.202
23/02/2026,36.88
20/02/2026,36.742
19/02/2026,37.015
18/02/2026,36.948
17/02/2026,37.062
16/02/2026,36.985
13/02/2026,36.999
12/02/2026,36.401
11/02/2026,36.427
10/02/2026,36.755
09/02/2026,36.736
06/02/2026,38.19
05/02/2026,37.703
04/02/2026,37.644
03/02/2026,37.828
02/02/2026,38.867
30/01/2026,39.124
29/01/2026,38.569
28/01/2026,38.569
27/01/2026,38.952
26/01/2026,39.217
23/01/2026,39.289
22/01/2026,39.835
21/01/2026,40.752
20/01/2026,40.831
19/01/2026,40.003
16/01/2026,39.389
15/01/2026,39.657
14/01/2026,39.027
13/01/2026,38.844
12/01/2026,38.733
09/01/2026,38.588
08/01/2026,38.525
07/01/2026,37.935
06/01/2026,37.94
05/01/2026,37.722
02/01/2026,38.086
01/01/2026,38.338
31/12/2025,38.348
30/12/2025,38.236
29/12/2025,38.386
26/12/2025,38.382
25/12/2025,38.693
24/12/2025,38.637
23/12/2025,38.389
22/12/2025,38.445
19/12/2025,38.555
18/12/2025,38.979
17/12/2025,38.979
16/12/2025,38.952
15/12/2025,39.071
12/12/2025,38.982
11/12/2025,39.284
10/12/2025,39.827
09/12/2025,39.814
08/12/2025,39.197
05/12/2025,39.199
04/12/2025,39.182
03/12/2025,39.58
02/12/2025,40.138
01/12/2025,40.24
28/11/2025,40.161
27/11/2025,40.591
26/11/2025,40.507
25/11/2025,40.655
24/11/2025,41.931
21/11/2025,43.638
20/11/2025,42.243
19/11/2025,42.432
18/11/2025,42.179
17/11/2025,40.27
14/11/2025,40.643
13/11/2025,39.803
12/11/2025,39.241
11/11/2025,39.817
10/11/2025,39.879
07/11/2025,41.182
06/11/2025,41.139
05/11/2025,41.111
04/11/2025,41.498
03/11/2025,39.41
31/10/2025,38.815
30/10/2025,39.549
29/10/2025,39.786
28/10/2025,39.934
27/10/2025,40.566
24/10/2025,41.874
23/10/2025,42.391
22/10/2025,42.136
21/10/2025,42.042
20/10/2025,43.161
17/10/2025,43.434
16/10/2025,42.959
15/10/2025,42.992
14/10/2025,43.612
13/10/2025,42.685
10/10/2025,41.916
09/10/2025,41.018
08/10/2025,41.025
07/10/2025,40.484
06/10/2025,40.675
03/10/2025,40.907
02/10/2025,41.507
01/10/2025,42.861
30/09/2025,42.954
29/09/2025,42.856
26/09/2025,43.714
25/09/2025,43.148
24/09/2025,41.047
23/09/2025,40.783
22/09/2025,40.026
19/09/2025,36.756
18/09/2025,37.068
17/09/2025,37.043
16/09/2025,37.52
15/09/2025,37.847
12/09/2025,38.279
11/09/2025,39.281
10/09/2025,39.34
09/09/2025,38.973
08/09/2025,38.806
05/09/2025,38.774
04/09/2025,38.842
03/09/2025,39.217
02/09/2025,39.353
01/09/2025,39.425
29/08/2025,39.282
28/08/2025,39.139
27/08/2025,38.911
26/08/2025,38.771
25/08/2025,38.739
22/08/2025,39.347
21/08/2025,40.136
20/08/2025,39.984
19/08/2025,39.875
18/08/2025,40.199
15/08/2025,40.961
14/08/2025,41.119
13/08/2025,41.892
12/08/2025,42.795
11/08/2025,43.565
08/08/2025,43.907
07/08/2025,43.61
06/08/2025,42.795
05/08/2025,42.412
04/08/2025,43.252
01/08/2025,43.179
31/07/2025,41.487
30/07/2025,41.622
29/07/2025,40.432
28/07/2025,40.608
25/07/2025,40.897
24/07/2025,40.418
23/07/2025,40.602
22/07/2025,41.209
21/07/2025,41.233
18/07/2025,41.567
17/07/2025,42.236
16/07/2025,42.937
15/07/2025,43.207
14/07/2025,43.581
11/07/2025,43.347
10/07/2025,43.301
09/07/2025,43.426
08/07/2025,44.284
07/07/2025,44.674
04/07/2025,44.4
03/07/2025,44.632
02/07/2025,45.356
01/07/2025,45.871
30/06/2025,45.878
27/06/2025,46.713
26/06/2025,47.117
25/06/2025,47.29
24/06/2025,46.97
23/06/2025,50.222
20/06/2025,49.958
19/06/2025,49.522
18/06/2025,47.546
17/06/2025,46.54
16/06/2025,44.47
13/06/2025,45.186
12/06/2025,42.98
11/06/2025,42.662
10/06/2025,43.331
09/06/2025,44.631
06/06/2025,47.07
05/06/2025,47.11
04/06/2025,46.651
03/06/2025,47.897
02/06/2025,48.364
30/05/2025,48.827
29/05/2025,49.96
28/05/2025,49.585
27/05/2025,50.231
26/05/2025,51.042
23/05/2025,52.656
22/05/2025,52.437
21/05/2025,53.256
20/05/2025,51.97
19/05/2025,52.666
16/05/2025,52.525
15/05/2025,53.388
14/05/2025,53.523
13/05/2025,54.646
12/05/2025,55.486
09/05/2025,58.303
08/05/2025,58.231
07/05/2025,60.606
06/05/2025,61.844
05/05/2025,60.361
02/05/2025,60.738
01/05/2025,62.028
30/04/2025,62.453
29/04/2025,61.319
28/04/2025,61.445
25/04/2025,61.831
24/04/2025,62.776
23/04/2025,63.488
22/04/2025,65.824
21/04/2025,66.363
18/04/2025,65.62
17/04/2025,65.7
16/04/2025,64.89
15/04/2025,63.496
14/04/2025,64.345
11/04/2025,64.596
10/04/2025,68.587
09/04/2025,70.602
08/04/2025,75.858
07/04/2025,78.27
04/04/2025,66.894
03/04/2025,62.521
02/04/2025,55.786
01/04/2025,54.584
31/03/2025,53.144
28/03/2025,50.424
27/03/2025,49.477
26/03/2025,48.478
25/03/2025,47.862
24/03/2025,48.315
21/03/2025,50.22
20/03/2025,49.715
19/03/2025,45.993
18/03/2025,47.492
17/03/2025,48.126
14/03/2025,49.606
13/03/2025,49.424
12/03/2025,49.041
11/03/2025,49.453
10/03/2025,48.093
07/03/2025,47.012
06/03/2025,47.613
05/03/2025,47.21
04/03/2025,47.735
03/03/2025,46.269
28/02/2025,46.574
27/02/2025,45.44
26/02/2025,44.484
25/02/2025,45.918
24/02/2025,42.816
21/02/2025,41.59
20/02/2025,40.653
19/02/2025,40.289
18/02/2025,39.872
17/02/2025,40.237
14/02/2025,41.839
13/02/2025,42.768
12/02/2025,44.222
11/02/2025,44.937
10/02/2025,44.889
07/02/2025,45.013
06/02/2025,45.568
05/02/2025,46.111
04/02/2025,45.877
03/02/2025,46.657
31/01/2025,46.706
30/01/2025,46.072
29/01/2025,46.02
28/01/2025,45.229
27/01/2025,46.2
24/01/2025,45.287
23/01/2025,45.867
22/01/2025,45.835
21/01/2025,45.956
20/01/2025,47.952
17/01/2025,48.095
16/01/2025,47.989
15/01/2025,49.127
14/01/2025,49.874
13/01/2025,51.788
10/01/2025,50.74
09/01/2025,50.534
08/01/2025,49.427
07/01/2025,48.122
06/01/2025,48.251
03/01/2025,48.838
02/01/2025,49.202
01/01/2025,48.588
31/12/2024,48.387
30/12/2024,48.353
27/12/2024,47.461
26/12/2024,47.654
25/12/2024,47.582
24/12/2024,47.485
23/12/2024,47.211
20/12/2024,46.267
19/12/2024,46.957
18/12/2024,46.349
17/12/2024,44.634
16/12/2024,44.296
13/12/2024,44.134
12/12/2024,43.38
11/12/2024,43.345
10/12/2024,43.2
09/12/2024,43.111
06/12/2024,43.696
05/12/2024,43.495
04/12/2024,43.768
03/12/2024,44.219
02/12/2024,45.191
29/11/2024,45.651
28/11/2024,45.698
27/11/2024,45.756
26/11/2024,45.495
25/11/2024,44.154
22/11/2024,44.199
21/11/2024,44.31
20/11/2024,43.006
19/11/2024,43.155
18/11/2024,43.399
15/11/2024,42.504
14/11/2024,41.394
13/11/2024,41.529
12/11/2024,40.962
11/11/2024,39.907
08/11/2024,39.688
07/11/2024,39.473
06/11/2024,41.597
05/11/2024,41.904
04/11/2024,42.069
01/11/2024,41.332
31/10/2024,41.25
30/10/2024,40.147
29/10/2024,39.716
28/10/2024,39.352
25/10/2024,40.116
24/10/2024,39.789
23/10/2024,40.255
22/10/2024,40.744
21/10/2024,39.577
18/10/2024,39.296
17/10/2024,39.299
16/10/2024,39.4
15/10/2024,39.532
14/10/2024,39.006
11/10/2024,38.798
10/10/2024,38.906
09/10/2024,37.901
08/10/2024,37.877
07/10/2024,38.116
04/10/2024,38.156
03/10/2024,38.586
02/10/2024,38.415
01/10/2024,38.423
30/09/2024,37.568
27/09/2024,37.527
26/09/2024,37.754
25/09/2024,38.345
24/09/2024,38.344
23/09/2024,38.358
20/09/2024,37.95
19/09/2024,36.304
18/09/2024,36.833
17/09/2024,37.111
16/09/2024,37.264
13/09/2024,37.819
12/09/2024,37.983
11/09/2024,40.088
10/09/2024,39.346
09/09/2024,38.743
06/09/2024,38.787
05/09/2024,38.691
04/09/2024,38.826
03/09/2024,38.45
02/09/2024,37.743
30/08/2024,37.886
29/08/2024,37.869
28/08/2024,38.053
27/08/2024,37.326
26/08/2024,37.936
23/08/2024,39.122
22/08/2024,40.663
21/08/2024,40.533
20/08/2024,39.954
19/08/2024,39.983
16/08/2024,41.639
15/08/2024,42.84
14/08/2024,44.39
13/08/2024,44.816
12/08/2024,45.505
09/08/2024,45.057
08/08/2024,45.526
07/08/2024,46.477
06/08/2024,46.472
05/08/2024,46.335
02/08/2024,45.202
01/08/2024,44.485
31/07/2024,43.052
30/07/2024,43.976
29/07/2024,42.889
26/07/2024,43.115
25/07/2024,43.791
24/07/2024,42.641
23/07/2024,41.974
22/07/2024,43.386
19/07/2024,44.037
18/07/2024,41.932
17/07/2024,41.598
16/07/2024,41.122
15/07/2024,40.358
12/07/2024,40.197
11/07/2024,40.326
10/07/2024,41.054
09/07/2024,41.074
08/07/2024,41.441
05/07/2024,42.274
04/07/2024,42.065
03/07/2024,43.622
02/07/2024,44.737
01/07/2024,45.566
28/06/2024,45.734
27/06/2024,46.615
26/06/2024,46.473
25/06/2024,46.763
24/06/2024,46.867
21/06/2024,46.694
20/06/2024,47.196
19/06/2024,46.752
18/06/2024,47.805
17/06/2024,48.59
14/06/2024,47.978
13/06/2024,46.27
12/06/2024,46.828
11/06/2024,46.226
10/06/2024,46.677
07/06/2024,46.019
06/06/2024,45.946
05/06/2024,46.145
04/06/2024,45.837
03/06/2024,45.996
31/05/2024,46.435
30/05/2024,46.144
29/05/2024,45.444
28/05/2024,44.751
27/05/2024,45.152
24/05/2024,45.146
23/05/2024,44.763
22/05/2024,44.429
21/05/2024,44.177
20/05/2024,44.127
17/05/2024,44.413
16/05/2024,44.232
15/05/2024,44.823
14/05/2024,45.589
13/05/2024,45.962
10/05/2024,46.082
09/05/2024,46.103
08/05/2024,45.551
07/05/2024,44.514
06/05/2024,44.351
03/05/2024,45.266
02/05/2024,46.441
01/05/2024,48.649
30/04/2024,47.899
29/04/2024,47.456
26/04/2024,48.482
25/04/2024,48.791
24/04/2024,48.188
23/04/2024,47.513
22/04/2024,48.568
19/04/2024,48.978
18/04/2024,46.593
17/04/2024,48.179
16/04/2024,48.117
15/04/2024,45.468
12/04/2024,44.644
11/04/2024,43.369
10/04/2024,42.347
09/04/2024,42.242
08/04/2024,42.919
05/04/2024,44.038
04/04/2024,42.19
03/04/2024,42.469
02/04/2024,42.43
01/04/2024,42.229
29/03/2024,41.359
28/03/2024,41.415
27/03/2024,41.753
26/03/2024,41.339
25/03/2024,41.154
22/03/2024,40.841
21/03/2024,40.445
20/03/2024,40.858
19/03/2024,38.307
18/03/2024,38.366
15/03/2024,39.3
14/03/2024,38.874
13/03/2024,38.979
12/03/2024,39.094
11/03/2024,39.618
08/03/2024,39.832
07/03/2024,39.701
06/03/2024,40.756
05/03/2024,40.625
04/03/2024,39.201
01/03/2024,39.144
29/02/2024,40.192
28/02/2024,40.572
27/02/2024,40.134
26/02/2024,39.376
23/02/2024,38.7
22/02/2024,38.836
21/02/2024,40.401
20/02/2024,40.506
19/02/2024,40.77
16/02/2024,40.798
15/02/2024,42.366
14/02/2024,43.618
13/02/2024,43.711
12/02/2024,43.342
09/02/2024,43.181
08/02/2024,43.387
07/02/2024,43.38
06/02/2024,44.148
05/02/2024,44.871
02/02/2024,44.633
01/02/2024,45.841
31/01/2024,44.747
30/01/2024,44.728
29/01/2024,45.761
26/01/2024,45.105
25/01/2024,44.998
24/01/2024,44.463
23/01/2024,44.496
22/01/2024,44.512
19/01/2024,44.103
18/01/2024,44.756
17/01/2024,46.051
16/01/2024,44.436
15/01/2024,43.211
12/01/2024,44.491
11/01/2024,43.896
10/01/2024,44.036
09/01/2024,46.153
08/01/2024,47.015
05/01/2024,46.592
04/01/2024,45.812
03/01/2024,44.019
02/01/2024,42.012
29/12/2023,41.928
28/12/2023,40.909
27/12/2023,41.553
26/12/2023,41.781
25/12/2023,41.564
22/12/2023,42.49
21/12/2023,41.824
20/12/2023,41.108
19/12/2023,41.052
18/12/2023,41.42
15/12/2023,42.386
14/12/2023,40.696
13/12/2023,42.85
12/12/2023,43.259
11/12/2023,43.043
08/12/2023,43.71
07/12/2023,43.883
06/12/2023,43.564
05/12/2023,42.72
04/12/2023,40.609
01/12/2023,40.812
30/11/2023,41.247
29/11/2023,41.35
28/11/2023,42.266
27/11/2023,41.706
24/11/2023,42.817
23/11/2023,42.817
22/11/2023,43.516
21/11/2023,41.719
20/11/2023,44.564
17/11/2023,46.146
16/11/2023,47.463
15/11/2023,46.934
14/11/2023,47.873
13/11/2023,52.027
10/11/2023,53.137
09/11/2023,53.461
08/11/2023,51.73
07/11/2023,55.196
06/11/2023,54.327
03/11/2023,56.073
02/11/2023,58.455
01/11/2023,60.762
31/10/2023,63.858
30/10/2023,65.795
27/10/2023,66.197
26/10/2023,67.437
25/10/2023,64.818
24/10/2023,64.859
23/10/2023,66.354
20/10/2023,65.612
19/10/2023,64.136
18/10/2023,61.024
17/10/2023,60.409
16/10/2023,60.034
13/10/2023,59.457
12/10/2023,57.742
11/10/2023,57.762
10/10/2023,59.134
09/10/2023,61.162
06/10/2023,60.332
05/10/2023,60.753
04/10/2023,58.906
03/10/2023,53.407
02/10/2023,51.001
29/09/2023,50.856
28/09/2023,51.141
27/09/2023,51.106
26/09/2023,51.102
25/09/2023,50.71
22/09/2023,49.733
21/09/2023,50.4
20/09/2023,47.621
19/09/2023,43.858
18/09/2023,44.104
15/09/2023,43.12
14/09/2023,43.354
13/09/2023,44.765
12/09/2023,45.784
11/09/2023,46.996
08/09/2023,47.981
07/09/2023,48.539
06/09/2023,48.856
05/09/2023,49.75
04/09/2023,50.117
01/09/2023,50.776
31/08/2023,51.63
30/08/2023,51.885
29/08/2023,51.977
28/08/2023,52.698
25/08/2023,52.961
24/08/2023,53.095
23/08/2023,52.667
22/08/2023,54.136
21/08/2023,55.976
18/08/2023,56.034
17/08/2023,54.591
16/08/2023,53.147
15/08/2023,52.544
14/08/2023,51.457
11/08/2023,48.12
10/08/2023,47.033
09/08/2023,46.748
08/08/2023,46.707
07/08/2023,45.187
04/08/2023,44.826
03/08/2023,46.753
02/08/2023,45.119
01/08/2023,42.369
