DATES,EMBI
27/08/2026,329.92
26/08/2026,328.376
25/08/2026,331.979
24/08/2026,331.745
21/08/2026,335.947
20/08/2026,337.873
19/08/2026,336.216
18/08/2026,341.634
17/08/2026,335.357
14/08/2026,334.105
13/08/2026,341.531
12/08/2026,346.676
11/08/2026,347.92
10/08/2026,354.656
07/08/2026,351.571
06/08/2026,351.079
05/08/2026,356.624
04/08/2026,353.35
03/08/2026,363.848
31/07/2026,371.741
30/07/2026,375.914
29/07/2026,371.516
28/07/2026,371.64
27/07/2026,371.372
24/07/2026,378.263
23/07/2026,369.821
22/07/2026,360.881
21/07/2026,368.317
20/07/2026,366.444
17/07/2026,369.718
16/07/2026,362.477
15/07/2026,366.991
14/07/2026,367.521
13/07/2026,371.601
10/07/2026,367.281
09/07/2026,368.15
08/07/2026,370.852
07/07/2026,362.517
06/07/2026,363.904
03/07/2026,370.028
02/07/2026,370.393
01/07/2026,369.875
30/06/2026,369.088
29/06/2026,370.81
26/06/2026,374.681
25/06/2026,374.473
24/06/2026,378.314
23/06/2026,391.046
22/06/2026,395.445
19/06/2026,392.424
18/06/2026,391.609
17/06/2026,392.071
16/06/2026,380.161
15/06/2026,383.576
12/06/2026,409.84
11/06/2026,427.691
10/06/2026,427.701
09/06/2026,422.445
08/06/2026,427.919
05/06/2026,422.198
04/06/2026,423.189
03/06/2026,424.263
02/06/2026,419.885
01/06/2026,420.256
29/05/2026,416.642
28/05/2026,424.588
27/05/2026,426.5
26/05/2026,432.262
22/05/2026,438.685
21/05/2026,451.137
20/05/2026,449.366
19/05/2026,456.71
18/05/2026,455.758
15/05/2026,453.035
14/05/2026,441.886
13/05/2026,442.239
12/05/2026,446.972
11/05/2026,426.431
08/05/2026,431.122
07/05/2026,429.02
06/05/2026,435.957
05/05/2026,460.051
04/05/2026,460.201
01/05/2026,460.213
30/04/2026,468.759
29/04/2026,471.346
28/04/2026,467.46
27/04/2026,458.866
24/04/2026,448.485
23/04/2026,447.777
22/04/2026,440.332
21/04/2026,440.714
20/04/2026,430.97
17/04/2026,433.254
16/04/2026,445.355
15/04/2026,443.186
14/04/2026,441.414
13/04/2026,472.188
10/04/2026,465.109
09/04/2026,482.645
08/04/2026,495.43
07/04/2026,564.312
06/04/2026,555.828
03/04/2026,555.462
02/04/2026,553.718
01/04/2026,543.55
31/03/2026,570.46
30/03/2026,592.425
27/03/2026,581.333
26/03/2026,560.822
25/03/2026,554.872
24/03/2026,554.325
23/03/2026,555.911
20/03/2026,567.031
18/03/2026,500.064
