DATES,EMBI
27/08/2026,65.54
26/08/2026,65.744
25/08/2026,65.066
24/08/2026,64.737
21/08/2026,64.188
20/08/2026,64.02
19/08/2026,64.014
18/08/2026,64.123
17/08/2026,63.565
14/08/2026,63.318
13/08/2026,64.199
12/08/2026,65.28
11/08/2026,65.558
10/08/2026,65.065
07/08/2026,65.884
06/08/2026,65.219
05/08/2026,64.731
04/08/2026,66.285
03/08/2026,67.615
31/07/2026,68.392
30/07/2026,70.234
29/07/2026,68.815
28/07/2026,68.741
27/07/2026,68.06
24/07/2026,70.963
23/07/2026,69.972
22/07/2026,68.02
21/07/2026,67.734
20/07/2026,67.985
17/07/2026,68.042
16/07/2026,66.666
15/07/2026,66.543
14/07/2026,66.04
13/07/2026,63.93
10/07/2026,63.089
09/07/2026,64.355
08/07/2026,64.402
07/07/2026,63.135
06/07/2026,63.225
03/07/2026,64.432
02/07/2026,63.596
01/07/2026,63.465
30/06/2026,63.58
29/06/2026,63.473
26/06/2026,64.598
25/06/2026,64.522
24/06/2026,67.076
23/06/2026,67.744
22/06/2026,65.241
19/06/2026,65.195
18/06/2026,65.515
17/06/2026,66.344
16/06/2026,68.029
15/06/2026,68.111
12/06/2026,73.105
11/06/2026,75.491
10/06/2026,75.384
09/06/2026,75.932
08/06/2026,77.879
05/06/2026,74.281
04/06/2026,74.645
03/06/2026,74.49
02/06/2026,73.482
01/06/2026,74.324
29/05/2026,74.778
28/05/2026,75.313
27/05/2026,74.874
26/05/2026,76.328
25/05/2026,77.491
22/05/2026,77.639
21/05/2026,79.226
20/05/2026,80.747
19/05/2026,80.554
18/05/2026,79.768
15/05/2026,78.133
14/05/2026,76.491
13/05/2026,75.636
12/05/2026,75.778
11/05/2026,74.56
08/05/2026,74.638
07/05/2026,74.89
06/05/2026,76.895
05/05/2026,79.084
04/05/2026,77.6
01/05/2026,78.089
30/04/2026,78.342
29/04/2026,75.124
28/04/2026,74.792
27/04/2026,74.148
24/04/2026,75.266
23/04/2026,73.357
22/04/2026,69.295
21/04/2026,68.614
20/04/2026,68.88
17/04/2026,69.71
16/04/2026,71.69
15/04/2026,73.602
14/04/2026,74.046
13/04/2026,74.944
10/04/2026,75.777
09/04/2026,76.457
08/04/2026,76.886
07/04/2026,83.566
06/04/2026,84.714
03/04/2026,85.747
02/04/2026,85.713
01/04/2026,85.023
31/03/2026,90.511
30/03/2026,93.201
27/03/2026,92.1
26/03/2026,89.875
25/03/2026,86.287
24/03/2026,95.913
23/03/2026,97.317
20/03/2026,91.687
19/03/2026,82.153
18/03/2026,78.053
17/03/2026,78.188
16/03/2026,78.334
13/03/2026,76.044
12/03/2026,72.623
11/03/2026,69.945
10/03/2026,68.523
09/03/2026,71.167
06/03/2026,64.289
05/03/2026,63.005
04/03/2026,65.255
03/03/2026,65.74
02/03/2026,64.459
27/02/2026,62.395
26/02/2026,60.493
25/02/2026,59.25
24/02/2026,59.887
23/02/2026,58.318
20/02/2026,58.049
19/02/2026,58.075
18/02/2026,58.102
17/02/2026,58.32
16/02/2026,58.118
13/02/2026,58.219
12/02/2026,57.711
11/02/2026,57.843
10/02/2026,58.249
09/02/2026,58.549
06/02/2026,59.451
05/02/2026,58.92
04/02/2026,58.682
03/02/2026,58.627
02/02/2026,59.571
30/01/2026,59.472
29/01/2026,58.737
28/01/2026,58.419
27/01/2026,58.435
26/01/2026,58.657
23/01/2026,58.787
22/01/2026,58.943
21/01/2026,59.725
20/01/2026,60.366
19/01/2026,58.823
16/01/2026,58.172
15/01/2026,58.653
14/01/2026,58.864
13/01/2026,58.662
12/01/2026,58.971
09/01/2026,58.327
08/01/2026,58.566
07/01/2026,56.857
06/01/2026,56.123
05/01/2026,56.269
02/01/2026,56.512
01/01/2026,56.599
31/12/2025,56.673
30/12/2025,56.68
29/12/2025,57.006
26/12/2025,57.32
25/12/2025,57.371
24/12/2025,57.275
23/12/2025,57.039
22/12/2025,57.071
19/12/2025,57.777
18/12/2025,58.188
17/12/2025,57.784
16/12/2025,58.097
15/12/2025,59.943
12/12/2025,60.954
11/12/2025,62.376
10/12/2025,62.709
09/12/2025,62.184
08/12/2025,61.129
05/12/2025,61.287
04/12/2025,61.375
03/12/2025,61.852
02/12/2025,62.801
01/12/2025,63.493
28/11/2025,62.534
27/11/2025,62.098
26/11/2025,62.513
25/11/2025,62.803
24/11/2025,64.106
21/11/2025,65.342
20/11/2025,63.585
19/11/2025,64.255
18/11/2025,63.813
17/11/2025,60.747
14/11/2025,60.981
13/11/2025,59.067
12/11/2025,58.469
11/11/2025,58.857
10/11/2025,59.231
07/11/2025,60.994
06/11/2025,60.216
05/11/2025,60.258
04/11/2025,60.129
03/11/2025,56.917
31/10/2025,56.689
30/10/2025,57.253
29/10/2025,58.642
28/10/2025,58.62
27/10/2025,59.332
24/10/2025,61.058
23/10/2025,62.519
22/10/2025,62.35
21/10/2025,62.318
20/10/2025,64.213
17/10/2025,64.64
16/10/2025,63.63
15/10/2025,62.543
14/10/2025,63.776
13/10/2025,62.398
10/10/2025,60.497
09/10/2025,58.96
08/10/2025,58.383
07/10/2025,57.996
06/10/2025,58.231
03/10/2025,58.412
02/10/2025,58.794
01/10/2025,60.26
30/09/2025,60.509
29/09/2025,60.834
26/09/2025,61.604
25/09/2025,62.493
24/09/2025,60.474
23/09/2025,60.273
22/09/2025,59.55
19/09/2025,54.597
18/09/2025,54.952
17/09/2025,55.437
16/09/2025,55.484
15/09/2025,55.885
12/09/2025,56.495
11/09/2025,57.68
10/09/2025,58.543
09/09/2025,58.467
08/09/2025,58.006
05/09/2025,57.864
04/09/2025,58.24
03/09/2025,59.245
02/09/2025,59.285
01/09/2025,59.314
29/08/2025,59.101
28/08/2025,58.892
27/08/2025,58.924
26/08/2025,58.478
25/08/2025,57.923
22/08/2025,58.632
21/08/2025,59.566
20/08/2025,59.27
19/08/2025,58.895
18/08/2025,58.703
15/08/2025,59.451
14/08/2025,60.176
13/08/2025,60.325
12/08/2025,61.629
11/08/2025,62.229
08/08/2025,62.381
07/08/2025,62.138
06/08/2025,61.388
05/08/2025,60.804
04/08/2025,61.68
01/08/2025,61.418
31/07/2025,59.216
30/07/2025,59.758
29/07/2025,58.135
28/07/2025,57.935
25/07/2025,58.354
24/07/2025,58.278
23/07/2025,58.446
22/07/2025,59.355
21/07/2025,59.397
18/07/2025,59.652
17/07/2025,60.454
16/07/2025,61.399
15/07/2025,61.024
14/07/2025,61.312
11/07/2025,61.027
10/07/2025,60.395
09/07/2025,60.827
08/07/2025,61.01
07/07/2025,61.357
04/07/2025,61.015
03/07/2025,61.23
02/07/2025,62.359
01/07/2025,63.084
30/06/2025,63.123
27/06/2025,63.93
26/06/2025,64.524
25/06/2025,64.524
24/06/2025,62.951
23/06/2025,65.816
20/06/2025,65.238
19/06/2025,64.819
18/06/2025,62.647
17/06/2025,61.704
16/06/2025,59.082
13/06/2025,59.885
12/06/2025,57.221
11/06/2025,55.911
10/06/2025,56.463
09/06/2025,56.664
06/06/2025,58.757
05/06/2025,59.321
04/06/2025,59.265
03/06/2025,59.994
02/06/2025,60.603
30/05/2025,60.523
29/05/2025,60.317
28/05/2025,60.96
27/05/2025,61.859
26/05/2025,63.23
23/05/2025,64.536
22/05/2025,64.693
21/05/2025,65.001
20/05/2025,63.961
19/05/2025,64.623
16/05/2025,63.558
15/05/2025,64.885
14/05/2025,64.648
13/05/2025,66.042
12/05/2025,66.561
09/05/2025,70.788
08/05/2025,71.002
07/05/2025,74.272
06/05/2025,76.898
05/05/2025,76.781
02/05/2025,76.354
01/05/2025,77.922
30/04/2025,78.575
29/04/2025,75.725
28/04/2025,75.387
25/04/2025,75.802
24/04/2025,77.989
23/04/2025,78.682
22/04/2025,82.212
21/04/2025,82.336
18/04/2025,82.515
17/04/2025,82.321
16/04/2025,82.311
15/04/2025,80.852
14/04/2025,82.935
11/04/2025,85.466
10/04/2025,87.775
09/04/2025,100.759
08/04/2025,101.329
07/04/2025,99.999
04/04/2025,85.02
03/04/2025,79.22
02/04/2025,74.946
01/04/2025,75.179
31/03/2025,75.964
28/03/2025,74.165
27/03/2025,73.339
26/03/2025,73.251
