DATES,EMBI
16/10/2015,76.0
15/10/2015,78.0
14/10/2015,78.0
13/10/2015,78.0
12/10/2015,78.0
09/10/2015,78.0
08/10/2015,78.0
07/10/2015,78.0
06/10/2015,80.0
05/10/2015,80.0
02/10/2015,80.0
01/10/2015,80.0
30/09/2015,80.0
29/09/2015,80.0
28/09/2015,76.0
25/09/2015,76.0
24/09/2015,76.0
23/09/2015,76.0
22/09/2015,76.0
18/09/2015,74.0
17/09/2015,74.0
16/09/2015,74.0
15/09/2015,75.0
14/09/2015,75.0
11/09/2015,74.0
10/09/2015,74.0
09/09/2015,74.0
08/09/2015,74.0
07/09/2015,74.0
04/09/2015,74.0
03/09/2015,74.0
02/09/2015,74.0
01/09/2015,72.0
28/08/2015,72.0
27/08/2015,72.0
26/08/2015,72.0
25/08/2015,72.0
21/08/2015,65.0
20/08/2015,65.0
19/08/2015,69.0
18/08/2015,69.0
17/08/2015,69.0
14/08/2015,68.0
13/08/2015,68.0
12/08/2015,68.0
11/08/2015,67.0
10/08/2015,67.0
07/08/2015,67.0
06/08/2015,67.0
05/08/2015,67.0
04/08/2015,69.0
03/08/2015,69.0
31/07/2015,69.0
30/07/2015,69.0
29/07/2015,69.0
28/07/2015,69.0
27/07/2015,69.0
02/07/2015,74.0
01/07/2015,74.0
29/06/2015,74.0
26/06/2015,70.0
25/06/2015,72.0
24/06/2015,72.0
23/06/2015,72.0
22/06/2015,72.0
18/06/2015,72.0
17/06/2015,72.0
16/06/2015,72.0
15/06/2015,70.0
10/06/2015,68.0
05/06/2015,65.0
04/06/2015,64.0
03/06/2015,64.0
02/06/2015,64.0
27/05/2015,64.0
26/05/2015,59.0
21/05/2015,59.0
19/05/2015,58.0
18/05/2015,58.0
15/05/2015,58.0
13/05/2015,58.0
12/05/2015,58.0
11/05/2015,58.0
05/05/2015,59.0
30/04/2015,59.0
29/04/2015,59.0
27/04/2015,59.0
22/04/2015,58.0
17/04/2015,58.0
14/04/2015,58.0
10/04/2015,59.0
09/04/2015,59.0
07/04/2015,59.0
02/04/2015,59.0
01/04/2015,60.0
31/03/2015,60.0
27/03/2015,60.0
26/03/2015,60.0
25/03/2015,60.0
24/03/2015,60.0
23/03/2015,62.0
20/03/2015,62.0
18/03/2015,59.0
17/03/2015,59.0
13/03/2015,59.0
09/03/2015,59.0
03/03/2015,59.0
02/03/2015,61.0
27/02/2015,61.0
26/02/2015,61.0
25/02/2015,62.0
24/02/2015,62.0
23/02/2015,62.0
18/02/2015,62.0
17/02/2015,64.0
13/02/2015,65.0
11/02/2015,65.0
10/02/2015,65.0
09/02/2015,65.0
06/02/2015,64.0
05/02/2015,64.0
03/02/2015,64.0
30/01/2015,64.0
29/01/2015,63.0
23/01/2015,70.0
22/01/2015,70.0
21/01/2015,72.0
20/01/2015,67.0
19/01/2015,69.0
15/01/2015,70.0
14/01/2015,64.0
13/01/2015,65.0
12/01/2015,66.0
08/01/2015,66.0
07/01/2015,67.0
06/01/2015,72.0
05/01/2015,72.0
22/12/2014,74.0
19/12/2014,74.0
17/12/2014,74.0
16/12/2014,72.0
15/12/2014,72.0
12/12/2014,66.0
11/12/2014,64.0
10/12/2014,63.0
09/12/2014,62.0
08/12/2014,62.0
05/12/2014,62.0
04/12/2014,62.0
03/12/2014,62.0
02/12/2014,62.0
01/12/2014,62.0
28/11/2014,62.0
26/11/2014,62.0
25/11/2014,62.0
24/11/2014,63.0
21/11/2014,63.0
20/11/2014,63.0
19/11/2014,63.0
18/11/2014,62.0
17/11/2014,62.0
14/11/2014,62.0
13/11/2014,62.0
12/11/2014,66.0
11/11/2014,66.0
10/11/2014,66.0
07/11/2014,68.0
06/11/2014,67.0
05/11/2014,67.0
04/11/2014,67.0
03/11/2014,67.0
31/10/2014,67.0
29/10/2014,67.0
28/10/2014,67.0
27/10/2014,67.0
24/10/2014,68.0
23/10/2014,68.0
22/10/2014,68.0
21/10/2014,68.0
20/10/2014,68.0
17/10/2014,68.0
16/10/2014,68.0
15/10/2014,62.0
14/10/2014,64.0
13/10/2014,64.0
10/10/2014,64.0
09/10/2014,64.0
08/10/2014,69.0
07/10/2014,69.0
06/10/2014,69.0
02/10/2014,69.0
01/10/2014,69.0
30/09/2014,69.0
29/09/2014,67.0
25/09/2014,66.0
23/09/2014,65.0
22/09/2014,65.0
19/09/2014,65.0
18/09/2014,65.0
17/09/2014,65.0
16/09/2014,65.0
15/09/2014,65.0
12/09/2014,64.0
11/09/2014,63.0
10/09/2014,63.0
09/09/2014,63.0
08/09/2014,61.0
29/08/2014,63.0
28/08/2014,64.0
27/08/2014,64.0
26/08/2014,65.0
22/08/2014,66.0
21/08/2014,64.0
20/08/2014,64.0
19/08/2014,64.0
18/08/2014,64.0
13/08/2014,63.0
12/08/2014,62.0
11/08/2014,63.0
08/08/2014,63.0
07/08/2014,60.0
10/06/2014,54.0
09/06/2014,52.0
06/06/2014,54.0
04/06/2014,59.0
29/05/2014,59.0
28/05/2014,59.0
10/04/2014,73.0
27/03/2014,67.0
25/03/2014,72.0
19/03/2014,74.0
17/03/2014,80.0
14/03/2014,80.0
