DATES,EMBI
16/10/2015,325.0
15/10/2015,325.0
14/10/2015,325.0
13/10/2015,325.0
09/10/2015,370.0
08/10/2015,370.0
07/10/2015,370.0
06/10/2015,370.0
05/10/2015,370.0
02/10/2015,371.75
01/10/2015,367.25
30/09/2015,360.5
29/09/2015,385.5
28/09/2015,378.25
25/09/2015,372.5
24/09/2015,370.75
23/09/2015,364.25
22/09/2015,364.25
21/09/2015,352.5
18/09/2015,342.5
17/09/2015,342.75
16/09/2015,341.0
15/09/2015,361.25
14/09/2015,361.5
11/09/2015,367.5
10/09/2015,379.25
09/09/2015,375.75
08/09/2015,379.25
07/09/2015,390.5
04/09/2015,381.25
03/09/2015,396.5
02/09/2015,399.25
01/09/2015,376.25
28/08/2015,377.0
27/08/2015,403.75
26/08/2015,422.25
25/08/2015,427.25
24/08/2015,440.25
21/08/2015,400.75
20/08/2015,394.25
19/08/2015,383.25
18/08/2015,384.5
17/08/2015,379.75
14/08/2015,351.0
13/08/2015,351.0
12/08/2015,351.0
11/08/2015,351.0
10/08/2015,363.0
07/08/2015,348.0
06/08/2015,348.0
05/08/2015,348.0
04/08/2015,348.0
03/08/2015,338.0
31/07/2015,337.0
30/07/2015,337.0
29/07/2015,337.0
28/07/2015,342.0
27/07/2015,342.0
02/07/2015,330.0
01/07/2015,335.0
29/06/2015,338.0
26/06/2015,325.0
25/06/2015,325.0
24/06/2015,337.0
23/06/2015,337.0
22/06/2015,352.0
18/06/2015,363.0
17/06/2015,363.0
15/06/2015,352.0
05/06/2015,352.0
04/06/2015,352.0
03/06/2015,333.0
02/06/2015,323.0
01/06/2015,321.0
28/05/2015,311.0
27/05/2015,300.0
26/05/2015,293.0
22/05/2015,287.0
21/05/2015,295.0
20/05/2015,295.0
19/05/2015,296.0
18/05/2015,300.0
15/05/2015,302.5
14/05/2015,307.0
13/05/2015,305.0
12/05/2015,330.0
11/05/2015,332.0
08/05/2015,332.0
07/05/2015,343.0
06/05/2015,342.0
05/05/2015,361.0
30/04/2015,359.0
29/04/2015,355.0
28/04/2015,352.0
27/04/2015,360.0
24/04/2015,352.0
23/04/2015,360.0
22/04/2015,365.0
21/04/2015,380.0
20/04/2015,370.0
17/04/2015,355.0
16/04/2015,341.0
15/04/2015,352.0
14/04/2015,358.0
13/04/2015,346.0
10/04/2015,345.0
09/04/2015,335.0
08/04/2015,334.0
07/04/2015,354.0
02/04/2015,372.0
01/04/2015,389.0
31/03/2015,405.0
30/03/2015,414.0
27/03/2015,402.0
26/03/2015,409.0
25/03/2015,407.0
24/03/2015,423.0
23/03/2015,455.0
20/03/2015,459.0
19/03/2015,490.0
18/03/2015,500.0
17/03/2015,507.0
16/03/2015,501.0
13/03/2015,483.0
09/03/2015,458.0
06/03/2015,454.0
05/03/2015,471.0
04/03/2015,483.0
03/03/2015,472.0
02/03/2015,482.0
27/02/2015,482.0
26/02/2015,485.0
25/02/2015,517.0
24/02/2015,514.0
23/02/2015,512.0
20/02/2015,497.0
19/02/2015,482.0
18/02/2015,474.0
17/02/2015,483.0
16/02/2015,480.0
13/02/2015,477.0
12/02/2015,500.0
11/02/2015,538.0
10/02/2015,548.0
09/02/2015,546.0
06/02/2015,527.0
05/02/2015,542.0
04/02/2015,573.0
03/02/2015,563.0
02/02/2015,605.0
30/01/2015,630.0
29/01/2015,620.0
23/01/2015,555.0
22/01/2015,563.0
21/01/2015,580.0
20/01/2015,560.0
19/01/2015,535.0
16/01/2015,535.0
15/01/2015,540.0
14/01/2015,567.0
13/01/2015,593.0
12/01/2015,600.0
09/01/2015,575.0
08/01/2015,542.0
07/01/2015,575.0
06/01/2015,595.0
05/01/2015,550.0
23/12/2014,425.0
22/12/2014,420.0
19/12/2014,448.0
16/12/2014,590.0
15/12/2014,545.0
12/12/2014,460.0
11/12/2014,426.0
10/12/2014,409.0
09/12/2014,403.0
