DATES,EMBI
27/08/2026,116.057
26/08/2026,116.746
25/08/2026,117.319
24/08/2026,119.08
21/08/2026,119.473
20/08/2026,119.931
19/08/2026,119.607
18/08/2026,120.205
17/08/2026,119.051
14/08/2026,118.9
13/08/2026,119.49
12/08/2026,121.197
11/08/2026,122.441
10/08/2026,121.657
07/08/2026,121.708
06/08/2026,122.635
05/08/2026,122.935
04/08/2026,122.476
03/08/2026,124.645
31/07/2026,128.654
30/07/2026,130.161
29/07/2026,130.829
28/07/2026,129.519
27/07/2026,130.537
24/07/2026,134.723
23/07/2026,134.329
22/07/2026,129.648
21/07/2026,129.182
20/07/2026,129.937
17/07/2026,130.284
16/07/2026,125.954
15/07/2026,123.687
14/07/2026,123.986
13/07/2026,124.156
10/07/2026,123.286
09/07/2026,123.56
08/07/2026,125.007
07/07/2026,121.822
06/07/2026,122.733
03/07/2026,125.376
02/07/2026,126.617
01/07/2026,127.15
30/06/2026,125.37
29/06/2026,125.027
26/06/2026,124.857
25/06/2026,124.721
24/06/2026,126.355
23/06/2026,126.794
22/06/2026,124.113
19/06/2026,124.634
18/06/2026,124.748
17/06/2026,124.485
16/06/2026,122.259
15/06/2026,122.11
12/06/2026,126.312
11/06/2026,129.732
10/06/2026,130.359
09/06/2026,128.929
08/06/2026,131.494
05/06/2026,130.655
04/06/2026,129.534
03/06/2026,130.119
02/06/2026,127.82
01/06/2026,130.065
29/05/2026,130.057
28/05/2026,132.453
27/05/2026,134.425
26/05/2026,137.275
25/05/2026,140.972
22/05/2026,141.855
21/05/2026,144.875
20/05/2026,146.617
19/05/2026,152.179
18/05/2026,151.05
15/05/2026,150.171
14/05/2026,146.658
13/05/2026,148.845
12/05/2026,150.779
11/05/2026,145.977
08/05/2026,146.095
07/05/2026,145.638
06/05/2026,146.487
05/05/2026,154.294
04/05/2026,154.081
01/05/2026,153.834
30/04/2026,158.334
29/04/2026,160.922
28/04/2026,157.459
27/04/2026,154.368
24/04/2026,153.373
