quarter,net_income,net_rev,prof_margin_system
2010Q1,431.099,3515.37,0.12263261050757104
2010Q2,17459.0,133031.0,0.13124008689703903
2010Q3,536.719,3999.961,0.13418105826531812
2010Q4,24525.0,169651.0,0.1445614821014907
2011Q1,539.821,4605.066,0.11722329278234016
2011Q2,22526.0,135338.0,0.16644253646425985
2011Q3,676.616,5242.084,0.12907385688592551
2011Q4,21814.0,173449.0,0.1257660753305006
2012Q1,665.251,5821.977,0.11426548060907832
2012Q2,22461.0,148292.0,0.15146467779785827
2012Q3,877.748,6570.530000000001,0.13358861461708568
2012Q4,26495.0,186732.0,0.1418878392562603
2013Q1,1036.925,7708.297,0.1345206340648265
2013Q2,25850.0,162573.0,0.15900549291702804
2013Q3,1144.203,8279.903,0.13819038701298794
2013Q4,28719.0,111845.0,0.25677500111761814
2014Q1,1224.116,8563.43,0.14294692664037656
2014Q2,29228.0,181309.0,0.16120545587918966
2014Q3,1302.983,8814.953000000001,0.1478150819408793
2014Q4,32875.0,173706.0,0.18925655993460214
2015Q1,1506.125,9858.517,0.15277399227490301
2015Q2,37330.0,201468.0,0.1852899716083944
2015Q3,1673.607,10067.485,0.16623883720710783
2015Q4,34665.0,210034.0,0.1650447070474304
2016Q1,1923.086,11139.926000000001,0.17263005158203024
2016Q2,36075.0,215388.0,0.1674884394673798
2016Q3,1967.598,12356.702,0.15923326466884125
2016Q4,36255.0,201677.0,0.17976764826926223
2017Q1,2281.7980000000002,13189.761,0.17299767600034605
2017Q2,37620.0,231539.0,0.1624780274597368
2017Q3,2306.434,13767.014,0.16753335182197102
2017Q4,39395.0,207510.0,0.18984627246879668
2018Q1,2669.831,14505.365,0.18405817433756408
2018Q2,40929.0,232294.0,0.17619482207891723
2018Q3,2740.458,14657.143,0.18697081689112266
2018Q4,46094.0,232209.0,0.19850221136992968
2019Q1,3089.284,14710.595,0.21000401411363717
2019Q2,43775.0,268804.0,0.16285099924108273
2019Q3,3209.159,15816.634,0.20289772147474616
2019Q4,39889.0,275740.0,0.1446616377747153
2020Q1,4177.1,17548.342,0.23803388377089985
2020Q2,10667.0,256037.0,0.041661947296679776
2020Q3,732.766,16508.676,0.04438672126099028
2020Q4,28866.0,244568.0,0.11802852376435184
2021Q1,3993.658,17596.380999999998,0.2269590548192836
2021Q2,42150.0,243075.0,0.1734032705954952
2021Q3,4167.633,18350.295,0.22711531340504337
2021Q4,46657.0,258119.0,0.18075771252794254
2022Q1,4875.593,20435.839,0.23858051533876343
2022Q2,52405.0,274122.0,0.1911740028162643
2022Q3,4803.123,21476.018,0.22365053894069187
2022Q4,55070.0,332363.0,0.1656923303737179
2023Q1,5153.214,24326.584,0.21183467436282877
2023Q2,61039.0,370732.0,0.16464454107009915
2023Q3,5310.884,26879.729,0.19757952172806503
2023Q4,62095.0,399200.0,0.15554859719438877
2024Q1,6197.093,29390.396,0.2108543552798676
2024Q2,60929.0,350431.0,0.17386875019618697
2024Q3,6774.495,31537.803,0.214805546220198
2024Q4,67414.0,424229.0,0.15890945692067257
2025Q1,7659.232,33863.286,0.2261810032257354
2025Q2,66463.0,360221.0,0.18450617815174572
2025Q3,8348.74,35782.742,0.23331750261061604
2025Q4,63235.0,433398.0,0.1459051495392226
2026Q1,9209.155999999999,30663.271,0.30033182043755213
2026Q2,22075.0,181795.0,0.12142798206771363
2026Q3,27247.0,104859.0,0.2598441716972315
