DATES,EMBI
27/08/2026,21.735
26/08/2026,21.841
25/08/2026,21.939
24/08/2026,21.803
21/08/2026,22.02
20/08/2026,22.268
19/08/2026,22.345
18/08/2026,22.378
17/08/2026,22.191
14/08/2026,22.124
13/08/2026,22.395
12/08/2026,22.442
11/08/2026,22.661
10/08/2026,22.562
07/08/2026,22.675
06/08/2026,22.407
05/08/2026,22.412
04/08/2026,22.773
03/08/2026,22.932
31/07/2026,22.908
30/07/2026,23.568
29/07/2026,23.393
28/07/2026,23.275
27/07/2026,22.914
24/07/2026,23.327
23/07/2026,22.768
22/07/2026,22.691
21/07/2026,22.644
20/07/2026,22.757
17/07/2026,23.164
16/07/2026,22.561
15/07/2026,22.634
14/07/2026,22.669
13/07/2026,22.666
10/07/2026,22.411
09/07/2026,22.483
08/07/2026,22.699
07/07/2026,22.382
06/07/2026,22.361
03/07/2026,22.5
02/07/2026,22.401
01/07/2026,22.358
30/06/2026,22.406
29/06/2026,22.233
26/06/2026,22.75
25/06/2026,22.075
24/06/2026,22.722
23/06/2026,22.557
22/06/2026,21.723
19/06/2026,21.92
18/06/2026,21.9
17/06/2026,21.809
16/06/2026,21.955
15/06/2026,21.917
12/06/2026,22.569
11/06/2026,23.378
10/06/2026,23.313
09/06/2026,23.417
08/06/2026,23.619
05/06/2026,22.902
04/06/2026,22.922
03/06/2026,22.85
02/06/2026,22.463
01/06/2026,22.25
29/05/2026,22.242
28/05/2026,22.12
27/05/2026,21.489
26/05/2026,21.838
22/05/2026,22.342
21/05/2026,22.885
20/05/2026,23.877
19/05/2026,23.779
18/05/2026,23.821
15/05/2026,23.869
14/05/2026,23.855
13/05/2026,24.18
12/05/2026,24.58
11/05/2026,24.854
08/05/2026,25.419
07/05/2026,26.622
06/05/2026,27.763
05/05/2026,28.689
04/05/2026,28.504
01/05/2026,28.87
30/04/2026,28.949
29/04/2026,28.643
28/04/2026,28.726
27/04/2026,28.782
24/04/2026,29.129
23/04/2026,29.358
22/04/2026,29.327
21/04/2026,29.13
20/04/2026,29.358
17/04/2026,29.461
16/04/2026,29.514
15/04/2026,29.887
14/04/2026,30.068
13/04/2026,30.748
10/04/2026,30.487
09/04/2026,30.742
08/04/2026,29.794
07/04/2026,33.849
03/04/2026,34.48
02/04/2026,34.454
01/04/2026,33.784
31/03/2026,35.378
30/03/2026,35.965
27/03/2026,35.417
26/03/2026,34.272
25/03/2026,32.809
24/03/2026,34.798
23/03/2026,35.397
20/03/2026,33.348
19/03/2026,29.902
18/03/2026,27.78
17/03/2026,28.611
16/03/2026,29.214
13/03/2026,28.704
12/03/2026,27.844
11/03/2026,27.276
10/03/2026,26.763
09/03/2026,28.567
06/03/2026,25.037
05/03/2026,25.056
04/03/2026,26.833
03/03/2026,25.623
02/03/2026,25.484
27/02/2026,24.61
26/02/2026,23.585
25/02/2026,23.212
24/02/2026,23.248
23/02/2026,22.858
20/02/2026,22.663
19/02/2026,22.433
18/02/2026,22.478
17/02/2026,22.467
16/02/2026,22.403
13/02/2026,22.605
12/02/2026,22.073
11/02/2026,21.836
10/02/2026,21.793
09/02/2026,21.843
06/02/2026,21.816
05/02/2026,21.417
04/02/2026,21.155
03/02/2026,21.084
02/02/2026,21.313
30/01/2026,21.503
29/01/2026,21.369
28/01/2026,21.294
27/01/2026,21.42
26/01/2026,20.794
23/01/2026,20.922
22/01/2026,20.832
21/01/2026,21.084
20/01/2026,21.374
19/01/2026,20.867
16/01/2026,20.747
15/01/2026,20.708
14/01/2026,20.793
13/01/2026,20.667
12/01/2026,20.915
09/01/2026,20.835
08/01/2026,21.408
07/01/2026,21.169
06/01/2026,21.268
05/01/2026,21.418
02/01/2026,21.662
01/01/2026,21.757
31/12/2025,21.854
