quarter,net_income,net_rev,prof_margin_system
2009Q2,-86675.0,0.0,-inf
2009Q3,306520.0,0.0,inf
2009Q4,413698.0,0.0,inf
2010Q1,366650.0,6105630.0,0.06005113313450045
2010Q2,3417034.0,18759136.0,0.18215305864833006
2010Q3,528464.0,17242047.0,0.030649725058747374
2010Q4,1907541.0,17388887.0,0.10969885536664882
2011Q1,598591.0,18124356.0,0.0330268838241756
2011Q2,3174473.0,18703358.0,0.16972743611067062
2011Q3,3617074.0,20679033.0,0.17491504559231566
2011Q4,2562584.7868,19092021.6972,0.1342228092678013
2012Q1,1379135.7305,20604200.175499998,0.06693468898345785
2012Q2,4018799.3607,22647309.3607,0.17745151517530133
2012Q3,2075482.3069,21425640.2995,0.09686909132645312
2012Q4,2146280.0297,21537125.0297,0.09965489946964831
2013Q1,729757.7935,20335616.7935,0.03588569753798946
2013Q2,1801283.8092,19470180.8092,0.09251500162488795
2013Q3,1499681.0559,18891910.282899998,0.07938218176154666
2013Q4,1755992.7362,19859274.1425,0.08842179848064405
2014Q1,-58995.875,20781247.93,-0.0028388995309003083
2014Q2,1921956.4643,18752226.5008,0.10249217415425345
2014Q3,2088580.0664,19387771.4755,0.10772667034162763
2014Q4,2023569.7491000001,19220086.6302,0.10528411177504372
2015Q1,2214502.3988,21351673.2276,0.10371563742074548
2015Q2,2507194.0889,20044205.8271,0.12508323405411473
2015Q3,2241478.6091,20399781.1822,0.10987758099365404
2015Q4,2169292.4117,18927054.4513,0.11461331277308197
2016Q1,1153688.1232,20645633.143799998,0.05588049129636207
2016Q2,2873333.1269,19399551.7458,0.14811337728574456
2016Q3,2500591.6338,19470875.8318,0.12842728059084083
2016Q4,2615416.9411,19198761.677,0.13622841853562115
2017Q1,1610398.1316,19891967.5445,0.08095720687244257
2017Q2,3741429.8906,20556498.7799,0.182007156503633
2017Q3,3556478.1999,22770304.087700002,0.15618931509224457
2017Q4,3260052.1616,23264028.0806,0.14013274701635076
2018Q1,1613108.2696,24833581.690899998,0.06495673035320179
2018Q2,3957543.4605,24739991.4824,0.15996543342851963
2018Q3,3987480.3137,25739086.984300002,0.15491926019490249
2018Q4,3843662.1296,25936813.8376,0.14819330368281133
2019Q1,1577144.4172,23430163.6399,0.06731256518047654
2019Q2,3805610.1034,27482695.0216,0.13847295908967383
2019Q3,4064941.5239,27593486.5057,0.14731525583257857
2019Q4,3965985.1174999997,27581758.4111,0.14379014776316543
2020Q1,1959911.691,27584668.9008,0.07105076004530761
2020Q2,3677935.9145,27301038.4176,0.13471780297298022
2020Q3,3391570.0555,27933510.7577,0.1214158179012675
2020Q4,4289368.4471,27607010.6323,0.15537243435120318
2021Q1,2333164.7739,29507540.0486,0.07907012140141781
2021Q2,5049076.393,28493466.8035,0.17720119590290767
2021Q3,5390780.8091,28744784.3067,0.18753944199342926
2021Q4,5328755.3416,29026361.474,0.18358330396915803
2022Q1,3191262.9863,31672579.6566,0.10075791176153844
2022Q2,5906347.3566,28184374.5256,0.2095610584238879
2022Q3,5317246.7478,29495233.8085,0.18027477870908298
2022Q4,6383738.929,33253382.5045,0.19197261896999868
2023Q1,2650148.9468,36572410.0579,0.072463065535041
2023Q2,6322628.7795,43580570.6677,0.14507907268378323
2023Q3,5535008.2763,43650412.8639,0.12680311394895402
2023Q4,5727869.839,43972670.3751,0.13025976794539793
2024Q1,1943568.1528,48811038.739700004,0.039818209220350335
2024Q2,5647977.5925,46577299.918,0.12126030496493669
2024Q3,6330465.7042,47432128.2535,0.1334636656058729
2024Q4,6411781.9413,47361766.3037,0.1353788602432063
2025Q1,2668543.1073000003,46256896.4195,0.057689627144441376
2025Q2,6359689.3105999995,45915355.3512,0.1385089859798676
2025Q3,6887662.2996,46822677.0,0.1471009933840391
2025Q4,6968843.1671,46488634.0,0.1499042360999465
2026Q1,2876433.2963,49430189.0,0.058191832855423634
2026Q2,6797349.8993999995,47450959.0,0.1432500004773349
2026Q3,7395146.797499999,53851863.0,0.13732388046630808
