DATES,CPI
31/12/2016,100.0
31/01/2017,101.5859
28/02/2017,103.6859
31/03/2017,106.1476
30/04/2017,108.9667
31/05/2017,110.5301
30/06/2017,111.8477
31/07/2017,113.7852
31/08/2017,115.3819
30/09/2017,117.5719
31/10/2017,119.3528
30/11/2017,120.994
31/12/2017,124.7956
31/01/2018,126.9887
28/02/2018,130.0606
31/03/2018,133.1054
30/04/2018,136.7512
31/05/2018,139.5893
30/06/2018,144.8053
31/07/2018,149.2966
31/08/2018,155.1034
30/09/2018,165.2383
31/10/2018,174.1473
30/11/2018,179.6388
31/12/2018,184.2552
31/01/2019,189.6101
28/02/2019,196.7501
31/03/2019,205.9571
30/04/2019,213.0517
31/05/2019,219.5691
30/06/2019,225.537
31/07/2019,230.494
31/08/2019,239.6077
30/09/2019,253.7102
31/10/2019,262.0661
30/11/2019,273.2158
31/12/2019,283.4442
31/01/2020,289.8299
29/02/2020,295.666
31/03/2020,305.5515
30/04/2020,310.1243
31/05/2020,314.9087
30/06/2020,321.9738
31/07/2020,328.2014
31/08/2020,337.0632
30/09/2020,346.6207
31/10/2020,359.657
30/11/2020,371.0211
31/12/2020,385.8826
31/01/2021,401.5071
28/02/2021,415.8595
31/03/2021,435.8657
30/04/2021,453.6503
31/05/2021,468.725
30/06/2021,483.6049
31/07/2021,498.0987
31/08/2021,510.3942
30/09/2021,528.4968
31/10/2021,547.0802
30/11/2021,560.9184
31/12/2021,582.4575
31/01/2022,605.0317
28/02/2022,633.4341
31/03/2022,676.0566
30/04/2022,716.9399
31/05/2022,753.147
30/06/2022,793.0278
31/07/2022,851.761
31/08/2022,911.1316
30/09/2022,967.3076
31/10/2022,1028.706
30/11/2022,1079.2787
31/12/2022,1134.5875
31/01/2023,1202.979
28/02/2023,1282.7091
31/03/2023,1381.1601
30/04/2023,1497.2147
31/05/2023,1613.5895
30/06/2023,1709.6115
31/07/2023,1818.0838
31/08/2023,2044.2832
30/09/2023,2304.9242
31/10/2023,2496.273
30/11/2023,2816.0628
31/12/2023,3533.1922
31/01/2024,4261.5324
29/02/2024,4825.7881
31/03/2024,5357.0929
30/04/2024,5830.2271
31/05/2024,6073.7165
30/06/2024,6351.7145
31/07/2024,6607.7479
31/08/2024,6883.4412
30/09/2024,7122.2421
31/10/2024,7313.9542
30/11/2024,7491.4314
31/12/2024,7694.0075
31/01/2025,7864.1257
28/02/2025,8052.9927
31/03/2025,8353.3158
30/04/2025,8585.6078
31/05/2025,8714.4871
30/06/2025,8855.5681
31/07/2025,9023.973
31/08/2025,9193.2441
30/09/2025,9384.0922
31/10/2025,9603.8623
30/11/2025,9841.3581
31/12/2025,10121.3715
31/01/2026,10413.0309
28/02/2026,10714.6255
31/03/2026,11077.0608
30/04/2026,11363.0904
31/05/2026,11607.3937
