DATES,STX
29/06/2026,3176751.0
26/06/2026,3123411.0
25/06/2026,3096068.0
24/06/2026,3110490.0
23/06/2026,3248428.0
22/06/2026,3277512.0
19/06/2026,3291322.0
18/06/2026,3333407.0
17/06/2026,3291883.0
16/06/2026,3254706.0
12/06/2026,3352708.0
11/06/2026,3353008.0
10/06/2026,3153150.0
09/06/2026,3150727.0
08/06/2026,3112024.0
05/06/2026,3084617.0
04/06/2026,3174511.0
03/06/2026,3164196.0
02/06/2026,3224264.0
01/06/2026,3242788.0
29/05/2026,3166407.0
28/05/2026,3089497.0
27/05/2026,3072011.0
26/05/2026,2924356.0
22/05/2026,2846220.0
21/05/2026,2877439.0
20/05/2026,2788517.0
19/05/2026,2774731.0
18/05/2026,2816245.0
15/05/2026,2707869.0
14/05/2026,2747310.0
13/05/2026,2738355.0
12/05/2026,2792993.0
11/05/2026,2833120.0
08/05/2026,2769127.0
07/05/2026,2834283.0
06/05/2026,2881352.0
05/05/2026,2759257.0
04/05/2026,2767137.0
30/04/2026,2832851.0
29/04/2026,2838835.0
28/04/2026,2869560.0
27/04/2026,2866257.0
24/04/2026,2840788.0
23/04/2026,2831849.0
22/04/2026,2898692.0
21/04/2026,2940100.0
20/04/2026,2931701.0
17/04/2026,2889185.0
16/04/2026,2923833.0
15/04/2026,2917889.0
14/04/2026,2950635.0
13/04/2026,2991782.0
10/04/2026,2998770.0
09/04/2026,2999608.0
08/04/2026,3011186.0
07/04/2026,2972630.0
06/04/2026,3006248.0
01/04/2026,2999342.0
31/03/2026,2997780.0
30/03/2026,2865754.0
27/03/2026,2793847.0
26/03/2026,2769369.0
25/03/2026,2805317.0
23/03/2026,2778025.0
20/03/2026,2725326.0
19/03/2026,2768682.0
18/03/2026,2693891.0
17/03/2026,2663049.0
16/03/2026,2606351.0
13/03/2026,2642584.0
12/03/2026,2695424.0
11/03/2026,2770635.0
10/03/2026,2700255.0
09/03/2026,2632795.0
06/03/2026,2626115.0
05/03/2026,2570733.0
04/03/2026,2579970.0
03/03/2026,2597025.0
02/03/2026,2603094.0
27/02/2026,2642106.0
26/02/2026,2754420.0
25/02/2026,2799876.0
24/02/2026,2812414.0
23/02/2026,2763059.0
20/02/2026,2873248.0
19/02/2026,2839106.0
18/02/2026,2723175.0
13/02/2026,2816128.0
12/02/2026,2851780.0
11/02/2026,3017641.0
10/02/2026,3060606.0
09/02/2026,2976664.0
06/02/2026,2977119.0
05/02/2026,2932838.0
04/02/2026,3015927.0
03/02/2026,3038541.0
02/02/2026,3106672.0
30/01/2026,3199554.0
29/01/2026,3211242.0
28/01/2026,3230714.0
27/01/2026,3244320.0
26/01/2026,3131277.0
23/01/2026,3093535.0
22/01/2026,3066435.0
21/01/2026,3047554.0
20/01/2026,2942092.0
19/01/2026,2912976.0
16/01/2026,2933230.0
15/01/2026,2926727.0
14/01/2026,2950111.0
13/01/2026,3036293.0
12/01/2026,3076947.0
09/01/2026,3089461.0
08/01/2026,3074880.0
07/01/2026,3013957.0
06/01/2026,3112377.0
05/01/2026,3130197.0
02/01/2026,3126292.0
30/12/2025,3051617.0
29/12/2025,3100075.0
26/12/2025,3112380.0
24/12/2025,3121145.0
23/12/2025,3114970.0
22/12/2025,3136090.0
19/12/2025,3139467.0
18/12/2025,3163224.0
17/12/2025,3035517.0
16/12/2025,3034429.0
15/12/2025,3012681.0
12/12/2025,2979065.0
11/12/2025,2980581.0
10/12/2025,3013647.0
09/12/2025,2987064.0
05/12/2025,3046355.0
04/12/2025,3096396.0
03/12/2025,3129449.0
02/12/2025,3042001.0
01/12/2025,3060289.0
28/11/2025,3026470.0
27/11/2025,3020019.0
26/11/2025,2985632.0
25/11/2025,2865760.0
21/11/2025,2761615.0
20/11/2025,2850533.0
19/11/2025,2869724.0
18/11/2025,2932664.0
17/11/2025,2926871.0
14/11/2025,2992809.0
13/11/2025,2883333.0
12/11/2025,2984608.0
11/11/2025,2958258.0
10/11/2025,2951889.0
07/11/2025,2864647.0
06/11/2025,2973544.0
05/11/2025,3048197.0
04/11/2025,3080710.0
03/11/2025,3104495.0
31/10/2025,3002607.0
30/10/2025,2793520.0
29/10/2025,2801881.0
28/10/2025,2670388.0
27/10/2025,2529084.0
24/10/2025,2076859.0
23/10/2025,2055520.0
22/10/2025,2018811.0
21/10/2025,2002849.0
20/10/2025,1978419.0
17/10/2025,1989555.0
16/10/2025,1929505.0
15/10/2025,1912739.0
14/10/2025,1884774.0
13/10/2025,1958155.0
09/10/2025,1924930.0
08/10/2025,1819464.0
07/10/2025,1793952.0
06/10/2025,1802570.0
03/10/2025,1805024.0
02/10/2025,1808661.0
01/10/2025,1764590.0
30/09/2025,1773440.0
29/09/2025,1793185.0
26/09/2025,1791046.0
25/09/2025,1767848.0
24/09/2025,1843319.0
23/09/2025,1815382.0
22/09/2025,1811039.0
19/09/2025,1683960.0
18/09/2025,1695530.0
17/09/2025,1783520.0
16/09/2025,1788269.0
15/09/2025,1748702.0
12/09/2025,1759874.0
11/09/2025,1805182.0
10/09/2025,1825228.0
09/09/2025,1728447.0
08/09/2025,1732924.0
05/09/2025,1997624.0
04/09/2025,1990320.0
03/09/2025,1933987.0
02/09/2025,1975730.0
01/09/2025,1939743.0
29/08/2025,1984845.0
28/08/2025,1997379.0
27/08/2025,1974151.0
26/08/2025,2033345.0
25/08/2025,2021852.0
22/08/2025,2106200.0
21/08/2025,2103163.0
20/08/2025,2081951.0
19/08/2025,2092206.0
18/08/2025,2198382.0
14/08/2025,2188543.0
13/08/2025,2287631.0
12/08/2025,2311836.0
11/08/2025,2303302.0
08/08/2025,2300926.0
07/08/2025,2349021.0
06/08/2025,2415041.0
05/08/2025,2346867.0
04/08/2025,2287329.0
01/08/2025,2278849.0
31/07/2025,2319511.0
30/07/2025,2306756.0
29/07/2025,2304343.0
28/07/2025,2213570.0
25/07/2025,2197099.0
24/07/2025,2135087.0
23/07/2025,2083677.0
22/07/2025,2010482.0
21/07/2025,2042466.0
18/07/2025,2075286.0
17/07/2025,2066134.0
16/07/2025,2027274.0
15/07/2025,2075072.0
14/07/2025,2064025.0
11/07/2025,2007433.0
10/07/2025,2068736.0
08/07/2025,2129786.0
07/07/2025,2049934.0
04/07/2025,2078697.0
03/07/2025,2078161.0
02/07/2025,2063027.0
01/07/2025,2031093.0
30/06/2025,1994825.0
27/06/2025,2041078.0
26/06/2025,2038948.0
25/06/2025,2024393.0
24/06/2025,2064590.0
23/06/2025,1977116.0
19/06/2025,2064099.0
18/06/2025,2050983.0
17/06/2025,2072440.0
13/06/2025,2127156.0
12/06/2025,2187671.0
11/06/2025,2171272.0
10/06/2025,2202667.0
09/06/2025,2111197.0
06/06/2025,2156778.0
05/06/2025,2124156.0
04/06/2025,2126915.0
03/06/2025,2224638.0
02/06/2025,2206291.0
30/05/2025,2278992.0
29/05/2025,2308056.0
28/05/2025,2344330.0
27/05/2025,2355098.0
26/05/2025,2370800.0
23/05/2025,2345902.0
22/05/2025,2314897.0
21/05/2025,2319549.0
20/05/2025,2378464.0
19/05/2025,2369505.0
16/05/2025,2318360.0
15/05/2025,2298473.0
14/05/2025,2301643.0
13/05/2025,2285483.0
12/05/2025,2230395.0
09/05/2025,2114386.0
08/05/2025,2061722.0
07/05/2025,2059915.0
06/05/2025,2129994.0
05/05/2025,2059932.0
30/04/2025,2100844.0
29/04/2025,2158848.0
28/04/2025,2179249.0
25/04/2025,2225243.0
24/04/2025,2232745.0
23/04/2025,2239402.0
22/04/2025,2163891.0
21/04/2025,2045707.0
16/04/2025,2177975.0
15/04/2025,2284280.0
14/04/2025,2364950.0
11/04/2025,2248803.0
10/04/2025,2111490.0
09/04/2025,2182907.0
08/04/2025,1990621.0
07/04/2025,2025967.0
04/04/2025,2107816.0
03/04/2025,2275659.0
01/04/2025,2356531.0
31/03/2025,2338761.0
28/03/2025,2378563.0
27/03/2025,2412082.0
26/03/2025,2439966.0
25/03/2025,2487680.0
21/03/2025,2433538.0
20/03/2025,2361583.0
19/03/2025,2392030.0
18/03/2025,2288538.0
17/03/2025,2346306.0
14/03/2025,2335575.0
13/03/2025,2232180.0
12/03/2025,2272937.0
11/03/2025,2159500.0
10/03/2025,2138846.0
07/03/2025,2262289.0
06/03/2025,2270181.0
05/03/2025,2290050.0
28/02/2025,2205801.0
27/02/2025,2193657.0
26/02/2025,2275037.0
25/02/2025,2282899.0
24/02/2025,2348398.0
21/02/2025,2364529.0
20/02/2025,2410221.0
19/02/2025,2401580.0
18/02/2025,2391725.0
17/02/2025,2254189.0
14/02/2025,2387386.0
13/02/2025,2353744.0
12/02/2025,2285846.0
11/02/2025,2273568.0
10/02/2025,2391368.0
07/02/2025,2416382.0
06/02/2025,2503483.0
05/02/2025,2477714.0
04/02/2025,2523647.0
03/02/2025,2484136.0
31/01/2025,2564659.0
30/01/2025,2599329.0
29/01/2025,2545356.0
28/01/2025,2435629.0
27/01/2025,2439099.0
24/01/2025,2566082.0
23/01/2025,2625050.0
22/01/2025,2680946.0
21/01/2025,2619719.0
20/01/2025,2536837.0
17/01/2025,2510886.0
16/01/2025,2629377.0
15/01/2025,2704474.0
14/01/2025,2733273.0
13/01/2025,2655179.0
10/01/2025,2805140.0
09/01/2025,2829730.0
08/01/2025,2782477.0
07/01/2025,2822175.0
06/01/2025,2801221.0
03/01/2025,2728911.0
02/01/2025,2695646.0
30/12/2024,2533635.0
27/12/2024,2577546.0
26/12/2024,2597389.0
24/12/2024,2551020.0
23/12/2024,2501153.0
20/12/2024,2467562.0
19/12/2024,2419894.0
18/12/2024,2521017.0
17/12/2024,2592201.0
16/12/2024,2543202.0
13/12/2024,2370662.0
12/12/2024,2304090.0
11/12/2024,2291149.0
10/12/2024,2201246.0
09/12/2024,2228859.0
06/12/2024,2202444.0
05/12/2024,2211583.0
04/12/2024,2216278.0
03/12/2024,2303990.0
02/12/2024,2295432.0
29/11/2024,2258295.0
28/11/2024,2230803.0
27/11/2024,2205245.0
26/11/2024,2252266.0
25/11/2024,2218551.0
22/11/2024,2211988.0
21/11/2024,2140096.0
20/11/2024,2145972.0
19/11/2024,2124413.0
15/11/2024,2066915.0
14/11/2024,2087647.0
13/11/2024,2042551.0
12/11/2024,2012041.0
11/11/2024,1987846.0
08/11/2024,1964487.0
07/11/2024,2015558.0
06/11/2024,1976613.0
05/11/2024,1931281.0
04/11/2024,1919066.0
01/11/2024,1879879.0
31/10/2024,1848744.0
30/10/2024,1837535.0
29/10/2024,1845639.0
28/10/2024,1851914.0
25/10/2024,1872785.0
