DATES,rEER
199401,464.79
199402,462.12
199403,457.07
199404,457.75
199405,454.58
199406,450.92
199407,453.51
199408,446.57
199409,440.64
199410,433.66
199411,432.16
199412,436.0
199501,437.12
199502,431.96
199503,426.42
199504,420.49
199505,416.83
199506,413.6
199507,413.82
199508,418.22
199509,420.8
199510,418.35
199511,417.33
199512,418.03
199601,418.96
199602,416.25
199603,413.38
199604,412.36
199605,411.95
199606,411.24
199607,411.42
199608,409.34
199609,410.88
199610,414.2
199611,411.72
199612,413.04
199701,417.08
199702,423.53
199703,423.44
199704,421.48
199705,419.56
199706,420.87
199707,425.62
199708,431.27
199709,428.61
199710,426.66
199711,427.11
199712,436.35
199801,444.59
199802,443.44
199803,442.2
199804,440.74
199805,439.38
199806,443.95
199807,446.65
199808,449.49
199809,443.87
199810,435.33
199811,436.88
199812,436.01
199901,465.55
199902,500.23
199903,497.32
199904,480.49
199905,477.27
199906,486.38
199907,488.9
199908,487.58
199909,486.16
199910,486.57
199911,484.85
199912,478.88
200001,477.85
200002,479.48
200003,473.07
200004,475.61
200005,485.69
200006,476.66
200007,477.27
200008,479.46
200009,483.7
200010,490.44
200011,492.7
200012,487.23
200101,481.64
200102,484.31
200103,493.51
200104,504.83
200105,510.87
200106,515.36
200107,518.48
200108,511.1
200109,516.29
200110,519.14
200111,509.44
200112,497.0
200201,509.82
200202,254.96
200203,216.99
200204,197.7
200205,184.05
200206,177.69
200207,186.52
200208,196.16
200209,200.47
200210,207.39
200211,208.09
200212,208.49
200301,219.64
200302,229.15
200303,232.7
200304,238.23
200305,234.43
200306,234.63
200307,238.1
200308,231.66
200309,227.31
200310,228.76
200311,229.19
200312,219.99
200401,219.48
200402,218.93
200403,221.91
200404,229.7
200405,230.36
200406,227.01
200407,224.9
200408,220.67
200409,219.21
200410,218.8
200411,215.36
200412,211.63
200501,214.81
200502,216.26
200503,220.76
200504,218.97
200505,217.74
200506,221.47
200507,223.65
200508,221.31
200509,218.74
200510,215.81
200511,215.57
200512,216.82
200601,212.86
200602,209.98
200603,211.08
200604,210.89
200605,211.69
200606,215.14
200607,213.52
200608,212.75
200609,213.7
200610,215.07
200611,216.9
200612,217.18
200701,218.24
200702,214.67
200703,214.63
200704,212.92
200705,211.25
200706,210.33
200707,205.13
200708,206.53
200709,204.67
200710,198.82
200711,197.79
200712,199.34
200801,198.57
200802,194.71
200803,192.23
200804,190.94
200805,191.38
200806,196.37
200807,196.04
200808,199.67
200809,207.65
200810,219.71
200811,221.01
200812,218.15
200901,214.12
200902,214.38
200903,206.45
200904,199.03
200905,190.43
200906,183.67
200907,181.78
200908,177.59
200909,176.61
200910,174.46
200911,175.05
200912,177.8
201001,180.7
201002,183.9
201003,182.44
201004,181.59
201005,186.56
201006,187.82
201007,185.28
201008,184.8
201009,182.25
201010,178.07
201011,179.7
201012,180.3
201101,179.09
201102,176.18
201103,174.5
201104,169.53
201105,170.38
201106,170.02
201107,169.16
201108,169.23
201109,176.0
201110,178.12
201111,177.85
201112,180.36
201201,178.51
201202,173.87
201203,177.23
201204,178.69
201205,183.82
201206,187.64
201207,185.4
201208,183.19
201209,179.55
201210,177.84
201211,178.18
201212,175.56
201301,172.84
201302,169.12
201303,168.67
201304,167.5
201305,167.04
201306,169.15
201307,169.86
201308,168.39
201309,162.7
201310,157.61
201311,157.53
201312,152.22
201401,142.13
201402,131.28
201403,132.07
201404,131.15
201405,131.93
201406,132.49
201407,133.65
201408,134.12
201409,135.92
201410,139.12
201411,142.76
201412,146.32
201501,148.82
201502,151.4
201503,157.17
201504,155.09
201505,153.88
201506,154.5
201507,157.3
201508,162.32
201509,166.92
201510,165.83
201511,166.86
201512,151.13
201601,130.79
201602,122.02
201603,119.55
201604,125.83
201605,133.67
201606,137.06
201607,131.17
201608,130.23
201609,129.93
201610,131.95
201611,136.07
201612,134.23
201701,133.25
201702,136.7
201703,140.55
201704,145.23
201705,143.88
201706,142.38
201707,134.2
201708,131.55
201709,134.23
201710,135.92
201711,137.62
201712,141.15
201801,129.76
201802,126.25
201803,127.24
201804,131.87
201805,119.19
201806,111.66
201807,111.08
201808,108.75
201809,90.76
201810,96.06
201811,102.02
201812,101.36
201901,103.64
201902,104.11
201903,102.28
201904,100.75
201905,101.31
201906,105.03
201907,109.96
201908,95.72
201909,93.68
201910,93.16
201911,94.75
201912,97.18
202001,98.4
202002,99.54
202003,104.11
202004,105.11
202005,104.94
202006,100.89
202007,99.23
202008,98.91
202009,98.27
202010,99.0
202011,97.05
202012,94.54
202101,93.94
202102,94.1
202103,97.95
202104,99.36
202105,99.17
202106,99.67
202107,102.67
202108,104.53
202109,106.74
202110,110.46
202111,111.71
202112,114.92
202201,115.69
202202,115.33
202203,118.27
202204,119.94
202205,123.82
202206,125.12
202207,131.98
202208,132.77
202209,134.98
202210,136.49
202211,133.07
202212,128.64
202301,126.71
202302,127.98
202303,130.66
202304,130.75
202305,132.64
202306,130.62
202307,128.3
202308,120.21
202309,125.15
202310,137.45
202311,150.82
202312,102.86
202401,96.62
202402,108.76
202403,119.04
202404,128.55
202405,130.9
202406,135.79
202407,138.34
202408,139.61
202409,140.72
202410,142.87
202411,146.89
202412,150.5
202501,150.21
202502,148.26
202503,150.68
202504,146.22
202505,143.22
202506,139.94
202507,131.97
202508,127.89
202509,122.78
202510,123.15
202511,126.58
202512,127.79
202601,129.98
202602,134.48
202603,141.25
202604,143.93
202605,144.56
