DATES,CPI
31/01/1990,0.01
28/02/1990,0.01
31/03/1990,0.02
30/04/1990,0.02
31/05/1990,0.02
30/06/1990,0.02
31/07/1990,0.03
31/08/1990,0.03
30/09/1990,0.03
31/10/1990,0.04
30/11/1990,0.05
31/12/1990,0.05
31/01/1991,0.07
28/02/1991,0.08
31/03/1991,0.09
30/04/1991,0.09
31/05/1991,0.1
30/06/1991,0.11
31/07/1991,0.12
31/08/1991,0.14
30/09/1991,0.16
31/10/1991,0.2
30/11/1991,0.25
31/12/1991,0.31
31/01/1992,0.39
29/02/1992,0.48
31/03/1992,0.59
30/04/1992,0.71
31/05/1992,0.89
30/06/1992,1.07
31/07/1992,1.31
31/08/1992,1.6
30/09/1992,1.99
31/10/1992,2.5
30/11/1992,3.08
31/12/1992,3.86
31/01/1993,4.97
28/02/1993,6.21
31/03/1993,7.92
30/04/1993,10.16
31/05/1993,12.89
30/06/1993,16.8
31/07/1993,22.01
31/08/1993,29.35
30/09/1993,39.81
31/10/1993,53.39
30/11/1993,72.61
31/12/1993,100.0
31/01/1994,141.32
28/02/1994,198.65
31/03/1994,284.23
30/04/1994,406.05
31/05/1994,579.56
30/06/1994,859.14
31/07/1994,925.72
31/08/1994,942.85
30/09/1994,956.05
31/10/1994,983.01
30/11/1994,1012.11
31/12/1994,1029.32
31/01/1995,1044.14
28/02/1995,1054.69
31/03/1995,1071.78
30/04/1995,1098.47
31/05/1995,1121.54
30/06/1995,1145.99
31/07/1995,1174.18
31/08/1995,1186.16
30/09/1995,1200.04
31/10/1995,1216.84
30/11/1995,1235.21
31/12/1995,1255.59
31/01/1996,1273.92
29/02/1996,1282.96
31/03/1996,1286.68
30/04/1996,1298.65
31/05/1996,1315.27
30/06/1996,1332.76
31/07/1996,1348.75
31/08/1996,1355.49
30/09/1996,1355.76
31/10/1996,1360.91
30/11/1996,1365.54
31/12/1996,1370.05
31/01/1997,1381.15
28/02/1997,1387.37
31/03/1997,1396.8
30/04/1997,1405.18
31/05/1997,1406.73
30/06/1997,1411.65
31/07/1997,1414.19
31/08/1997,1413.77
30/09/1997,1415.18
31/10/1997,1419.28
30/11/1997,1421.41
31/12/1997,1429.51
31/01/1998,1441.66
28/02/1998,1449.44
31/03/1998,1456.54
30/04/1998,1463.09
31/05/1998,1473.62
30/06/1998,1475.83
31/07/1998,1471.7
31/08/1998,1464.49
30/09/1998,1459.95
31/10/1998,1461.56
30/11/1998,1458.93
31/12/1998,1465.06
31/01/1999,1474.58
28/02/1999,1493.6
31/03/1999,1512.72
30/04/1999,1519.83
31/05/1999,1520.59
30/06/1999,1521.65
31/07/1999,1532.91
31/08/1999,1541.34
30/09/1999,1547.35
31/10/1999,1562.2
30/11/1999,1576.88
31/12/1999,1588.55
31/01/2000,1598.24
29/02/2000,1599.04
31/03/2000,1601.12
30/04/2000,1602.56
31/05/2000,1601.76
30/06/2000,1606.57
31/07/2000,1628.9
31/08/2000,1648.61
30/09/2000,1655.7
31/10/2000,1658.35
30/11/2000,1663.16
31/12/2000,1672.31
31/01/2001,1685.19
28/02/2001,1693.45
31/03/2001,1701.58
