DATES,rEER
199001,152.00482538137635
199002,158.81533094973076
199003,170.90829086953175
199004,160.7600917552578
199005,160.05031872816303
199006,170.89948484264715
199007,170.65078654119407
199008,181.1898072410336
199009,197.73075506252903
199010,175.67539709960622
199011,156.70462080570653
199012,141.20267196706035
199101,98.75667741271579
199102,126.9201865288841
199103,133.645681161028
199104,135.77680198728825
199105,137.7081898205622
199106,148.2076329066142
199107,156.5489837927506
199108,163.71015215906925
199109,164.37946341984298
199110,144.6788583921444
199111,138.53684171681502
199112,128.14067423617632
199201,119.6695267202008
199202,119.15300095245125
199203,114.0718453080484
199204,114.38191685719278
199205,118.32306846183434
199206,119.5845886692392
199207,120.43298220298182
199208,122.48794544061022
199209,126.26052117459686
199210,130.44911040879916
199211,132.28220645201787
199212,134.14677287722176
199301,133.31432492118387
199302,129.56074726661112
199303,125.74739747619792
199304,122.6961626210124
199305,120.05060613277146
199306,121.57947576032922
199307,126.12597087180379
199308,129.4764103425426
199309,131.17397608474573
199310,132.4231089878647
199311,135.7511258976697
199312,139.1395537412149
199401,137.61
199402,135.75
199403,136.61
199404,135.71
199405,135.46
199406,136.91
199407,129.15
199408,135.56
199409,141.68
199410,147.36
199411,152.57
199412,155.2
199501,157.76
199502,158.83
199503,149.11
199504,146.48
199505,152.1
199506,152.07
199507,152.99
199508,154.98
199509,155.72
199510,155.4
199511,157.7
199512,159.93
199601,161.19
199602,161.44
199603,160.86
199604,162.33
199605,163.75
199606,164.72
199607,164.91
199608,163.41
199609,163.1
199610,162.94
199611,161.78
199612,162.61
199701,164.95
199702,166.96
199703,167.3
199704,168.25
199705,166.75
199706,166.44
199707,167.4
199708,168.14
199709,166.32
199710,165.15
199711,164.97
199712,168.75
199801,171.47
199802,169.47
199803,168.67
199804,167.15
199805,166.69
199806,167.18
199807,166.07
199808,164.38
199809,159.9
199810,155.31
199811,155.28
199812,153.48
199901,123.12
199902,98.78
199903,101.96
199904,114.6
199905,116.38
199906,111.93
199907,110.95
199908,105.38
199909,104.66
199910,101.38
199911,105.23
199912,111.18
200001,113.85
200002,115.87
200003,119.26
200004,118.76
200005,116.87
200006,116.23
200007,119.1
200008,121.39
200009,120.62
200010,118.99
200011,115.38
200012,113.56
200101,113.53
200102,111.65
200103,108.18
200104,104.06
200105,100.18
200106,97.64
200107,95.79
200108,93.32
200109,87.57
200110,86.38
200111,94.0
200112,102.05
200201,102.39
200202,106.66
200203,111.23
200204,113.17
200205,105.43
200206,95.96
200207,88.62
200208,83.76
200209,79.04
200210,70.12
200211,75.62
200212,75.55
200301,79.82
200302,76.95
200303,80.15
200304,88.77
200305,92.18
200306,94.08
200307,95.32
200308,92.4
200309,94.76
200310,95.11
200311,93.77
200312,92.25
200401,93.78
200402,91.54
200403,93.25
200404,93.77
200405,89.13
200406,87.77
200407,90.8
200408,92.78
200409,96.23
200410,96.66
200411,97.51
200412,99.54
200501,101.36
200502,105.1
200503,100.63
200504,106.77
200505,113.26
200506,116.44
200507,119.01
200508,118.21
200509,121.07
200510,125.3
200511,129.77
200512,125.78
200601,125.18
200602,132.42
200603,132.88
200604,132.7
200605,127.62
200606,124.09
200607,127.59
200608,128.54
200609,128.51
200610,130.33
200611,129.05
200612,127.92
200701,129.96
200702,132.68
200703,132.09
200704,134.15
200705,136.97
200706,140.91
200707,143.59
200708,138.61
200709,141.31
200710,147.22
200711,148.2
200712,147.43
200801,147.69
200802,150.43
200803,149.67
200804,150.27
200805,154.31
200806,157.97
200807,159.93
200808,161.95
200809,149.11
200810,128.53
200811,127.84
200812,120.61
200901,126.57
200902,128.91
200903,129.59
200904,134.11
200905,141.18
200906,148.38
200907,150.19
200908,156.1
200909,156.74
200910,162.65
200911,163.11
200912,162.21
201001,160.96
201002,158.08
201003,163.18
201004,166.38
201005,165.9
201006,167.88
201007,168.38
201008,167.57
201009,170.29
201010,170.53
201011,169.25
201012,173.1
201101,174.69
201102,174.61
201103,174.51
201104,180.95
201105,178.2
201106,180.84
201107,183.34
201108,180.05
201109,168.9
201110,167.04
201111,167.53
201112,165.14
201201,170.02
201202,174.88
201203,167.53
201204,162.94
201205,155.05
201206,151.97
201207,154.58
201208,153.66
201209,152.12
201210,152.07
201211,151.08
201212,150.2
201301,154.69
201302,159.94
201303,161.32
201304,160.48
201305,158.96
201306,149.65
201307,145.04
201308,139.17
201309,143.29
201310,148.38
201311,143.51
201312,141.66
201401,141.74
201402,143.13
201403,147.21
201404,153.83
201405,154.9
201406,154.82
201407,155.5
201408,153.68
201409,151.83
201410,146.52
201411,143.02
201412,141.37
201501,146.29
201502,138.98
201503,127.75
201504,131.6
201505,130.84
201506,129.74
201507,127.63
201508,118.36
201509,107.54
201510,108.07
201511,113.83
201512,113.51
201601,113.12
201602,115.8
201603,122.65
201604,125.92
201605,127.71
201606,131.72
201607,139.99
201608,142.41
201609,140.74
201610,144.55
201611,140.38
201612,141.92
201701,148.56
201702,151.33
201703,149.74
201704,148.13
201705,144.56
201706,139.36
201707,142.79
201708,143.75
201709,142.94
201710,142.07
201711,139.41
201712,137.45
201801,139.32
201802,136.52
201803,135.44
201804,130.53
201805,126.31
201806,124.9
201807,124.56
201808,122.56
201809,118.98
201810,130.44
201811,129.96
201812,126.53
201901,130.39
201902,130.83
201903,127.83
201904,126.6
201905,124.44
201906,128.09
201907,130.19
201908,125.91
201909,123.03
201910,123.13
201911,121.37
201912,123.2
202001,121.58
202002,117.14
202003,105.99
202004,98.83
202005,92.64
202006,99.13
202007,96.57
202008,92.78
202009,93.61
202010,90.32
202011,93.38
202012,98.04
202101,94.03
202102,93.25
202103,90.79
202104,92.06
202105,96.17
202106,101.77
202107,101.13
202108,99.91
202109,100.41
202110,96.38
202111,96.95
202112,96.28
202201,98.04
202202,104.57
202203,111.44
202204,117.82
202205,114.58
202206,112.82
202207,106.38
202208,110.75
202209,110.44
202210,111.67
202211,109.89
202212,108.92
202301,108.26
202302,110.03
202303,110.21
202304,114.09
202305,115.96
202306,119.53
202307,120.43
202308,119.57
202309,119.72
202310,117.5
202311,119.77
202312,120.67
202401,121.27
202402,120.38
202403,119.52
202404,117.19
202405,116.72
202406,111.87
202407,108.43
202408,106.53
202409,106.46
202410,106.55
202411,105.34
202412,101.41
202501,103.19
202502,107.99
202503,106.85
202504,106.0
202505,107.13
202506,108.52
202507,108.57
202508,110.4
202509,112.16
202510,112.16
202511,113.56
202512,110.39
202601,112.49
202602,114.34
202603,115.48
202604,119.24
202605,120.64
