DATES,CPI
31/12/1996,5.11
31/01/1997,7.61
28/02/1997,26.05
31/03/1997,28.07
30/04/1997,27.96
31/05/1997,28.48
30/06/1997,28.89
31/07/1997,29.61
31/08/1997,31.24
30/09/1997,32.44
31/10/1997,32.69
30/11/1997,33.01
31/12/1997,33.09
31/01/1998,33.79
28/02/1998,34.22
31/03/1998,34.27
30/04/1998,34.42
31/05/1998,33.84
30/06/1998,32.65
31/07/1998,32.42
31/08/1998,32.52
30/09/1998,33.56
31/10/1998,33.67
30/11/1998,33.49
31/12/1998,33.63
31/01/1999,34.42
28/02/1999,34.19
31/03/1999,33.86
30/04/1999,33.65
31/05/1999,33.35
30/06/1999,33.05
31/07/1999,34.16
31/08/1999,34.42
30/09/1999,34.93
31/10/1999,35.34
30/11/1999,35.5
31/12/1999,35.97
31/01/2000,36.84
29/02/2000,37.24
31/03/2000,37.13
30/04/2000,36.74
31/05/2000,36.79
30/06/2000,36.88
31/07/2000,37.11
31/08/2000,38.21
30/09/2000,39.07
31/10/2000,39.55
30/11/2000,39.85
31/12/2000,40.02
31/01/2001,40.27
28/02/2001,40.4
31/03/2001,40.42
30/04/2001,40.35
31/05/2001,40.37
30/06/2001,40.34
31/07/2001,40.26
31/08/2001,40.39
30/09/2001,40.9
31/10/2001,41.6
30/11/2001,41.69
31/12/2001,41.95
31/01/2002,43.08
28/02/2002,43.78
31/03/2002,44.12
30/04/2002,44.07
31/05/2002,43.16
30/06/2002,42.43
31/07/2002,42.47
31/08/2002,42.19
30/09/2002,42.53
31/10/2002,42.95
30/11/2002,43.02
31/12/2002,43.55
31/01/2003,43.83
28/02/2003,43.89
31/03/2003,44.05
30/04/2003,44.18
31/05/2003,43.91
30/06/2003,42.96
31/07/2003,43.34
31/08/2003,43.67
30/09/2003,44.08
31/10/2003,44.38
30/11/2003,45.2
31/12/2003,46.01
31/01/2004,46.64
29/02/2004,46.8
31/03/2004,46.77
30/04/2004,46.9
31/05/2004,46.91
30/06/2004,46.08
31/07/2004,46.64
31/08/2004,46.43
30/09/2004,46.87
31/10/2004,46.95
30/11/2004,47.24
31/12/2004,47.83
31/01/2005,48.14
28/02/2005,48.56
31/03/2005,48.8
30/04/2005,49.37
31/05/2005,49.29
30/06/2005,49.08
