DATES,GDP
01/03/1996,7461.3
01/06/1996,7374.3
01/09/1996,7019.9
01/12/1996,6868.5
01/03/1997,6183.6
01/06/1997,6117.7
01/09/1997,6251.4
01/12/1997,6039.3
01/03/1998,6718.8
01/06/1998,6280.6
01/09/1998,6324.4
01/12/1998,6231.7
01/03/1999,6082.7
01/06/1999,5923.0
01/09/1999,5868.1
01/12/1999,5548.2
01/03/2000,6026.3
01/06/2000,6080.9
01/09/2000,6130.7
01/12/2000,6186.0
01/03/2001,6235.2
01/06/2001,6295.7
01/09/2001,6378.7
01/12/2001,6463.3
01/03/2002,6565.1
01/06/2002,6667.0
01/09/2002,6766.4
01/12/2002,6834.7
01/03/2003,6932.0
01/06/2003,6999.9
01/09/2003,7082.4
01/12/2003,7226.5
01/03/2004,7314.3
01/06/2004,7458.4
01/09/2004,7614.7
01/12/2004,7719.5
01/03/2005,7882.7
01/06/2005,7992.4
01/09/2005,8096.3
01/12/2005,8230.7
01/03/2006,8358.8
01/06/2006,8503.9
01/09/2006,8684.5
01/12/2006,8826.5
01/03/2007,8952.0
01/06/2007,9127.2
01/09/2007,9241.6
01/12/2007,9441.4
01/03/2008,9598.0
01/06/2008,9709.6
01/09/2008,9818.3
01/12/2008,9863.7
01/03/2009,9442.7
01/06/2009,9440.6
01/09/2009,9519.0
01/12/2009,9236.6
01/03/2010,9364.5
01/06/2010,9518.5
01/09/2010,9588.9
01/12/2010,9689.0
01/03/2011,9690.1
01/06/2011,9787.5
01/09/2011,9795.3
01/12/2011,9783.8
01/03/2012,9852.2
01/06/2012,9825.7
01/09/2012,9802.4
01/12/2012,9771.1
01/03/2013,9744.7
01/06/2013,9725.8
01/09/2013,9767.3
01/12/2013,9783.7
01/03/2014,9776.4
01/06/2014,9839.9
01/09/2014,9877.4
01/12/2014,9967.0
01/03/2015,10067.6
01/06/2015,10138.2
01/09/2015,10249.7
01/12/2015,10313.1
01/03/2016,10394.5
01/06/2016,10473.2
01/09/2016,10522.7
01/12/2016,10623.4
01/03/2017,10690.2
01/06/2017,10753.0
01/09/2017,10833.7
01/12/2017,10893.9
01/03/2018,10959.6
01/06/2018,11034.2
01/09/2018,11064.6
01/12/2018,11099.8
01/03/2019,11521.2
01/06/2019,11480.9
01/09/2019,11418.4
01/12/2019,11433.1
01/03/2020,11453.4
01/06/2020,10818.9
01/09/2020,11133.0
01/12/2020,11079.7
01/03/2021,11688.1
01/06/2021,11825.5
01/09/2021,12056.9
01/12/2021,12197.3
01/03/2022,12314.9
01/06/2022,12417.1
01/09/2022,12488.9
01/12/2022,12537.9
01/03/2023,12582.6
01/06/2023,12604.9
01/09/2023,12668.0
01/12/2023,12749.2
01/03/2024,12865.5
01/06/2024,12994.8
01/09/2024,13113.6
01/12/2024,13239.0
01/03/2025,13317.6
01/06/2025,13429.2
01/09/2025,13522.9
01/12/2025,13625.8
01/03/2026,13724.2
