DATES,rEER
199401,47.3
199402,45.52
199403,37.74
199404,39.45
199405,41.3
199406,43.13
199407,42.88
199408,43.71
199409,43.0
199410,43.5
199411,45.07
199412,47.36
199501,47.6
199502,49.0
199503,49.17
199504,48.67
199505,49.2
199506,48.27
199507,48.14
199508,48.07
199509,49.97
199510,49.85
199511,50.57
199512,52.4
199601,52.77
199602,51.7
199603,50.14
199604,49.66
199605,38.12
199606,37.58
199607,36.44
199608,39.94
199609,40.58
199610,47.56
199611,41.04
199612,32.81
199701,32.91
199702,34.15
199703,53.27
199704,56.98
199705,58.31
199706,54.75
199707,53.56
199708,56.14
199709,58.59
199710,59.06
199711,59.87
199712,60.05
199801,61.03
199802,61.54
199803,61.59
199804,62.18
199805,61.66
199806,59.34
199807,58.79
199808,59.5
199809,63.33
199810,64.03
199811,63.24
199812,63.8
199901,65.27
199902,64.42
199903,63.45
199904,62.57
199905,61.65
199906,60.84
199907,62.79
199908,63.46
199909,63.93
199910,64.52
199911,64.33
199912,64.61
200001,66.18
200002,66.42
200003,65.64
200004,64.43
200005,64.09
200006,64.48
200007,64.98
200008,66.53
200009,66.87
200010,67.14
200011,67.27
200012,68.54
200101,69.5
200102,69.98
200103,70.27
200104,69.93
200105,68.85
200106,68.38
200107,68.82
200108,69.88
200109,70.72
200110,71.68
200111,71.12
200112,71.26
200201,71.98
200202,72.76
200203,73.07
200204,72.65
200205,71.91
200206,71.83
200207,72.98
200208,72.31
200209,72.38
200210,72.78
200211,72.49
200212,73.33
200301,74.34
200302,74.25
200303,74.58
200304,74.71
200305,74.72
200306,73.08
200307,73.26
200308,73.38
200309,73.71
200310,74.91
200311,76.24
200312,77.95
200401,78.67
200402,78.83
200403,77.86
200404,77.69
200405,78.14
200406,76.32
200407,77.24
200408,76.73
200409,77.38
200410,77.48
200411,78.19
200412,78.96
200501,78.85
200502,78.75
200503,78.91
200504,79.43
200505,78.54
200506,76.63
200507,76.58
200508,76.98
200509,77.67
200510,78.2
200511,78.59
200512,79.02
200601,79.67
200602,81.45
200603,81.62
200604,82.01
200605,82.5
200606,82.03
200607,81.46
200608,80.72
200609,80.88
200610,81.48
200611,82.51
200612,83.18
200701,83.97
200702,84.19
200703,83.84
200704,83.88
200705,83.47
200706,82.85
200707,84.58
200708,87.32
200709,88.15
200710,88.05
200711,89.44
200712,89.89
200801,91.17
200802,91.61
200803,92.99
200804,93.58
200805,92.9
200806,92.11
200807,93.05
200808,92.27
200809,92.92
200810,93.57
200811,94.03
200812,95.66
200901,97.4
200902,97.5
200903,97.76
200904,97.42
200905,96.91
200906,96.94
200907,96.16
200908,95.84
200909,96.16
200910,96.27
200911,96.17
200912,96.07
201001,95.52
201002,95.04
201003,94.29
201004,94.41
201005,93.41
201006,92.23
201007,93.1
201008,92.94
201009,93.52
201010,94.47
201011,94.77
201012,94.33
201101,94.72
201102,95.85
201103,96.13
201104,96.0
201105,95.67
201106,95.18
201107,95.45
201108,95.67
201109,95.32
201110,95.94
201111,95.89
201112,95.44
201201,94.69
201202,94.93
201203,94.75
201204,94.52
201205,94.36
201206,93.42
201207,94.23
201208,94.34
201209,95.61
201210,95.58
201211,95.37
201212,95.83
201301,96.43
201302,96.38
201303,95.22
201304,94.75
201305,94.48
201306,94.95
201307,94.35
201308,94.33
201309,94.43
201310,94.91
201311,94.95
201312,95.57
201401,95.74
201402,95.44
201403,95.21
201404,94.87
201405,93.95
201406,93.21
201407,93.57
201408,93.31
201409,92.64
201410,93.32
201411,93.16
201412,93.95
201501,92.78
201502,92.16
201503,91.18
201504,90.82
201505,91.34
201506,91.23
201507,90.81
201508,92.18
201509,92.71
201510,92.3
201511,91.28
201512,92.06
201601,93.14
201602,92.93
201603,91.43
201604,91.42
201605,91.52
201606,91.08
201607,91.8
201608,91.93
201609,91.42
201610,91.32
201611,91.67
201612,91.81
201701,93.19
201702,92.52
201703,92.0
201704,92.09
201705,92.48
201706,92.07
201707,93.11
201708,93.39
201709,93.3
201710,93.88
201711,94.5
201712,94.66
201801,95.18
201802,95.3
201803,95.0
201804,95.33
201805,95.17
201806,95.21
201807,96.41
201808,97.63
201809,98.11
201810,97.43
201811,96.77
201812,96.8
201901,97.43
201902,97.27
201903,96.9
201904,97.13
201905,97.59
201906,96.67
201907,96.93
201908,97.04
201909,96.48
201910,96.93
201911,97.33
201912,97.85
202001,98.51
202002,98.42
202003,99.44
202004,99.47
202005,99.23
202006,98.8
202007,99.8
202008,100.92
202009,100.7
202010,101.63
202011,101.44
202012,101.63
202101,100.75
202102,100.14
202103,100.44
202104,101.65
202105,101.62
202106,100.81
202107,100.96
202108,100.92
202109,100.94
202110,102.26
202111,104.1
202112,105.67
202201,105.01
202202,105.36
202203,106.52
202204,106.29
202205,106.88
202206,107.33
202207,107.32
202208,108.05
202209,107.82
202210,108.04
202211,108.91
202212,110.46
202301,110.65
202302,110.43
202303,110.51
202304,110.98
202305,110.48
202306,111.65
202307,113.57
202308,112.88
202309,111.85
202310,111.84
202311,112.48
202312,112.36
202401,112.51
202402,112.03
202403,112.41
202404,111.18
202405,110.38
202406,109.94
202407,110.3
202408,110.59
202409,109.3
202410,109.78
202411,109.89
202412,109.9
202501,111.03
202502,110.92
202503,111.62
202504,111.41
202505,111.45
202506,112.11
202507,113.84
202508,113.58
202509,112.62
202510,113.0
202511,113.4
202512,113.59
202601,113.77
202602,113.46
202603,113.41
202604,114.39
202605,113.94
