DATES,CPI
31/01/1958,1
28/02/1958,1
31/03/1958,1
30/04/1958,1
31/05/1958,1
30/06/1958,1
31/07/1958,1
31/08/1958,1
30/09/1958,1
31/10/1958,1
30/11/1958,1
31/12/1958,1
31/01/1959,1
28/02/1959,1
31/03/1959,1
30/04/1959,1
31/05/1959,1
30/06/1959,1
31/07/1959,1
31/08/1959,1
30/09/1959,1
31/10/1959,1
30/11/1959,1
31/12/1959,1
31/01/1960,1
29/02/1960,1
31/03/1960,1
30/04/1960,1
31/05/1960,1
30/06/1960,1
31/07/1960,1
31/08/1960,1
30/09/1960,1
31/10/1960,1
30/11/1960,1
31/12/1960,1
31/01/1961,1
28/02/1961,1
31/03/1961,1
30/04/1961,1
31/05/1961,1
30/06/1961,1
31/07/1961,1
31/08/1961,1
30/09/1961,1
31/10/1961,1
30/11/1961,1
31/12/1961,1
31/01/1962,1
28/02/1962,1
31/03/1962,1
30/04/1962,1
31/05/1962,1
30/06/1962,1
31/07/1962,1
31/08/1962,1
30/09/1962,1
31/10/1962,1
30/11/1962,1
31/12/1962,2
31/01/1963,2
28/02/1963,2
31/03/1963,2
30/04/1963,2
31/05/1963,2
30/06/1963,2
31/07/1963,2
31/08/1963,2
30/09/1963,2
31/10/1963,2
30/11/1963,2
31/12/1963,2
31/01/1964,2
29/02/1964,2
31/03/1964,2
30/04/1964,2
31/05/1964,2
30/06/1964,2
31/07/1964,2
31/08/1964,2
30/09/1964,2
31/10/1964,2
30/11/1964,2
31/12/1964,2
31/01/1965,2
28/02/1965,2
31/03/1965,2
30/04/1965,2
31/05/1965,2
30/06/1965,2
31/07/1965,2
31/08/1965,2
30/09/1965,2
31/10/1965,2
30/11/1965,2
31/12/1965,2
31/01/1966,2
28/02/1966,2
31/03/1966,2
30/04/1966,2
31/05/1966,2
30/06/1966,2
31/07/1966,2
31/08/1966,2
30/09/1966,3
31/10/1966,3
30/11/1966,3
31/12/1966,2
31/01/1967,3
28/02/1967,3
31/03/1967,3
30/04/1967,3
31/05/1967,3
30/06/1967,3
31/07/1967,3
31/08/1967,3
30/09/1967,3
31/10/1967,3
30/11/1967,3
31/12/1967,3
31/01/1968,3
29/02/1968,3
31/03/1968,3
30/04/1968,3
31/05/1968,3
30/06/1968,3
31/07/1968,4
31/08/1968,4
30/09/1968,4
31/10/1968,4
30/11/1968,4
31/12/1968,4
31/01/1969,4
28/02/1969,5
31/03/1969,5
30/04/1969,5
31/05/1969,5
30/06/1969,5
31/07/1969,5
31/08/1969,5
30/09/1969,5
31/10/1969,5
30/11/1969,5
31/12/1969,5
31/01/1970,6
28/02/1970,6
31/03/1970,6
30/04/1970,6
31/05/1970,6
30/06/1970,6
31/07/1970,6
31/08/1970,7
30/09/1970,7
31/10/1970,7
30/11/1970,7
31/12/1970,7
31/01/1971,7
28/02/1971,7
31/03/1971,8
30/04/1971,8
31/05/1971,8
30/06/1971,8
31/07/1971,8
31/08/1971,8
30/09/1971,8
31/10/1971,8
30/11/1971,8
31/12/1971,9
31/01/1972,9
29/02/1972,0.001
31/03/1972,0.001
30/04/1972,0.0011
31/05/1972,0.0011
30/06/1972,0.0011
31/07/1972,0.0011
31/08/1972,0.0014
30/09/1972,0.0017
31/10/1972,0.002
30/11/1972,0.0021
31/12/1972,0.0023
31/01/1973,0.0025
28/02/1973,0.0027
31/03/1973,0.0028
30/04/1973,0.0031
31/05/1973,0.0037
30/06/1973,0.0042
31/07/1973,0.0048
31/08/1973,0.0058
30/09/1973,0.0067
31/10/1973,0.0126
30/11/1973,0.0133
31/12/1973,0.0139
31/01/1974,0.0159
28/02/1974,0.0198
31/03/1974,0.0226
30/04/1974,0.026
31/05/1974,0.0283
30/06/1974,0.0342
31/07/1974,0.0381
31/08/1974,0.0423
30/09/1974,0.0477
31/10/1974,0.0567
30/11/1974,0.0622
31/12/1974,0.0662
31/01/1975,0.0755
28/02/1975,0.088
31/03/1975,0.1065
30/04/1975,0.1287
31/05/1975,0.1493
30/06/1975,0.1788
31/07/1975,0.1954
31/08/1975,0.2129
30/09/1975,0.2324
31/10/1975,0.252
30/11/1975,0.2726
31/12/1975,0.2919
31/01/1976,0.3225
29/02/1976,0.355
31/03/1976,0.403
30/04/1976,0.4509
31/05/1976,0.4954
30/06/1976,0.5564
31/07/1976,0.6059
31/08/1976,0.639
30/09/1976,0.6876
31/10/1976,0.7338
30/11/1976,0.7618
31/12/1976,0.8009
31/01/1977,0.8483
28/02/1977,0.8977
31/03/1977,0.9525
30/04/1977,0.9973
31/05/1977,1.0355
30/06/1977,1.0699
31/07/1977,1.1117
31/08/1977,1.1495
30/09/1977,1.1924
31/10/1977,1.2424
30/11/1977,1.2698
31/12/1977,1.3094
31/01/1978,1.3331
28/02/1978,1.3653
31/03/1978,1.4052
30/04/1978,1.4419
31/05/1978,1.4724
30/06/1978,1.5022
31/07/1978,1.54
31/08/1978,1.5832
30/09/1978,1.6285
31/10/1978,1.6588
30/11/1978,1.681
31/12/1978,1.7064
31/01/1979,1.7444
28/02/1979,1.7727
31/03/1979,1.8226
30/04/1979,1.8698
31/05/1979,1.917
30/06/1979,1.9651
31/07/1979,2.036
31/08/1979,2.1323
30/09/1979,2.2158
31/10/1979,2.2698
30/11/1979,2.3185
31/12/1979,2.3702
31/01/1980,2.4206
29/02/1980,2.4648
31/03/1980,2.5374
30/04/1980,2.6016
31/05/1980,2.6619
30/06/1980,2.7128
31/07/1980,2.7677
31/08/1980,2.8286
30/09/1980,2.8889
31/10/1980,2.9733
30/11/1980,3.0514
31/12/1980,3.1105
31/01/1981,3.1612
28/02/1981,3.1709
31/03/1981,3.1963
30/04/1981,3.2354
31/05/1981,3.2782
30/06/1981,3.2814
31/07/1981,3.3016
