"DATES,""GDP"""
"01/03/1986,9813.301"
"01/06/1986,10084.768"
"01/09/1986,9977.975"
"01/12/1986,11019.794"
"01/03/1987,10750.291"
"01/06/1987,10674.897"
"01/09/1987,10542.519"
"01/12/1987,11575.85"
"01/03/1988,11504.597"
"01/06/1988,11185.691"
"01/09/1988,11415.766"
"01/12/1988,12646.68"
"01/03/1989,12534.569"
"01/06/1989,12766.594"
"01/09/1989,12570.553"
"01/12/1989,13524.994"
"01/03/1990,13796.69"
"01/06/1990,13428.047"
"01/09/1990,12440.332"
"01/12/1990,13540.239"
"01/03/1991,14112.076"
"01/06/1991,14358.537"
"01/09/1991,13589.43"
"01/12/1991,15297.616"
"01/03/1992,15918.233"
"01/06/1992,15767.477"
"01/09/1992,15285.76"
"01/12/1992,16791.151"
"01/03/1993,17055.164"
"01/06/1993,16953.172"
"01/09/1993,16268.083"
"01/12/1993,17687.382"
"01/03/1994,17750.983"
"01/06/1994,17899.754"
"01/09/1994,17027.209"
"01/12/1994,18704.568"
"01/03/1995,19053.897"
"01/06/1995,19517.839"
"01/09/1995,18726.89"
"01/12/1995,20460.702"
"01/03/1996,20264.763"
"01/06/1996,20368.676"
"01/09/1996,19581.249"
"01/12/1996,21420.811"
"01/03/1997,21401.298"
"01/06/1997,21755.715"
"01/09/1997,21177.776"
"01/12/1997,23334.992"
"01/03/1998,23040.212"
"01/06/1998,23266.386"
"01/09/1998,22010.465"
"01/12/1998,23018.093"
"01/03/1999,22457.014"
"01/06/1999,22514.997"
"01/09/1999,21856.568"
"01/12/1999,24256.655"
"01/03/2000,23758.655"
"01/06/2000,23830.398"
"01/09/2000,22949.275"
"01/12/2000,25075.318"
"01/03/2001,24563.146"
"01/06/2001,24833.556"
"01/09/2001,23583.476"
"01/12/2001,25649.157"
"01/03/2002,24856.395"
"01/06/2002,25476.221"
"01/09/2002,24580.141"
"01/12/2002,26875.477"
"01/03/2003,26182.108"
"01/06/2003,26787.468"
"01/09/2003,25708.768"
"01/12/2003,27917.599"
"01/03/2004,27416.708"
"01/06/2004,28299.047"
"01/09/2004,27621.572"
"01/12/2004,30373.101"
"01/03/2005,29113.991"
"01/06/2005,29980.705"
"01/09/2005,29202.543"
"01/12/2005,32050.518"
"01/03/2006,30847.158"
"01/06/2006,31879.647"
"01/09/2006,30845.479"
"01/12/2006,34056.502"
"01/03/2007,32552.168"
"01/06/2007,33624.986"
"01/09/2007,32346.287"
"01/12/2007,35701.495"
"01/03/2008,34538.287"
"01/06/2008,35308.486"
"01/09/2008,33495.6"
"01/12/2008,35968.872"
"01/03/2009,33757.95"
"01/06/2009,34311.398"
"01/09/2009,33255.283"
"01/12/2009,36429.063"
"01/03/2010,34410.364"
"01/06/2010,36511.625"
"01/09/2010,35749.411"
"01/12/2010,39143.158"
"01/03/2011,37426.943"
"01/06/2011,38796.098"
"01/09/2011,37359.24"
"01/12/2011,41307.625"
"01/03/2012,39680.434"
"01/06/2012,41316.588"
"01/09/2012,39835.656"
"01/12/2012,43591.229"
"01/03/2013,41321.802"
"01/06/2013,42736"
"01/09/2013,41003"
"01/12/2013,44804"
"01/03/2014,42336"
"01/06/2014,43464"
"01/09/2014,41538.143"
"01/12/2014,45571"
"01/03/2015,43393"
"01/06/2015,44353"
"01/09/2015,42479"
"01/12/2015,46404"
"01/03/2016,44689"
"01/06/2016,44914"
"01/09/2016,43325"
"01/12/2016,46799"
"01/03/2017,44533"
"01/06/2017,45234"
"01/09/2017,44143"
"01/12/2017,48256"
"01/03/2018,46576"
"01/06/2018,47652"
"01/09/2018,45199"
"01/12/2018,50008"
"01/03/2019,47160"
"01/06/2019,48373"
"01/09/2019,46518"
"01/12/2019,48605"
"01/03/2020,46973"
"01/06/2020,41106"
"01/09/2020,42217"
"01/12/2020,48655"
"01/03/2021,47174"
"01/06/2021,48661"
"01/09/2021,49073"
"01/12/2021,54330"
"01/03/2022,49984"
"01/06/2022,50978"
"01/09/2022,49140"
"01/12/2022,53247"
"01/03/2023,49961"
"01/06/2023,50794"
"01/09/2023,49818"
"01/12/2023,54154"
"01/03/2024,51699"
"01/06/2024,51391"
"01/09/2024,51007"
"01/12/2024,56373"
"01/03/2025,53213"
"01/06/2025,53310"
"01/09/2025,51876"
"01/12/2025,57247"
"01/03/2026,52959"
