DATES,STX
24/06/2026,10675.08
23/06/2026,10769.51
22/06/2026,10901.85
19/06/2026,10888.98
18/06/2026,10836.99
17/06/2026,10805.99
16/06/2026,10903.59
15/06/2026,10878.98
12/06/2026,10921.15
11/06/2026,10740.7
10/06/2026,10453.45
09/06/2026,10501.02
08/06/2026,10160.61
05/06/2026,10273.09
04/06/2026,10304.04
03/06/2026,10359.94
02/06/2026,10469.18
01/06/2026,10626.41
29/05/2026,10788.19
28/05/2026,10897.17
27/05/2026,10838.04
26/05/2026,10747.02
25/05/2026,10825.53
22/05/2026,10563.88
20/05/2026,10599.69
19/05/2026,10350.86
18/05/2026,10470.3
15/05/2026,10421.35
14/05/2026,10482.27
13/05/2026,10396.5
12/05/2026,10640.66
11/05/2026,10702.13
08/05/2026,10758.9
07/05/2026,10871.28
06/05/2026,10937.19
05/05/2026,10691.27
04/05/2026,10717.34
30/04/2026,10908.3
29/04/2026,10857.99
28/04/2026,10905.45
27/04/2026,11130.03
24/04/2026,11173.51
23/04/2026,10992.09
22/04/2026,11002.13
21/04/2026,11128.46
20/04/2026,11343.55
17/04/2026,11429.19
16/04/2026,11477.11
15/04/2026,11313.87
14/04/2026,11336.02
13/04/2026,11132.84
10/04/2026,11076.65
09/04/2026,10958.33
08/04/2026,10858.4
07/04/2026,10518.4
06/04/2026,10695.09
02/04/2026,10739.15
01/04/2026,10856.29
31/03/2026,10640.08
30/03/2026,10418.06
27/03/2026,10417.19
26/03/2026,10397.03
25/03/2026,10409.95
24/03/2026,10206.16
23/03/2026,10227.64
20/03/2026,10277.05
19/03/2026,10473.45
18/03/2026,10619.69
17/03/2026,10620.89
16/03/2026,10584.63
13/03/2026,10466.52
12/03/2026,10399.64
11/03/2026,10505.21
10/03/2026,10604.52
09/03/2026,10428.64
06/03/2026,10314.03
05/03/2026,10297.93
04/03/2026,10494.97
03/03/2026,10248.96
02/03/2026,10549.28
27/02/2026,10877.74
26/02/2026,11049.69
25/02/2026,11133.28
24/02/2026,10991.76
23/02/2026,10923.25
20/02/2026,10855.08
19/02/2026,10809.15
18/02/2026,10864.48
17/02/2026,10892.26
16/02/2026,10911.58
13/02/2026,10897.74
12/02/2026,10974.84
11/02/2026,11217.82
10/02/2026,11009.28
09/02/2026,11250.56
06/02/2026,11210.78
05/02/2026,11251.62
04/02/2026,11425.88
03/02/2026,11609.4
02/02/2026,11482.71
30/01/2026,11420.07
29/01/2026,11523.45
28/01/2026,11627.58
27/01/2026,11626.2
26/01/2026,11546.28
23/01/2026,11500.1
22/01/2026,11507.7
21/01/2026,11254.87
