DATES,rEER
199401,109.22
199402,108.92
199403,108.60
199404,110.35
199405,110.86
199406,111.49
199407,110.93
199408,111.36
199409,111.65
199410,111.65
199411,111.81
199412,116.37
199501,115.56
199502,113.15
199503,112.38
199504,114.91
199505,120.52
199506,122.05
199507,121.56
199508,122.70
199509,121.97
199510,118.33
199511,117.18
199512,118.68
199601,119.13
199602,118.59
199603,118.97
199604,120.77
199605,122.44
199606,122.00
199607,121.66
199608,121.23
199609,121.71
199610,121.85
199611,120.45
199612,120.82
199701,121.81
199702,126.66
199703,128.33
199704,127.56
199705,126.65
199706,127.10
199707,129.20
199708,131.75
199709,132.38
199710,134.04
199711,132.08
199712,132.28
199801,130.99
199802,130.81
199803,129.54
199804,128.82
199805,129.17
199806,130.29
199807,128.32
199808,127.71
199809,126.77
199810,126.67
199811,127.09
199812,124.36
199901,125.13
199902,124.14
199903,126.11
199904,127.77
199905,127.33
199906,124.30
199907,121.03
199908,121.19
199909,118.33
199910,115.23
199911,114.69
199912,115.86
200001,119.37
200002,122.50
200003,125.20
200004,125.46
200005,124.92
200006,121.49
200007,118.72
200008,118.17
200009,116.54
200010,117.93
200011,117.39
200012,116.35
200101,116.47
200102,118.27
200103,115.00
200104,114.26
200105,113.93
200106,112.91
200107,106.18
200108,102.73
200109,102.32
200110,99.10
200111,101.70
200112,103.91
200201,104.41
200202,106.67
200203,109.57
200204,111.44
200205,110.61
200206,106.95
200207,102.96
200208,103.44
200209,101.21
200210,101.28
200211,103.77
200212,103.69
200301,98.07
200302,95.32
200303,95.83
200304,97.54
200305,96.28
200306,95.22
200307,96.88
200308,97.72
200309,100.74
200310,103.10
200311,106.17
200312,108.15
200401,111.46
200402,109.28
200403,106.55
200404,106.21
200405,103.18
200406,101.82
200407,103.08
200408,102.88
200409,105.24
200410,105.72
200411,105.51
200412,107.03
200501,107.35
200502,106.40
200503,104.11
200504,106.12
200505,106.68
200506,107.07
200507,109.72
200508,114.37
200509,116.87
200510,118.47
200511,120.26
200512,123.18
200601,119.05
200602,118.15
200603,117.77
200604,119.52
200605,117.07
200606,114.41
200607,114.81
200608,114.64
200609,114.81
200610,116.44
200611,115.73
200612,114.16
200701,112.40
200702,110.86
200703,111.09
200704,111.31
200705,113.35
200706,113.05
200707,114.31
200708,115.38
200709,116.31
200710,117.86
200711,115.12
200712,117.57
200801,120.44
200802,122.47
200803,127.43
200804,125.67
200805,120.70
200806,115.64
200807,113.64
200808,113.66
200809,114.80
200810,104.78
200811,101.98
200812,100.69
200901,104.08
200902,108.31
200903,111.17
200904,110.71
200905,111.13
200906,112.70
200907,114.54
200908,111.29
200909,110.72
200910,109.86
200911,116.82
200912,118.24
201001,119.17
201002,113.20
201003,114.59
201004,115.24
201005,115.40
201006,115.66
201007,115.47
201008,119.25
201009,121.88
201010,121.00
201011,121.66
201012,124.16
201101,119.28
201102,121.43
201103,119.96
201104,120.32
201105,121.36
201106,120.79
201107,122.10
201108,120.89
201109,119.31
201110,113.78
201111,115.14
201112,114.59
201201,117.60
201202,121.03
201203,120.43
201204,120.43
201205,119.58
201206,118.66
201207,121.97
201208,123.92
201209,124.51
201210,124.41
201211,122.97
201212,122.88
201301,123.78
201302,123.43
201303,124.78
201304,124.06
201305,122.55
201306,118.09
201307,118.59
201308,116.71
201309,118.31
201310,118.13
201311,115.20
201312,113.49
201401,112.47
201402,109.24
201403,108.12
201404,110.19
201405,110.10
201406,110.80
201407,109.82
201408,106.58
201409,105.69
201410,108.42
201411,109.44
201412,106.81
201501,107.18
201502,107.59
201503,109.02
201504,111.35
201505,112.06
201506,108.93
201507,106.99
201508,103.19
201509,103.87
201510,104.69
201511,103.04
201512,103.74
201601,103.47
201602,104.98
201603,107.23
201604,107.82
201605,106.64
201606,107.27
201607,111.79
201608,110.61
201609,109.25
201610,110.82
201611,112.62
201612,113.54
201701,114.16
201702,116.11
201703,113.20
201704,113.66
201705,110.69
201706,110.60
201707,111.18
201708,112.03
201709,113.79
201710,114.76
201711,114.13
201712,112.96
201801,117.03
201802,116.96
201803,116.22
201804,117.27
201805,115.25
201806,115.02
201807,114.09
201808,114.68
201809,111.17
201810,112.01
201811,112.55
201812,111.57
201901,111.24
201902,113.74
201903,112.44
201904,112.79
201905,110.66
201906,110.13
201907,110.82
201908,108.76
201909,108.29
201910,107.93
201911,99.76
201912,100.08
202001,99.48
202002,97.72
202003,95.13
202004,95.61
202005,99.85
202006,101.31
202007,101.54
202008,100.59
202009,101.83
202010,100.31
202011,102.27
202012,104.36
202101,106.03
202102,105.81
202103,106.92
202104,109.76
202105,107.86
202106,105.40
202107,103.50
202108,99.95
202109,100.15
202110,97.57
202111,98.21
202112,94.85
202201,98.33
202202,98.83
202203,101.34
202204,100.74
202205,100.09
202206,99.71
202207,92.25
202208,98.32
202209,99.15
202210,97.06
202211,100.84
202212,103.51
202301,108.26
202302,111.91
202303,111.83
202304,111.78
202305,113.38
202306,113.86
202307,111.50
202308,106.95
202309,104.81
202310,101.13
202311,104.91
202312,105.41
202401,102.61
202402,96.60
202403,96.30
202404,98.18
202405,102.70
202406,102.38
202407,101.46
202408,101.17
202409,100.81
202410,101.67
202411,99.93
202412,99.47
202501,98.91
202502,102.58
202503,104.60
202504,100.85
202505,102.29
202506,101.07
202507,99.93
202508,98.52
202509,98.83
202510,99.67
202511,102.03
202512,103.17
202601,106.67
202602,107.36
202603,103.21
202604,104.51
202605,104.28
